SURT, URL, Directory, File
"com,github)/(anonymous)/hetero_scan",https://github.com/(anonymous)/hetero_scan, 2109, 2109.08022v2.pdf
"com,github)/***",https://github.com/***, 2103, 2103.11186v1.pdf
"com,github)/****",https://github.com/****, 2011, 2011.08299v2.pdf
"com,github)/******",https://github.com/******, 2106, 2106.04972v1.pdf
"com,github)/**********",https://github.com/**********, 1905, 1905.03726v1.pdf
"com,github)/*****/smoothi",https://github.com/*****/SmoothI, 2105, 2105.00942v1.pdf
"com,github)/****/****",https://github.com/****/****, 1911, 1911.10737v2.pdf
"com,github)/***/***",https://github.com/***/***, 2006, 2006.04967v1.pdf
"com,github)/***/bans",https://github.com/***/BANS, 2002, 2002.07122v1.pdf
"com,github)/**/scl-ehr",https://github.com/**/SCL-EHR, 2110, 2110.04943v1.pdf
"com,github)/**anonymized",https://github.com/**anonymized, 1802, 1802.02147v1.pdf
"com,github)/**hidden-for-blind-review**",https://github.com/**hidden-for-blind-review**, 2108, 2108.06249v2.pdf
"com,github)/-available-after-review",https://github.com/-available-after-review, 1702, 1702.00832v2.pdf
