URL SURT Directory File Repo Corpus
https://pivotal.github.com/robolectric com,github,pivotal)/robolectric 201101 /data/lsals/ETD-90K/2011_249978_Electrical-and-Computer-Engineering.pdf etd GitHub
https://wiki.github.com/jmathai/twitter-async com,github,wiki)/jmathai/twitter-async 201101 /data/lsals/ETD-90K/2011_437845_Computer-Science.pdf etd GitHub
https://github.com com,github)/ 201101 /data/lsals/ETD-90K/2011_441898_Computer-Science.pdf etd GitHub
https://www.github.com com,github)/ 201301 /data/lsals/ETD-90K/2013_204922_Animal-and-Poultry-Sciences.pdf etd GitHub
https://github.com com,github)/ 201301 /data/lsals/ETD-90K/2013_206270_Electrical-and-Computer-Engineering.pdf etd GitHub
https://github.com com,github)/ 201301 /data/lsals/ETD-90K/2013_214357_Electrical-and-Computer-Engineering.pdf etd GitHub
https://tbuktu.github.io/ntru io,github,tbuktu)/ntru 201301 /data/lsals/ETD-90K/2013_226134_Computer-Science.pdf etd GitHub
https://networkx.github.io io,github,networkx)/ 201301 /data/lsals/ETD-90K/2013_227959_Computer-Science.pdf etd GitHub
https://twitter.github.io/bootstrap io,github,twitter)/bootstrap 201301 /data/lsals/ETD-90K/2013_242768_Electrical-and-Computer-Engineering.pdf etd GitHub
https://twitter.github.io/bootstrap io,github,twitter)/bootstrap 201301 /data/lsals/ETD-90K/2013_243530_Electrical-and-Computer-Engineering.pdf etd GitHub
https://jhuisi.github.com/charm/schemes.html com,github,jhuisi)/charm/schemes.html 201301 /data/lsals/ETD-90K/2013_378433_Computer-Science.pdf etd GitHub
https://github.com com,github)/ 201301 /data/lsals/ETD-90K/2013_396242_Computer-Science.pdf etd GitHub
https://vazexqi.github.io/jflow io,github,vazexqi)/jflow 201301 /data/lsals/ETD-90K/2013_432808_Computer-Science.pdf etd GitHub
https://vazexqi.github.com/parsecpipelineparallelism com,github,vazexqi)/parsecpipelineparallelism 201301 /data/lsals/ETD-90K/2013_432808_Computer-Science.pdf etd GitHub
https://cis565-spring-2012.github.com/lectures/02-13-mapreduce-tim-kaldewey.pdf com,github,cis565-spring-2012)/lectures/02-13-mapreduce-tim-kaldewey.pdf 201301 /data/lsals/ETD-90K/2013_439499_Electrical-&-Computer-Eng.pdf etd GitHub
https://rigelproject.github.com com,github,rigelproject)/ 201301 /data/lsals/ETD-90K/2013_443966_Electrical-&-Computer-Eng.pdf etd GitHub
https://inspyred.github.com com,github,inspyred)/ 201301 /data/lsals/ETD-90K/2013_61600_Aerospace-Engineering.pdf etd GitHub
https://kr.github.io/beanstalkd io,github,kr)/beanstalkd 201301 /data/lsals/ETD-90K/2013_65180_Engineering-and-Applied-Science.pdf etd GitHub
https://astraw.github.com/pairs2groups com,github,astraw)/pairs2groups 201301 /data/lsals/ETD-90K/2013_65252_Engineering-and-Applied-Science.pdf etd GitHub
https://thrust.github.io io,github,thrust)/ 201701 /data/lsals/ETD-90K/2017_204699_Computer-Science.pdf etd GitHub
https://clmathlibraries.github.io/clfft io,github,clmathlibraries)/clfft 201701 /data/lsals/ETD-90K/2017_204699_Computer-Science.pdf etd GitHub
https://square.github.io/crossfilter io,github,square)/crossfilter 201701 /data/lsals/ETD-90K/2017_206419_Computer-Science.pdf etd GitHub
https://cole-trapnell-lab.github.io/cufflinks/cuffcompare/#transfrag-class-codes io,github,cole-trapnell-lab)/cufflinks/cuffcompare 201701 /data/lsals/ETD-90K/2017_212367_Electrical-Engineering.pdf etd GitHub
https://aicentral.github.io/coco-text-patch io,github,aicentral)/coco-text-patch 201701 /data/lsals/ETD-90K/2017_214537_Electrical-and-Computer-Engineering.pdf etd GitHub
https://networkx.github.io io,github,networkx)/ 201701 /data/lsals/ETD-90K/2017_214815_Computer-Science.pdf etd GitHub
https://mementoweb.github.io/sitestory io,github,mementoweb)/sitestory 201701 /data/lsals/ETD-90K/2017_217217_Computer-Science.pdf etd GitHub
https://cs231n.github.io/neural-networks-1 io,github,cs231n)/neural-networks-1 201701 /data/lsals/ETD-90K/2017_219286_Computer-Science.pdf etd GitHub
https://stanfordnlp.github.io/corenlp io,github,stanfordnlp)/corenlp 201701 /data/lsals/ETD-90K/2017_220536_Electrical-and-Computer-Engineering.pdf etd GitHub
https://sri-csl.github.io/sally io,github,sri-csl)/sally 201701 /data/lsals/ETD-90K/2017_223436_Electrical-and-Computer-Engineering.pdf etd GitHub
https://seahorn.github.io io,github,seahorn)/ 201701 /data/lsals/ETD-90K/2017_223436_Electrical-and-Computer-Engineering.pdf etd GitHub
https://wec-sim.github.io/wec-sim/index.html io,github,wec-sim)/wec-sim/index.html 201701 /data/lsals/ETD-90K/2017_225195_Mechanical-Engineering.pdf etd GitHub
https://lz4.github.io/lz4 io,github,lz4)/lz4 201701 /data/lsals/ETD-90K/2017_229586_Computer-Science.pdf etd GitHub
https://cs231n.github.io/neural-networks-1 io,github,cs231n)/neural-networks-1 201701 /data/lsals/ETD-90K/2017_250795_Electrical-and-Computer-Engineering.pdf etd GitHub
https://solevillar.github.io/2016/07/05/clustering-mnist-sdp.html io,github,solevillar)/2016/07/05/clustering-mnist-sdp.html 201701 /data/lsals/ETD-90K/2017_251257_Mathematics.pdf etd GitHub
https://emina.github.io/kodkod/apps.html.” io,github,emina)/kodkod/apps.html.%e2%80%9d 201701 /data/lsals/ETD-90K/2017_251487_Electrical-and-Computer-Engineering.pdf etd GitHub
https://jepusto.github.io io,github,jepusto)/ 201701 /data/lsals/ETD-90K/2017_251549_Educational-Psychology.pdf etd GitHub
https://github.comjstjohn/seqprep comjstjohn,github)/seqprep 201701 /data/lsals/ETD-90K/2017_251699_Chemical-Engineering.pdf etd GitHub
https://cs231n.github.io/neural-networks-2 io,github,cs231n)/neural-networks-2 201701 /data/lsals/ETD-90K/2017_251847_Electrical-and-Computer-Engineering.pdf etd GitHub
https://slinjhu.github.io/cfsimulator io,github,slinjhu)/cfsimulator 201701 /data/lsals/ETD-90K/2017_379267_Civil-Engineering.pdf etd GitHub
https://gist.github.com/sipa/8907691 com,github,gist)/sipa/8907691 201701 /data/lsals/ETD-90K/2017_379371_Computer-Science.pdf etd GitHub
https://jhu-cisst.github.io/mechatronics io,github,jhu-cisst)/mechatronics 201701 /data/lsals/ETD-90K/2017_379397_Computer-Science.pdf etd GitHub
https://timvieira.github.io/doc/2017-mapl-dyna.pdf io,github,timvieira)/doc/2017-mapl-dyna.pdf 201701 /data/lsals/ETD-90K/2017_379401_Computer-Science.pdf etd GitHub
https://slicerrt.github.io io,github,slicerrt)/ 201701 /data/lsals/ETD-90K/2017_379402_Computer-Science.pdf etd GitHub
https://brianhhu.github.io io,github,brianhhu)/ 201701 /data/lsals/ETD-90K/2017_379474_Biomedical-Engineering.pdf etd GitHub
https://graphwalker.github.io io,github,graphwalker)/ 201701 /data/lsals/ETD-90K/2017_387500_Computer-Science.pdf etd GitHub
