URL SURT Directory File Repo Corpus
https://sourceforge.net/p/bayesevidence/home/Home net,sourceforge)/p/bayesevidence/home/home 201711 oa_pdf/ef/15/bbx151.PMC6585387.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202202 oa_pdf/c7/87/nihms-1781195.PMC8904926.pdf pmc SourceForge
https://sourceforge.net/p/bayesevidence/home/Home net,sourceforge)/p/bayesevidence/home/home 201506 oa_pdf/6f/07/btv062.PMC4443683.pdf pmc SourceForge
https://sourceforge.net/p/lemur/wiki/RankLib net,sourceforge)/p/lemur/wiki/ranklib 201506 oa_pdf/89/44/btv237.PMC4765864.pdf pmc SourceForge
https://sourceforge.net/p/cfm-id/code/HEAD/tree/supplementary_material/trained_models/esi_msms_models net,sourceforge)/p/cfm-id/code/head/tree/supplementary_material/trained_models/esi_msms_models 201910 oa_pdf/fc/d0/erz308.PMC6812699.pdf pmc SourceForge
https://sourceforge.net/p/qtgrace/wiki/Home net,sourceforge)/p/qtgrace/wiki/home 202110 oa_pdf/08/0d/main.PMC8513389.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202106 oa_pdf/fd/69/pnas.202025013.PMC8201826.pdf pmc SourceForge
https://sourceforge.net/p/ddmore/use.cases/ci/master/tree/MDL/Product5.1 net,sourceforge)/p/ddmore/use.cases/ci/master/tree/mdl/product5.1 201710 oa_pdf/e9/7d/PSP4-6-647.PMC5658286.pdf pmc SourceForge
https://sourceforge.net/p/ddmore/libpharmml/wiki/Home net,sourceforge)/p/ddmore/libpharmml/wiki/home 201710 oa_pdf/71/d8/PSP4-6-651.PMC5658288.pdf pmc SourceForge
https://sourceforge.net/p/cohcap/wiki/Home net,sourceforge)/p/cohcap/wiki/home 201306 oa_pdf/60/e8/gkt242.PMC3675470.pdf pmc SourceForge
https://sourceforge.net/p/simulates/wiki/Home/#validation net,sourceforge)/p/simulates/wiki/home 201804 oa_pdf/27/76/btx772.PMC5905622.pdf pmc SourceForge
https://sourceforge.net/p/simulates/wiki/Home/#walkthrough net,sourceforge)/p/simulates/wiki/home 201804 oa_pdf/27/76/btx772.PMC5905622.pdf pmc SourceForge
https://sourceforge.net/p/simulates/wiki/Home/#manual net,sourceforge)/p/simulates/wiki/home 201804 oa_pdf/27/76/btx772.PMC5905622.pdf pmc SourceForge
https://sourceforge.net/p/sbml/code/HEAD/tree/trunk/specifications/sbml-level-3/version-1/multi/spec net,sourceforge)/p/sbml/code/head/tree/trunk/specifications/sbml-level-3/version-1/multi/spec 201804 oa_pdf/a9/a5/jib-15-20170077.PMC6167033.pdf pmc SourceForge
https://sourceforge.net/p/sbml/sbml-specifications/234 net,sourceforge)/p/sbml/sbml-specifications/234 201804 oa_pdf/ae/cd/jib-15-20170078.PMC6167038.pdf pmc SourceForge
https://sourceforge.net/p/oscill8/wiki/Home net,sourceforge)/p/oscill8/wiki/home 202009 oa_pdf/d3/13/PSP4-9-498.PMC7499189.pdf pmc SourceForge
https://sourceforge.net/p/ddmore/libpharmml/wiki/Home net,sourceforge)/p/ddmore/libpharmml/wiki/home 201809 oa_pdf/75/41/PSP4-7-543.PMC6157675.pdf pmc SourceForge
https://sourceforge.net/p/plastid-variation net,sourceforge)/p/plastid-variation 202008 oa_pdf/3b/b2/peerj-08-9772.PMC7456531.pdf pmc SourceForge
https://sourceforge.net/p/cnvoffseq net,sourceforge)/p/cnvoffseq 201409 oa_pdf/25/08/btu475.PMC4147927.pdf pmc SourceForge
https://sourceforge.net/p/molmol/wiki/Home net,sourceforge)/p/molmol/wiki/home 201805 oa_pdf/45/72/nihms-1525272.PMC6500462.pdf pmc SourceForge
https://sourceforge.net/p/geneontology/ontology-requests net,sourceforge)/p/geneontology/ontology-requests 201501 oa_pdf/90/b4/gku1179.PMC4383973.pdf pmc SourceForge
https://sourceforge.net/p/gbchen/wiki/Hong%20Lee's%20Transformation%20for%20Heritability net,sourceforge)/p/gbchen/wiki/hong%20lee's%20transformation%20for%20heritability 201901 oa_pdf/07/97/ddy347.PMC6322072.pdf pmc SourceForge
https://sourceforge.net/p/tfbsscanner net,sourceforge)/p/tfbsscanner 201203 oa_pdf/0b/9f/gkr1252.PMC3300004.pdf pmc SourceForge
https://sourceforge.net/p/abyssgrid net,sourceforge)/p/abyssgrid 201203 oa_pdf/b7/25/fgene-03-00038.PMC3306921.pdf pmc SourceForge
https://ghmm.sourceforge.net/software net,sourceforge,ghmm)/software 200804 oa_pdf/b1/4c/gkn110.PMC2367727.pdf pmc SourceForge
https://sourceforge.net/p/crosshub net,sourceforge)/p/crosshub 201604 oa_pdf/c7/03/gkv1478.PMC4838350.pdf pmc SourceForge
https://sourceforge.net/p/adamajava/wiki/qMotif net,sourceforge)/p/adamajava/wiki/qmotif 201806 oa_pdf/ff/55/gky297.PMC6007693.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202011 oa_pdf/70/88/nihms-1649694.PMC7724632.pdf pmc SourceForge
https://sashimi.sourceforge.net/software_glossolalia.html net,sourceforge,sashimi)/software_glossolalia.html 201001 oa_pdf/be/ed/11306_2009_Article_196.PMC2874485.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202103 oa_pdf/7c/8e/461.PMC7919447.pdf pmc SourceForge
https://sourceforge.net/p/cfm-id/wiki/Home net,sourceforge)/p/cfm-id/wiki/home 202103 oa_pdf/09/d3/ac0c04473.PMC8153395.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202103 oa_pdf/e2/e1/nihms-1777249.PMC8893346.pdf pmc SourceForge
https://www.sourceforge.net/p/mitsu-motif net,sourceforge)/p/mitsu-motif 201406 oa_pdf/67/5f/btu286.PMC4058950.pdf pmc SourceForge
https://sourceforge.net/p/conspred net,sourceforge)/p/conspred 201703 oa_pdf/d9/d8/ismej2016148a.PMC5322300.pdf pmc SourceForge
https://sourceforge.net/p/lemur/wiki/RankLib net,sourceforge)/p/lemur/wiki/ranklib 201606 oa_pdf/6c/4e/btw244.PMC4908328.pdf pmc SourceForge
https://sourceforge.net/p/lemur/wiki/RankLib net,sourceforge)/p/lemur/wiki/ranklib 201606 oa_pdf/2a/14/btw294.PMC4908368.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202102 oa_pdf/94/75/main.PMC7868615.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/usage/#count net,sourceforge)/p/mageck/wiki/usage 202102 oa_pdf/94/75/main.PMC7868615.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202006 oa_pdf/6e/fc/aaz6699.PMC7299619.pdf pmc SourceForge
https://sourceforge.net/p/breakseek net,sourceforge)/p/breakseek 201508 oa_pdf/99/92/gkv605.PMC4538813.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202109 oa_pdf/ae/5a/main.PMC8496177.pdf pmc SourceForge
https://sourceforge.net/p/spinalcordtoolbox/wiki/Home net,sourceforge)/p/spinalcordtoolbox/wiki/home 201904 oa_pdf/4f/6e/JMRI-49-1078.PMC6620602.pdf pmc SourceForge
https://sourceforge.net/p/spinalcordtoolbox/wiki/tools net,sourceforge)/p/spinalcordtoolbox/wiki/tools 201904 oa_pdf/4f/6e/JMRI-49-1078.PMC6620602.pdf pmc SourceForge
https://sourceforge.net/p/mageck/wiki/Home net,sourceforge)/p/mageck/wiki/home 202105 oa_pdf/4a/49/main.PMC8164093.pdf pmc SourceForge
https://sourceforge.net/p/jacq/_list/git?source=navbar net,sourceforge)/p/jacq/_list/git?source=navbar 201401 oa_pdf/c8/71/gkt928.PMC3965106.pdf pmc SourceForge
https://sourceforge.net/p/deet/code/ci/master/tree net,sourceforge)/p/deet/code/ci/master/tree 201801 oa_pdf/8d/5c/pnas.201717502.PMC5798368.pdf pmc SourceForge
https://sourceforge.net/p/hposim/summary net,sourceforge)/p/hposim/summary 201909 oa_pdf/f1/24/main.PMC6838934.pdf pmc SourceForge
https://sourceforge.net/p/vectorpartition/code/1119/tree net,sourceforge)/p/vectorpartition/code/1119/tree 201209 1209.3970v3.pdf arxiv SourceForge
https://sourceforge.net/p/lemur/wiki/RankLib net,sourceforge)/p/lemur/wiki/ranklib 201710 1710.05649v2.pdf arxiv SourceForge
