URL SURT Directory File Repo Corpus
https://cantera.github.com/docs/sphinx/html/index.html com,github,cantera)/docs/sphinx/html/index.html 201208 18510/JONES-THESIS.pdf tamu GitHub
https://libgit2.github.com com,github,libgit2)/ 201205 5831/MATTHEWS-DISSERTATION.pdf tamu GitHub
https://addyosmani.github.com/todomvc com,github,addyosmani)/todomvc 201605 13229/FREEMAN-DISSERTATION-2016.pdf tamu GitHub
https://osrg.github.io/ryu io,github,osrg)/ryu 201812 4116/MADHUSUNDARARAJU-THESIS-2018.pdf tamu GitHub
https://cpqd.github.io/ofsoftswitch13 io,github,cpqd)/ofsoftswitch13 201812 4116/MADHUSUNDARARAJU-THESIS-2018.pdf tamu GitHub
https://cs231n.github.io io,github,cs231n)/ 201812 4005/MILLER-THESIS-2018.pdf tamu GitHub
https://adeshpande3.github.io/adeshpande3.github.io/a-beginner%27s-guide-to-understanding-convolutional-neural-networks io,github,adeshpande3)/adeshpande3.github.io/a-beginner's-guide-to-understanding-convolutional-neural-networks 201812 4005/MILLER-THESIS-2018.pdf tamu GitHub
https://colah.github.io/posts/2015-08-understanding-lstms io,github,colah)/posts/2015-08-understanding-lstms 201812 4073/CHANG-THESIS-2018.pdf tamu GitHub
https://pulseq.github.io io,github,pulseq)/ 201812 973/BAUER-THESIS-2018.pdf tamu GitHub
https://christophm.github.io/interpretable-ml-book io,github,christophm)/interpretable-ml-book 202005 3035/WANG-DISSERTATION-2020.pdf tamu GitHub
https://christophm.github.io/interpretable-ml-book io,github,christophm)/interpretable-ml-book 202005 2627/HILLIARD-DISSERTATION-2020.pdf tamu GitHub
https://transdecoder.github.io io,github,transdecoder)/ 202005 2627/HILLIARD-DISSERTATION-2020.pdf tamu GitHub
https://jalammar.github.io/visualizing-neural-machine-translation-mechanics-of-seq2seq-models-with-attention io,github,jalammar)/visualizing-neural-machine-translation-mechanics-of-seq2seq-models-with-attention 202005 3106/ZHAO-DISSERTATION-2020.pdf tamu GitHub
https://mcneela.github.io/machine_learning/2017/03/21/universal-approximation-theorem.html io,github,mcneela)/machine_learning/2017/03/21/universal-approximation-theorem.html 202005 3106/ZHAO-DISSERTATION-2020.pdf tamu GitHub
https://headmyshoulder.github.io/odeint-v2 io,github,headmyshoulder)/odeint-v2 201412 5623/COUSINEAU-THESIS-2014.pdf tamu GitHub
https://opennetworkingfoundation.github.io/libfluid io,github,opennetworkingfoundation)/libfluid 201808 2403/WANG-DISSERTATION-2018.pdf tamu GitHub
https://metricsgrimoire.github.io io,github,metricsgrimoire)/ 201808 369/SMITH-THESIS-2018.pdf tamu GitHub
https://github.com com,github)/ 201808 369/SMITH-THESIS-2018.pdf tamu GitHub
https://colah.github.io/posts/2015-08-understanding-lstms io,github,colah)/posts/2015-08-understanding-lstms 201808 2400/TIMMARAJU-THESIS-2018.pdf tamu GitHub
https://karpathy.github.io/2015/05/21/rnn-effectiveness io,github,karpathy)/2015/05/21/rnn-effectiveness 202008 1082/PEDDAREDDYGARI-THESIS-2020.pdf tamu GitHub
https://guanlongzhao.github.io/demo/reference-free-ac io,github,guanlongzhao)/demo/reference-free-ac 202008 726/ZHAO-DISSERTATION-2020.pdf tamu GitHub
https://wec-sim.github.io/wec-sim/index.html io,github,wec-sim)/wec-sim/index.html 202008 3733/WANG-DISSERTATION-2020.pdf tamu GitHub
https://gist.github.com/anvaka/8e8fa57c7ee1350e3491 com,github,gist)/anvaka/8e8fa57c7ee1350e3491 202008 1578/BHAT-THESIS-2020.pdf tamu GitHub
https://microsoft.github.io/language-server-protocol io,github,microsoft)/language-server-protocol 202008 950/LI-THESIS-2020.pdf tamu GitHub
https://nabla-contain-ers.github.io io,github,nabla-contain-ers)/ 202008 848/KANMANTHAREDDY-THESIS-2020.pdf tamu GitHub
https://colah.github.io/posts/2015-08-understanding-lstms io,github,colah)/posts/2015-08-understanding-lstms 202008 4153/KAREEPADATHSAJEEV-THESIS-2020.pdf tamu GitHub
https://stanfordnlp.github.io/corenlp io,github,stanfordnlp)/corenlp 201805 102/BHAGAT-THESIS-2018.pdf tamu GitHub
https://memkind.github.io io,github,memkind)/ 202012 18817/WEN-DISSERTATION-2020.pdf tamu GitHub
https://allenai.github.io/scispacy io,github,allenai)/scispacy 202012 18388/KJELDGAARD-DISSERTATION-2020.pdf tamu GitHub
https://usda-ars-gbru.github.io/microbiome- io,github,usda-ars-gbru)/microbiome- 202012 18291/WOODS-THESIS-2020.pdf tamu GitHub
https://giuliomarin.github.io io,github,giuliomarin)/ 202012 18808/ADAMS-DISSERTATION-2020.pdf tamu GitHub
https://openvswitch.github.io/papers/hotnets2009.pdf io,github,openvswitch)/papers/hotnets2009.pdf 201612 2794/MORRISON-THESIS-2016.pdf tamu GitHub
https://raw.github.com/krusek/mathematics/master/sage/amoeba.sage com,github,raw)/krusek/mathematics/master/sage/amoeba.sage 201308 19486/RUSEK-DISSERTATION-2013.pdf tamu GitHub
https://picrust.github.io/picrust io,github,picrust)/picrust 201508 17571/MINAMOTO-DISSERTATION-2015.pdf tamu GitHub
https://brittanystreet.github.io/website/street_brittany_jmp.pdf io,github,brittanystreet)/website/street_brittany_jmp.pdf 201908 858/BACKSTROM-DISSERTATION-2019.pdf tamu GitHub
https://noxrepo.github.io/pox-doc/html io,github,noxrepo)/pox-doc/html 201908 5834/XU-DISSERTATION-2019.pdf tamu GitHub
https://osrg.github.io/ryu io,github,osrg)/ryu 201908 5834/XU-DISSERTATION-2019.pdf tamu GitHub
https://florianhartig.github.io/dharma io,github,florianhartig)/dharma 201908 3228/PREISSER-DISSERTATION-2019.pdf tamu GitHub
https://tt-acm.github.io/spectacles.webviewer io,github,tt-acm)/spectacles.webviewer 201908 5844/TUZUNCANADINC-THESIS-2019.pdf tamu GitHub
https://urldefense.proofpoint.com/v2/url?u=https-3a__lixinqu.github.io&d=dwmgaq&c=odft-g5sujmigrkuojjjvg&r=8pv1g_oct00guynpyahazw&m=mxgxyzthooenk1ppms1veafrhbexes8pa_nkwogq59g&s=q_vmo7psou-nboyntgjdf93q-irkzfjzsq8cx3lykvw&e= com,proofpoint,urldefense)/v2/url?c=odft-g5sujmigrkuojjjvg&d=dwmgaq&e=&m=mxgxyzthooenk1ppms1veafrhbexes8pa_nkwogq59g&r=8pv1g_oct00guynpyahazw&s=q_vmo7psou-nboyntgjdf93q-irkzfjzsq8cx3lykvw&u=https-3a__lixinqu.github.io 201908 3127/Permission_copyrighted_material_1.pdf tamu GitHub
https://broadinstitute.github.io/picard io,github,broadinstitute)/picard 201908 20007/LIU-DISSERTATION-2019.pdf tamu GitHub
https://colah.github.io/posts/2015-08-understanding-lstms io,github,colah)/posts/2015-08-understanding-lstms 201912 21993/PAN-DISSERTATION-2019.pdf tamu GitHub
https://rajanil.github.io/faststructure io,github,rajanil)/faststructure 202105 18684/MANKAR-DISSERTATION-2021.pdf tamu GitHub
https://cornell-ece5745.github.io/ece5745-tut5-asic-tools io,github,cornell-ece5745)/ece5745-tut5-asic-tools 202105 778/DEVARASETTI-THESIS-2021.pdf tamu GitHub
https://github.com com,github)/ 202105 2044/OSORIOHURTADO-DISSERTATION-2021.pdf tamu GitHub
https://broadinstitute.github.io/picard io,github,broadinstitute)/picard 202105 2883/GAIRE-DISSERTATION-2021.pdf tamu GitHub
https://markummitchell.github.io/engauge-digitizer io,github,markummitchell)/engauge-digitizer 202105 2613/PIERSON-DISSERTATION-2021.pdf tamu GitHub
https://ajdawson.github.io/windspharm/latest io,github,ajdawson)/windspharm/latest 202105 18219/WODZICKI-DISSERTATION-2021.pdf tamu GitHub
https://trynthink.github.io/buildingsdatasets io,github,trynthink)/buildingsdatasets 201705 17921/CHEN-DISSERTATION-2017.pdf tamu GitHub
https://saylordotorg.github.io/text_general-chemistry-principles-patterns-and-applications-v1.0/s23-06-corrosion.html io,github,saylordotorg)/text_general-chemistry-principles-patterns-and-applications-v1.0/s23-06-corrosion.html 201712 4436/REIS-THESIS-2017.pdf tamu GitHub
https://cpqd.github.io/ofsoftswitch13 io,github,cpqd)/ofsoftswitch13 201905 3992/RUMULY-THESIS-2019.pdf tamu GitHub
https://cole-trapnell-lab.github.io/cufflinks/cuffdiff io,github,cole-trapnell-lab)/cufflinks/cuffdiff 201505 9625/MCLOUD-DISSERTATION-2015.pdf tamu GitHub
https://medialize.github.io/jquery-contextmenu io,github,medialize)/jquery-contextmenu 201505 15074/SINGH-THESIS-2015.pdf tamu GitHub
https://broadinstitute.github.io/picard io,github,broadinstitute)/picard 202112 5061/FOLCIK-DISSERTATION-2021.pdf tamu GitHub
https://ihesp.github.io/rcesm1/introduction.html#id2 io,github,ihesp)/rcesm1/introduction.html 202112 17736/YU-DISSERTATION-2021.pdf tamu GitHub
https://unmannedlab.github.io/research/roadside-lidar io,github,unmannedlab)/research/roadside-lidar 202112 3372/DARWESH-THESIS-2021.pdf tamu GitHub
https://bayareametro.github.io/spatial-analysis-mapping-projects/project-documentation/communities-of-concern io,github,bayareametro)/spatial-analysis-mapping-projects/project-documentation/communities-of-concern 202112 18274/KUZIO-DISSERTATION-2021.pdf tamu GitHub
https://homedata.github.io io,github,homedata)/ 202112 18044/VENKATARAMU-THESIS-2021.pdf tamu GitHub
