Directory,URICount,Category,TotalURIs
2012-08,2495,Total,2495
2012-08,598,OADS,2495
2012-08,1887,NonOADS,2495
2012-08,9,SourceForge,2495
2012-08,1,GitHub,2495
2012-08,0,GitLab,2495
2012-08,0,Bitbucket,2495
1998-04,48,Total,48
1998-04,2,OADS,48
1998-04,46,NonOADS,48
1998-04,0,SourceForge,48
1998-04,0,GitHub,48
1998-04,0,GitLab,48
1998-04,0,Bitbucket,48
1998-12,76,Total,76
1998-12,3,OADS,76
1998-12,73,NonOADS,76
1998-12,0,SourceForge,76
1998-12,0,GitHub,76
1998-12,0,GitLab,76
1998-12,0,Bitbucket,76
2000-08,111,Total,111
2000-08,17,OADS,111
2000-08,94,NonOADS,111
2000-08,0,SourceForge,111
2000-08,0,GitHub,111
2000-08,0,GitLab,111
2000-08,0,Bitbucket,111
1997-01,3,Total,3
1997-01,2,OADS,3
1997-01,1,NonOADS,3
1997-01,0,SourceForge,3
1997-01,0,GitHub,3
1997-01,0,GitLab,3
1997-01,0,Bitbucket,3
2010-09,1572,Total,1572
2010-09,385,OADS,1572
2010-09,1181,NonOADS,1572
2010-09,6,SourceForge,1572
2010-09,0,GitHub,1572
2010-09,0,GitLab,1572
2010-09,0,Bitbucket,1572
2002-09,51,Total,51
2002-09,5,OADS,51
2002-09,46,NonOADS,51
2002-09,0,SourceForge,51
2002-09,0,GitHub,51
2002-09,0,GitLab,51
2002-09,0,Bitbucket,51
2000-12,83,Total,83
2000-12,7,OADS,83
2000-12,76,NonOADS,83
2000-12,0,SourceForge,83
2000-12,0,GitHub,83
2000-12,0,GitLab,83
2000-12,0,Bitbucket,83
2009-11,814,Total,814
2009-11,189,OADS,814
2009-11,622,NonOADS,814
2009-11,3,SourceForge,814
2009-11,0,GitHub,814
2009-11,0,GitLab,814
2009-11,0,Bitbucket,814
2016-03,8268,Total,8268
2016-03,1262,OADS,8268
2016-03,6982,NonOADS,8268
2016-03,7,SourceForge,8268
2016-03,15,GitHub,8268
2016-03,0,GitLab,8268
2016-03,2,Bitbucket,8268
2005-07,49,Total,49
2005-07,18,OADS,49
2005-07,31,NonOADS,49
2005-07,0,SourceForge,49
2005-07,0,GitHub,49
2005-07,0,GitLab,49
2005-07,0,Bitbucket,49
1998-08,50,Total,50
1998-08,3,OADS,50
1998-08,47,NonOADS,50
1998-08,0,SourceForge,50
1998-08,0,GitHub,50
1998-08,0,GitLab,50
1998-08,0,Bitbucket,50
2012-04,2886,Total,2886
2012-04,644,OADS,2886
2012-04,2231,NonOADS,2886
2012-04,11,SourceForge,2886
2012-04,0,GitHub,2886
2012-04,0,GitLab,2886
2012-04,0,Bitbucket,2886
2008-03,454,Total,454
2008-03,130,OADS,454
2008-03,322,NonOADS,454
2008-03,2,SourceForge,454
2008-03,0,GitHub,454
2008-03,0,GitLab,454
2008-03,0,Bitbucket,454
2017-11,128,Total,128
2017-11,17,OADS,128
2017-11,111,NonOADS,128
2017-11,0,SourceForge,128
2017-11,0,GitHub,128
2017-11,0,GitLab,128
2017-11,0,Bitbucket,128
2004-03,76,Total,76
2004-03,23,OADS,76
2004-03,53,NonOADS,76
2004-03,0,SourceForge,76
2004-03,0,GitHub,76
2004-03,0,GitLab,76
2004-03,0,Bitbucket,76
2012-12,3520,Total,3520
2012-12,743,OADS,3520
2012-12,2761,NonOADS,3520
2012-12,15,SourceForge,3520
2012-12,1,GitHub,3520
2012-12,0,GitLab,3520
2012-12,0,Bitbucket,3520
2017-07,1191,Total,1191
2017-07,248,OADS,1191
2017-07,938,NonOADS,1191
2017-07,0,SourceForge,1191
2017-07,4,GitHub,1191
2017-07,0,GitLab,1191
2017-07,1,Bitbucket,1191
2009-07,1292,Total,1292
2009-07,475,OADS,1292
2009-07,802,NonOADS,1292
2009-07,15,SourceForge,1292
2009-07,0,GitHub,1292
2009-07,0,GitLab,1292
2009-07,0,Bitbucket,1292
2000-04,111,Total,111
2000-04,7,OADS,111
2000-04,104,NonOADS,111
2000-04,0,SourceForge,111
2000-04,0,GitHub,111
2000-04,0,GitLab,111
2000-04,0,Bitbucket,111
2005-11,118,Total,118
2005-11,36,OADS,118
2005-11,81,NonOADS,118
2005-11,1,SourceForge,118
2005-11,0,GitHub,118
