URLCount,cdf,Category
0,0,SourceForge
1,89.19019316493313,SourceForge
2,97.48637939574047,SourceForge
3,99.09608717186727,SourceForge
4,99.51708766716196,SourceForge
5,99.6532937097573,SourceForge
6,99.70282317979198,SourceForge
7,99.76473501733531,SourceForge
8,99.77711738484399,SourceForge
9,99.78949975235265,SourceForge
10,99.85141158989599,SourceForge
11,99.87617632491333,SourceForge
12,99.888558692422,SourceForge
14,99.90094105993066,SourceForge
16,99.92570579494799,SourceForge
18,99.93808816245667,SourceForge
19,99.962852897474,SourceForge
23,99.97523526498267,SourceForge
24,99.98761763249134,SourceForge
31,100.0,SourceForge
0,0,GitHub
1,66.28589611009467,GitHub
2,84.70129663511257,GitHub
3,91.9115424389468,GitHub
4,95.27165698830643,GitHub
5,97.01217086946147,GitHub
6,97.97311271975182,GitHub
7,98.53631373796836,GitHub
8,98.90064434014796,GitHub
9,99.16076684432424,GitHub
10,99.31270384217645,GitHub
11,99.43441253679103,GitHub
12,99.52191551984727,GitHub
13,99.59350886962056,GitHub
14,99.63805584281283,GitHub
15,99.68339829766924,GitHub
16,99.71283111924271,GitHub
17,99.74385490414447,GitHub
18,99.76453742741231,GitHub
19,99.78840187733672,GitHub
20,99.80431151061968,GitHub
21,99.81863018057435,GitHub
22,99.83056240553655,GitHub
23,99.84567655715536,GitHub
24,99.85681330045342,GitHub
25,99.86158619043832,GitHub
26,99.87510937872882,GitHub
27,99.88226871370614,GitHub
28,99.88942804868347,GitHub
29,99.89579190199666,GitHub
30,99.89897382865325,GitHub
31,99.90454220030229,GitHub
32,99.9117015352796,GitHub
33,99.9148834619362,GitHub
34,99.91886087025694,GitHub
35,99.92363376024183,GitHub
36,99.92999761355502,GitHub
37,99.9347705035399,GitHub
38,99.93795243019649,GitHub
39,99.94352080184552,GitHub
40,99.94590724683796,GitHub
41,99.94988465515871,GitHub
42,99.951475618487,GitHub
43,99.95386206347943,GitHub
44,99.95704399013603,GitHub
45,99.96022591679262,GitHub
46,99.9618168801209,GitHub
47,99.9634078434492,GitHub
48,99.96420332511336,GitHub
49,99.9665897701058,GitHub
50,99.96818073343408,GitHub
52,99.96897621509824,GitHub
55,99.9697716967624,GitHub
56,99.97215814175483,GitHub
57,99.97295362341899,GitHub
59,99.97454458674727,GitHub
61,99.97534006841143,GitHub
62,99.97613555007557,GitHub
63,99.97693103173972,GitHub
65,99.97772651340388,GitHub
66,99.97931747673216,GitHub
68,99.98090844006046,GitHub
71,99.98249940338874,GitHub
72,99.9832948850529,GitHub
74,99.98409036671706,GitHub
77,99.9848858483812,GitHub
79,99.98568133004535,GitHub
81,99.98647681170951,GitHub
84,99.98727229337365,GitHub
85,99.9880677750378,GitHub
87,99.98886325670196,GitHub
92,99.9896587383661,GitHub
94,99.99045422003026,GitHub
95,99.9912497016944,GitHub
97,99.99204518335856,GitHub
99,99.99284066502271,GitHub
106,99.99363614668685,GitHub
109,99.99443162835101,GitHub
117,99.99522711001516,GitHub
125,99.9960225916793,GitHub
134,99.99681807334346,GitHub
144,99.99761355500762,GitHub
153,99.99840903667176,GitHub
160,99.99920451833592,GitHub
896,100.00000000000007,GitHub
0,0,GitLab
1,85.27131782945736,GitLab
2,94.93540051679587,GitLab
3,97.2609819121447,GitLab
4,98.08785529715762,GitLab
5,98.656330749354,GitLab
6,98.96640826873386,GitLab
7,99.17312661498708,GitLab
8,99.328165374677,GitLab
9,99.48320413436691,GitLab
10,99.53488372093022,GitLab
12,99.58656330749352,GitLab
13,99.63824289405683,GitLab
21,99.68992248062013,GitLab
24,99.74160206718344,GitLab
25,99.79328165374673,GitLab
39,99.84496124031004,GitLab
49,99.89664082687334,GitLab
51,99.94832041343665,GitLab
138,99.99999999999994,GitLab
0,0,Bitbucket
1,88.88527786805331,Bitbucket
2,97.40006499837504,Bitbucket
3,98.73253168670783,Bitbucket
4,99.48001299967501,Bitbucket
5,99.7075073123172,Bitbucket
6,99.80500487487814,Bitbucket
7,99.87000324991875,Bitbucket
8,99.90250243743907,Bitbucket
13,99.9675008124797,Bitbucket
25,100.0,Bitbucket
