Directory,URLCount,Category
2012-09,3566,Total
2012-09,35,SourceForge
2012-09,21,GitHub
2012-09,0,GitLab
2012-09,10,Bitbucket
2010-08,2924,Total
2010-08,29,SourceForge
2010-08,1,GitHub
2010-08,0,GitLab
2010-08,1,Bitbucket
2017-10,7076,Total
2017-10,36,SourceForge
2017-10,641,GitHub
2017-10,4,GitLab
2017-10,19,Bitbucket
2008-02,1863,Total
2008-02,10,SourceForge
2008-02,0,GitHub
2008-02,0,GitLab
2008-02,0,Bitbucket
2012-05,1864,Total
2012-05,22,SourceForge
2012-05,8,GitHub
2012-05,0,GitLab
2012-05,0,Bitbucket
2016-02,3571,Total
2016-02,28,SourceForge
2016-02,169,GitHub
2016-02,1,GitLab
2016-02,18,Bitbucket
2009-10,2729,Total
2009-10,23,SourceForge
2009-10,0,GitHub
2009-10,0,GitLab
2009-10,0,Bitbucket
2013-01,4673,Total
2013-01,46,SourceForge
2013-01,41,GitHub
2013-01,0,GitLab
2013-01,4,Bitbucket
2009-06,2859,Total
2009-06,31,SourceForge
2009-06,3,GitHub
2009-06,0,GitLab
2009-06,1,Bitbucket
2017-06,9098,Total
2017-06,51,SourceForge
2017-06,742,GitHub
2017-06,8,GitLab
2017-06,26,Bitbucket
2010-04,401,Total
2010-04,5,SourceForge
2010-04,0,GitHub
2010-04,0,GitLab
2010-04,0,Bitbucket
2019-07,15481,Total
2019-07,46,SourceForge
2019-07,1984,GitHub
2019-07,23,GitLab
2019-07,37,Bitbucket
2015-11,5152,Total
2015-11,33,SourceForge
2015-11,273,GitHub
2015-11,1,GitLab
2015-11,9,Bitbucket
2020-14,0,Total
2020-14,0,SourceForge
2020-14,0,GitHub
2020-14,0,GitLab
2020-14,0,Bitbucket
2014-03,5411,Total
2014-03,56,SourceForge
2014-03,80,GitHub
2014-03,0,GitLab
2014-03,5,Bitbucket
2007-07,1937,Total
2007-07,15,SourceForge
2007-07,0,GitHub
2007-07,0,GitLab
2007-07,0,Bitbucket
2021-06,24269,Total
2021-06,39,SourceForge
2021-06,4247,GitHub
2021-06,48,GitLab
2021-06,26,Bitbucket
2018-03,11341,Total
2018-03,40,SourceForge
2018-03,1094,GitHub
2018-03,6,GitLab
2018-03,24,Bitbucket
2007-11,2072,Total
2007-11,10,SourceForge
2007-11,1,GitHub
2007-11,0,GitLab
2007-11,0,Bitbucket
2021-10,15784,Total
2021-10,28,SourceForge
2021-10,2689,GitHub
2021-10,33,GitLab
2021-10,19,Bitbucket
2019-11,12395,Total
2019-11,35,SourceForge
2019-11,1886,GitHub
2019-11,28,GitLab
2019-11,18,Bitbucket
2010-12,3212,Total
2010-12,28,SourceForge
2010-12,4,GitHub
2010-12,0,GitLab
2010-12,0,Bitbucket
2015-07,5738,Total
2015-07,46,SourceForge
2015-07,188,GitHub
2015-07,1,GitLab
2015-07,17,Bitbucket
2020-02,9316,Total
2020-02,29,SourceForge
2020-02,1577,GitHub
2020-02,18,GitLab
2020-02,14,Bitbucket
2020-03,15081,Total
2020-03,50,SourceForge
2020-03,2211,GitHub
2020-03,30,GitLab
2020-03,30,Bitbucket
2019-10,13262,Total
2019-10,31,SourceForge
2019-10,1881,GitHub
2019-10,9,GitLab
2019-10,22,Bitbucket
2015-06,6679,Total
2015-06,58,SourceForge
2015-06,243,GitHub
2015-06,4,GitLab
2015-06,17,Bitbucket
2021-11,12042,Total
2021-11,28,SourceForge
2021-11,1780,GitHub
2021-11,13,GitLab
2021-11,15,Bitbucket
2018-02,10833,Total
2018-02,53,SourceForge
2018-02,1112,GitHub
2018-02,5,GitLab
2018-02,29,Bitbucket
2007-10,2856,Total
2007-10,11,SourceForge
2007-10,0,GitHub
2007-10,0,GitLab
2007-10,0,Bitbucket
2011-01,3032,Total
2011-01,24,SourceForge
2011-01,1,GitHub
2011-01,0,GitLab
2011-01,0,Bitbucket
2021-07,16553,Total
2021-07,35,SourceForge
2021-07,2462,GitHub
2021-07,21,GitLab
2021-07,19,Bitbucket
2014-02,4513,Total
2014-02,33,SourceForge
2014-02,68,GitHub
2014-02,0,GitLab
2014-02,11,Bitbucket
2007-06,1753,Total
2007-06,14,SourceForge
2007-06,0,GitHub
2007-06,0,GitLab
2007-06,0,Bitbucket
2010-05,3135,Total
2010-05,18,SourceForge
2010-05,1,GitHub
2010-05,0,GitLab
2010-05,0,Bitbucket
2019-06,10275,Total
2019-06,39,SourceForge
2019-06,1468,GitHub
2019-06,9,GitLab
2019-06,12,Bitbucket
2015-10,6230,Total
2015-10,57,SourceForge
2015-10,229,GitHub
2015-10,0,GitLab
2015-10,13,Bitbucket
2017-07,8032,Total
2017-07,50,SourceForge
2017-07,711,GitHub
2017-07,3,GitLab
2017-07,22,Bitbucket
2012-12,4153,Total
2012-12,30,SourceForge
2012-12,23,GitHub
2012-12,0,GitLab
2012-12,2,Bitbucket
2009-07,2582,Total
2009-07,15,SourceForge
2009-07,0,GitHub
2009-07,0,GitLab
2009-07,1,Bitbucket
2016-03,7144,Total
2016-03,42,SourceForge
2016-03,342,GitHub
2016-03,2,GitLab
2016-03,11,Bitbucket
2009-11,1449,Total
2009-11,3,SourceForge
2009-11,1,GitHub
2009-11,0,GitLab
2009-11,0,Bitbucket
2017-11,9776,Total
2017-11,45,SourceForge
2017-11,1010,GitHub
2017-11,8,GitLab
2017-11,26,Bitbucket
2008-03,1914,Total
2008-03,21,SourceForge
2008-03,0,GitHub
2008-03,0,GitLab
2008-03,0,Bitbucket
2012-04,4280,Total
2012-04,51,SourceForge
2012-04,19,GitHub
2012-04,0,GitLab
2012-04,2,Bitbucket
2010-09,2755,Total
2010-09,35,SourceForge
2010-09,2,GitHub
2010-09,0,GitLab
2010-09,1,Bitbucket
2012-08,4189,Total
2012-08,37,SourceForge
2012-08,29,GitHub
2012-08,0,GitLab
2012-08,5,Bitbucket
2008-04,1967,Total
2008-04,15,SourceForge
2008-04,0,GitHub
2008-04,0,GitLab
2008-04,0,Bitbucket
2012-03,3986,Total
2012-03,31,SourceForge
2012-03,22,GitHub
2012-03,0,GitLab
2012-03,3,Bitbucket
2013-11,4730,Total
2013-11,52,SourceForge
2013-11,52,GitHub
2013-11,1,GitLab
2013-11,5,Bitbucket
2016-04,6652,Total
2016-04,42,SourceForge
2016-04,326,GitHub
2016-04,5,GitLab
2016-04,25,Bitbucket
2013-07,5167,Total
2013-07,42,SourceForge
2013-07,53,GitHub
2013-07,0,GitLab
2013-07,6,Bitbucket
2016-12,4207,Total
2016-12,16,SourceForge
2016-12,243,GitHub
2016-12,1,GitLab
2016-12,10,Bitbucket
2008-12,2159,Total
2008-12,6,SourceForge
2008-12,0,GitHub
2008-12,0,GitLab
2008-12,0,Bitbucket
2019-01,10934,Total
2019-01,41,SourceForge
2019-01,1242,GitHub
2019-01,15,GitLab
2019-01,40,Bitbucket
2010-02,2547,Total
2010-02,17,SourceForge
2010-02,0,GitHub
2010-02,0,GitLab
2010-02,0,Bitbucket
2020-12,14987,Total
2020-12,32,SourceForge
2020-12,2218,GitHub
2020-12,25,GitLab
2020-12,20,Bitbucket
2014-05,5299,Total
2014-05,44,SourceForge
2014-05,87,GitHub
2014-05,3,GitLab
2014-05,14,Bitbucket
2011-10,3895,Total
2011-10,29,SourceForge
2011-10,11,GitHub
2011-10,0,GitLab
2011-10,1,Bitbucket
2011-06,3211,Total
2011-06,28,SourceForge
2011-06,7,GitHub
2011-06,0,GitLab
2011-06,1,Bitbucket
2018-05,11982,Total
2018-05,41,SourceForge
2018-05,1343,GitHub
2018-05,11,GitLab
2018-05,28,Bitbucket
2015-01,5353,Total
2015-01,44,SourceForge
2015-01,112,GitHub
2015-01,0,GitLab
2015-01,8,Bitbucket
2020-04,12766,Total
2020-04,40,SourceForge
2020-04,2051,GitHub
2020-04,20,GitLab
2020-04,20,Bitbucket
2008-08,1785,Total
2008-08,7,SourceForge
2008-08,0,GitHub
2008-08,0,GitLab
2008-08,0,Bitbucket
2016-08,7152,Total
2016-08,59,SourceForge
2016-08,401,GitHub
2016-08,2,GitLab
2016-08,33,Bitbucket
2014-09,4180,Total
2014-09,33,SourceForge
2014-09,58,GitHub
2014-09,0,GitLab
2014-09,9,Bitbucket
2018-09,11710,Total
2018-09,48,SourceForge
2018-09,1288,GitHub
2018-09,13,GitLab
2018-09,25,Bitbucket
2020-08,18320,Total
2020-08,45,SourceForge
2020-08,2323,GitHub
2020-08,38,GitLab
2020-08,21,Bitbucket
2020-09,20144,Total
2020-09,55,SourceForge
2020-09,2755,GitHub
2020-09,51,GitLab
2020-09,35,Bitbucket
2018-08,6160,Total
2018-08,18,SourceForge
2018-08,679,GitHub
2018-08,7,GitLab
2018-08,12,Bitbucket
2014-08,4690,Total
2014-08,42,SourceForge
2014-08,74,GitHub
2014-08,1,GitLab
2014-08,5,Bitbucket
2016-09,1,Total
2016-09,0,SourceForge
2016-09,0,GitHub
2016-09,0,GitLab
2016-09,0,Bitbucket
2008-09,2327,Total
2008-09,15,SourceForge
2008-09,0,GitHub
2008-09,0,GitLab
2008-09,0,Bitbucket
2020-05,20038,Total
2020-05,45,SourceForge
2020-05,2758,GitHub
2020-05,33,GitLab
2020-05,21,Bitbucket
2014-12,5424,Total
2014-12,59,SourceForge
2014-12,155,GitHub
2014-12,0,GitLab
2014-12,5,Bitbucket
2011-07,2919,Total
2011-07,22,SourceForge
2011-07,11,GitHub
2011-07,0,GitLab
2011-07,0,Bitbucket
2018-04,10777,Total
2018-04,48,SourceForge
2018-04,1087,GitHub
2018-04,16,GitLab
2018-04,28,Bitbucket
2021-01,15884,Total
2021-01,33,SourceForge
2021-01,2111,GitHub
2021-01,27,GitLab
2021-01,24,Bitbucket
2014-04,5101,Total
2014-04,42,SourceForge
2014-04,93,GitHub
2014-04,0,GitLab
2014-04,4,Bitbucket
2018-12,12598,Total
2018-12,42,SourceForge
2018-12,1443,GitHub
2018-12,12,GitLab
2018-12,33,Bitbucket
2011-11,4068,Total
2011-11,34,SourceForge
2011-11,14,GitHub
2011-11,0,GitLab
2011-11,1,Bitbucket
2010-03,3241,Total
2010-03,18,SourceForge
2010-03,2,GitHub
2010-03,0,GitLab
2010-03,1,Bitbucket
2017-01,7610,Total
2017-01,51,SourceForge
2017-01,477,GitHub
2017-01,2,GitLab
2017-01,16,Bitbucket
2013-06,4505,Total
2013-06,44,SourceForge
2013-06,43,GitHub
2013-06,0,GitLab
2013-06,4,Bitbucket
2009-01,2224,Total
2009-01,15,SourceForge
2009-01,0,GitHub
2009-01,0,GitLab
2009-01,0,Bitbucket
2013-10,5254,Total
2013-10,48,SourceForge
2013-10,56,GitHub
2013-10,0,GitLab
2013-10,9,Bitbucket
2016-05,5824,Total
2016-05,36,SourceForge
2016-05,554,GitHub
2016-05,1,GitLab
2016-05,15,Bitbucket
2008-05,1958,Total
2008-05,8,SourceForge
2008-05,1,GitHub
2008-05,0,GitLab
2008-05,0,Bitbucket
2012-02,3970,Total
2012-02,30,SourceForge
2012-02,11,GitHub
2012-02,0,GitLab
2012-02,2,Bitbucket
2020-06,22581,Total
2020-06,58,SourceForge
2020-06,3455,GitHub
2020-06,38,GitLab
2020-06,30,Bitbucket
2015-03,5947,Total
2015-03,43,SourceForge
2015-03,155,GitHub
2015-03,0,GitLab
2015-03,9,Bitbucket
2018-07,3047,Total
2018-07,12,SourceForge
2018-07,342,GitHub
2018-07,8,GitLab
2018-07,10,Bitbucket
2011-04,2663,Total
2011-04,15,SourceForge
2011-04,5,GitHub
2011-04,0,GitLab
2011-04,1,Bitbucket
2014-11,3240,Total
2014-11,16,SourceForge
2014-11,71,GitHub
2014-11,0,GitLab
2014-11,7,Bitbucket
2021-02,18713,Total
2021-02,33,SourceForge
2021-02,2718,GitHub
2021-02,36,GitLab
2021-02,28,Bitbucket
2011-12,1648,Total
2011-12,14,SourceForge
2011-12,6,GitHub
2011-12,0,GitLab
2011-12,0,Bitbucket
2018-11,10443,Total
2018-11,44,SourceForge
2018-11,1272,GitHub
2018-11,11,GitLab
2018-11,23,Bitbucket
2014-07,5528,Total
2014-07,44,SourceForge
2014-07,95,GitHub
2014-07,0,GitLab
2014-07,23,Bitbucket
2020-10,23538,Total
2020-10,63,SourceForge
2020-10,4084,GitHub
2020-10,39,GitLab
2020-10,39,Bitbucket
2019-03,13263,Total
2019-03,50,SourceForge
2019-03,1526,GitHub
2019-03,9,GitLab
2019-03,24,Bitbucket
2006-11,1,Total
2006-11,0,SourceForge
2006-11,0,GitHub
2006-11,0,GitLab
2006-11,0,Bitbucket
2017-02,6700,Total
2017-02,53,SourceForge
2017-02,490,GitHub
2017-02,5,GitLab
2017-02,22,Bitbucket
2008-10,2487,Total
2008-10,14,SourceForge
2008-10,1,GitHub
2008-10,0,GitLab
2008-10,0,Bitbucket
2016-10,5093,Total
2016-10,25,SourceForge
2016-10,298,GitHub
2016-10,0,GitLab
2016-10,14,Bitbucket
2009-02,2530,Total
2009-02,10,SourceForge
2009-02,0,GitHub
2009-02,0,GitLab
2009-02,0,Bitbucket
2013-05,4463,Total
2013-05,40,SourceForge
2013-05,34,GitHub
2013-05,0,GitLab
2013-05,4,Bitbucket
2016-06,8236,Total
2016-06,36,SourceForge
2016-06,472,GitHub
2016-06,3,GitLab
2016-06,20,Bitbucket
2012-01,2762,Total
2012-01,24,SourceForge
2012-01,10,GitHub
2012-01,0,GitLab
2012-01,3,Bitbucket
2008-06,1988,Total
2008-06,23,SourceForge
2008-06,0,GitHub
2008-06,0,GitLab
2008-06,0,Bitbucket
2011-08,3493,Total
2011-08,40,SourceForge
2011-08,6,GitHub
2011-08,0,GitLab
2011-08,0,Bitbucket
2013-09,5004,Total
2013-09,43,SourceForge
2013-09,68,GitHub
2013-09,0,GitLab
2013-09,12,Bitbucket
2013-08,3703,Total
2013-08,29,SourceForge
2013-08,49,GitHub
2013-08,1,GitLab
2013-08,11,Bitbucket
2011-09,3787,Total
2011-09,30,SourceForge
2011-09,6,GitHub
2011-09,0,GitLab
2011-09,1,Bitbucket
2008-07,2058,Total
2008-07,16,SourceForge
2008-07,0,GitHub
2008-07,0,GitLab
2008-07,0,Bitbucket
2016-07,6467,Total
2016-07,36,SourceForge
2016-07,294,GitHub
2016-07,3,GitLab
2016-07,17,Bitbucket
2013-12,5139,Total
2013-12,54,SourceForge
2013-12,66,GitHub
2013-12,0,GitLab
2013-12,6,Bitbucket
2016-11,8594,Total
2016-11,51,SourceForge
2016-11,622,GitHub
2016-11,1,GitLab
2016-11,21,Bitbucket
2009-03,2692,Total
2009-03,13,SourceForge
2009-03,3,GitHub
2009-03,0,GitLab
2009-03,0,Bitbucket
2013-04,4683,Total
2013-04,56,SourceForge
2013-04,41,GitHub
2013-04,0,GitLab
2013-04,6,Bitbucket
2017-03,7392,Total
2017-03,51,SourceForge
2017-03,568,GitHub
2017-03,3,GitLab
2017-03,20,Bitbucket
2008-11,2115,Total
2008-11,10,SourceForge
2008-11,1,GitHub
2008-11,0,GitLab
2008-11,0,Bitbucket
2010-01,2825,Total
2010-01,21,SourceForge
2010-01,2,GitHub
2010-01,0,GitLab
2010-01,0,Bitbucket
2019-02,12722,Total
2019-02,42,SourceForge
2019-02,1456,GitHub
2019-02,12,GitLab
2019-02,28,Bitbucket
2020-11,19525,Total
2020-11,50,SourceForge
2020-11,3165,GitHub
2020-11,35,GitLab
2020-11,34,Bitbucket
2018-10,13585,Total
2018-10,47,SourceForge
2018-10,1536,GitHub
2018-10,13,GitLab
2018-10,24,Bitbucket
2014-06,4654,Total
2014-06,33,SourceForge
2014-06,92,GitHub
2014-06,0,GitLab
2014-06,14,Bitbucket
2021-03,24853,Total
2021-03,43,SourceForge
2021-03,4015,GitHub
2021-03,40,GitLab
2021-03,25,Bitbucket
2018-06,9669,Total
2018-06,22,SourceForge
2018-06,975,GitHub
2018-06,6,GitLab
2018-06,34,Bitbucket
2011-05,1113,Total
2011-05,10,SourceForge
2011-05,0,GitHub
2011-05,0,GitLab
2011-05,0,Bitbucket
2014-10,4510,Total
2014-10,45,SourceForge
2014-10,98,GitHub
2014-10,0,GitLab
2014-10,13,Bitbucket
2015-02,5604,Total
2015-02,39,SourceForge
2015-02,144,GitHub
2015-02,0,GitLab
2015-02,16,Bitbucket
2020-07,14403,Total
2020-07,36,SourceForge
2020-07,2296,GitHub
2020-07,177,GitLab
2020-07,20,Bitbucket
2015-09,3186,Total
2015-09,14,SourceForge
2015-09,106,GitHub
2015-09,0,GitLab
2015-09,11,Bitbucket
2007-09,1864,Total
2007-09,11,SourceForge
2007-09,0,GitHub
2007-09,0,GitLab
2007-09,0,Bitbucket
2021-08,20414,Total
2021-08,33,SourceForge
2021-08,3115,GitHub
2021-08,35,GitLab
2021-08,26,Bitbucket
2019-09,9876,Total
2019-09,42,SourceForge
2019-09,1456,GitHub
2019-09,13,GitLab
2019-09,16,Bitbucket
2017-08,7059,Total
2017-08,22,SourceForge
2017-08,796,GitHub
2017-08,6,GitLab
2017-08,17,Bitbucket
2009-08,2102,Total
2009-08,16,SourceForge
2009-08,0,GitHub
2009-08,0,GitLab
2009-08,0,Bitbucket
2015-05,5707,Total
2015-05,38,SourceForge
2015-05,176,GitHub
2015-05,4,GitLab
2015-05,13,Bitbucket
2010-10,2941,Total
2010-10,21,SourceForge
2010-10,0,GitHub
2010-10,0,GitLab
2010-10,0,Bitbucket
2021-12,21207,Total
2021-12,21,SourceForge
2021-12,3505,GitHub
2021-12,39,GitLab
2021-12,31,Bitbucket
2011-02,3027,Total
2011-02,25,SourceForge
2011-02,3,GitHub
2011-02,0,GitLab
2011-02,0,Bitbucket
2018-01,8086,Total
2018-01,34,SourceForge
2018-01,674,GitHub
2018-01,5,GitLab
2018-01,18,Bitbucket
2021-04,20762,Total
2021-04,51,SourceForge
2021-04,3510,GitHub
2021-04,42,GitLab
2021-04,29,Bitbucket
2007-05,1667,Total
2007-05,8,SourceForge
2007-05,0,GitHub
2007-05,0,GitLab
2007-05,0,Bitbucket
2014-01,4948,Total
2014-01,40,SourceForge
2014-01,59,GitHub
2014-01,0,GitLab
2014-01,3,Bitbucket
2019-05,14266,Total
2019-05,37,SourceForge
2019-05,1973,GitHub
2019-05,23,GitLab
2019-05,23,Bitbucket
2010-06,3267,Total
2010-06,24,SourceForge
2010-06,0,GitHub
2010-06,0,GitLab
2010-06,1,Bitbucket
2012-11,4059,Total
2012-11,37,SourceForge
2012-11,35,GitHub
2012-11,0,GitLab
2012-11,2,Bitbucket
2017-04,7890,Total
