Filename,Bitbucket,GitHub,GitLab,SourceForge
0810.2412v2.pdf,,1,,1
1203.0937v2.pdf,,2,,1
1205.5829v3.pdf,,1,,1
1208.4436v1.pdf,1,1,,
1210.2864v1.pdf,,1,,1
1212.3648v3.pdf,1,,,1
1301.1942v2.pdf,,2,,1
1301.5406v3.pdf,,3,,3
1301.6049v1.pdf,,1,,1
1303.0213v1.pdf,,2,,1
1304.5952v3.pdf,,3,,6
1304.7289v1.pdf,1,1,,
1304.7799v3.pdf,,1,,1
1305.7200v1.pdf,,1,,1
1306.0836v1.pdf,,2,,4
1306.1685v1.pdf,1,1,,
1306.4723v1.pdf,1,,,1
1308.2012v2.pdf,,1,,1
1308.2058v1.pdf,,1,,2
1308.3339v4.pdf,1,1,,
1308.4526v5.pdf,,1,1,
1308.4982v3.pdf,1,4,,
1309.2848v1.pdf,,2,,1
1310.1285v3.pdf,,1,,2
1310.3234v1.pdf,3,,,1
1310.3535v1.pdf,,1,,1
1310.7131v1.pdf,,1,,1
1311.3987v1.pdf,,1,,3
1311.6002v2.pdf,,1,,3
1311.6236v1.pdf,,1,,1
1401.1129v2.pdf,,2,,1
1402.4073v2.pdf,1,1,,
1402.6635v1.pdf,1,,,1
1403.0074v5.pdf,,1,,1
1403.5996v3.pdf,1,1,,
1403.6025v4.pdf,,2,,2
1403.6793v4.pdf,1,1,,
1404.1267v2.pdf,,1,,1
1404.1905v1.pdf,,1,,1
1404.3589v6.pdf,,1,,1
1404.3989v2.pdf,,1,,1
1404.4653v1.pdf,,1,,1
1404.4893v1.pdf,,1,,2
1404.6390v2.pdf,,1,,1
1404.7458v4.pdf,,1,,1
1406.1515v1.pdf,,2,,1
1407.5286v4.pdf,1,,,1
1407.5407v2.pdf,,3,,1
1408.0247v2.pdf,,1,,1
1408.0705v3.pdf,,2,,1
1408.0725v1.pdf,,1,,2
1408.2751v3.pdf,,2,,1
1408.4158v3.pdf,2,1,,
1408.4653v2.pdf,,1,,1
1408.4964v1.pdf,,1,,1
1409.0252v4.pdf,1,,,1
1409.3108v1.pdf,,1,,1
1409.3882v1.pdf,,1,,1
1411.1953v1.pdf,,1,,1
1411.2003v3.pdf,1,1,,
1412.1127v1.pdf,,1,,1
1412.1772v1.pdf,,1,,1
1412.2005v1.pdf,,1,,1
1412.5143v4.pdf,2,3,,
1412.6868v2.pdf,,5,,1
1412.7309v1.pdf,,2,,3
1412.7977v1.pdf,,1,,1
1501.01608v2.pdf,1,1,,
1502.01057v1.pdf,1,1,,
1502.01312v3.pdf,,1,,1
1502.01753v1.pdf,,1,,1
1502.02033v1.pdf,,1,,1
1502.05767v4.pdf,,2,,1
1504.01163v2.pdf,,1,,1
1504.01674v4.pdf,,1,,1
1504.02205v3.pdf,,1,,1
1504.02294v1.pdf,,4,,1
1504.02935v1.pdf,1,2,,
1504.03002v3.pdf,1,1,,
1504.03684v2.pdf,,1,,1
1504.04942v1.pdf,,1,,1
1504.07424v1.pdf,2,1,,
1504.08110v1.pdf,,1,,1
1505.00344v1.pdf,1,,,1
1505.01871v2.pdf,1,1,,
1505.02065v6.pdf,,2,,1
1505.04437v1.pdf,1,,,1
1505.04771v2.pdf,,1,,1
1505.05211v1.pdf,,1,,1
1505.05782v2.pdf,,1,,1
1505.05815v2.pdf,,1,,1
1505.06318v4.pdf,,1,,1
1506.00262v1.pdf,,3,,1
1506.01075v1.pdf,,1,,1
1506.02131v1.pdf,2,2,,
1506.03482v1.pdf,,1,,1
1506.04212v2.pdf,3,1,,
1506.04228v1.pdf,,1,,2
1506.04986v1.pdf,2,1,,
1506.07710v2.pdf,,1,,1
1506.08726v3.pdf,1,2,,
1506.08800v3.pdf,,4,,1
1507.00490v2.pdf,,1,,2
1507.03122v1.pdf,,1,,1
1507.03527v1.pdf,,1,,1
1507.04383v1.pdf,,1,,1
1507.05444v6.pdf,,1,,1
1507.05598v2.pdf,2,2,,
1509.05135v2.pdf,,1,,1
1509.07053v1.pdf,,2,,1
1510.00271v2.pdf,1,2,,
1510.01419v3.pdf,,2,,1
1510.02037v2.pdf,,2,,1
1510.02796v1.pdf,,1,,1
1510.05373v1.pdf,,3,,5
1510.09093v1.pdf,,1,,1
1511.02851v2.pdf,,1,,1
1511.05406v1.pdf,,1,,1
1511.06995v1.pdf,,1,,1
1602.01171v1.pdf,1,2,,
1602.01175v1.pdf,2,1,,
1602.05328v1.pdf,1,2,,
1602.06920v3.pdf,,1,,1
1602.07043v2.pdf,1,1,,1
1603.00656v1.pdf,,1,,1
1603.02038v1.pdf,,1,,1
1603.05211v1.pdf,,1,,1
1603.06284v1.pdf,,1,,1
1604.00048v1.pdf,1,1,,
1604.00131v3.pdf,,1,,1
1604.01304v1.pdf,,1,,1
1604.04103v1.pdf,,1,,1
1604.04638v1.pdf,,1,,1
1604.06002v2.pdf,,3,,1
1604.06667v1.pdf,,1,,1
1604.07660v1.pdf,1,1,,
1604.07871v1.pdf,1,3,,
1606.00054v2.pdf,,1,,1
1606.01380v1.pdf,,1,,1
1606.03357v1.pdf,1,1,,
1606.03417v2.pdf,,1,,1
1606.05915v1.pdf,,1,,2
1606.06006v1.pdf,1,1,,
1606.06726v1.pdf,2,2,,
1607.00825v1.pdf,,5,,1
1607.01883v5.pdf,,1,,1
1607.02734v1.pdf,,1,,1
1607.03245v1.pdf,,4,,1
1607.04315v3.pdf,1,1,,
1607.06364v1.pdf,2,1,,
1607.07248v1.pdf,,1,,1
1608.00100v1.pdf,,1,,1
1608.00895v2.pdf,,2,,1
1608.01933v1.pdf,1,4,,
1608.02621v2.pdf,,1,,1
1608.03293v2.pdf,1,1,,
1608.03431v1.pdf,,2,,1
1608.03624v1.pdf,,1,,3
1608.04016v1.pdf,,1,,1
1608.04335v1.pdf,1,1,,
1608.04446v3.pdf,,1,,1
1608.05747v1.pdf,1,1,,
1608.06249v1.pdf,,9,,4
1608.06696v1.pdf,1,1,,
1608.06910v2.pdf,,1,,1
1608.07573v2.pdf,1,1,,
1608.07615v2.pdf,,1,,1
1608.08368v2.pdf,,2,,1
1608.08471v1.pdf,1,,,1
1609.00507v2.pdf,,10,,1
1609.00777v3.pdf,,1,,1
1609.02354v1.pdf,,1,,1
1609.02987v1.pdf,,2,,1
1609.03892v1.pdf,,1,,1
1609.03956v3.pdf,1,2,,
1609.04508v2.pdf,,1,,1
1611.00037v2.pdf,,2,,1
1611.01114v3.pdf,,1,,1
1611.02145v1.pdf,,2,,1
1611.02494v1.pdf,1,2,,
1611.04426v1.pdf,1,1,,
1611.07532v1.pdf,1,,,1
1611.07626v1.pdf,1,1,,
1611.07965v2.pdf,,1,,1
1611.10231v1.pdf,,5,,2
1612.00309v1.pdf,,1,,1
1701.00185v1.pdf,,3,,1
1701.00854v3.pdf,,13,,1
1701.02537v1.pdf,,1,,1
1701.03038v2.pdf,1,1,,
1701.04126v1.pdf,,1,,1
1701.04269v1.pdf,,2,,1
1701.05323v1.pdf,,2,,2
1701.08223v2.pdf,,1,,1
1702.01460v5.pdf,,3,,1
1702.02817v1.pdf,,1,,1
1702.04684v1.pdf,,1,,1
1702.04938v1.pdf,,1,,1
1702.06387v1.pdf,,3,1,
1702.06715v1.pdf,,1,,1
1702.08080v2.pdf,,1,,1
