Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2012-09,SourceForge,1.09375,1.0,0.2914805954090255,1.0,1.0,1.0,0.018401380103507763,1,2
2012-09,GitHub,1.05,1.0,0.21794494717703367,1.0,1.0,1.0,0.011500862564692352,1,2
2012-09,GitLab,0,0,0,0,0,0,0,0,0
2012-09,Bitbucket,1.4285714285714286,1,0.7284313590846836,1.0,1.0,2.0,0.0040253018976423235,1,3
2010-08,SourceForge,1.2083333333333333,1.0,0.5758447900452188,1.0,1.0,1.0,0.017595307917888565,1,3
2010-08,GitHub,1,1,1,1,1,1,0.0007331378299120235,1,1
2010-08,GitLab,0,0,0,0,0,0,0,0,0
2010-08,Bitbucket,1,1,1,1,1,1,0.0007331378299120235,1,1
2017-10,SourceForge,1.0909090909090908,1,0.3784847271756605,1.0,1.0,1.0,0.012079062957540264,1,3
2017-10,GitHub,1.3725910064239828,1,0.8646881391034964,1.0,1.0,2.0,0.17093704245973645,1,10
2017-10,GitLab,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0010980966325036604,1,2
2017-10,Bitbucket,1.0555555555555556,1.0,0.2290614236454256,1.0,1.0,1.0,0.006588579795021962,1,2
2008-02,SourceForge,1.25,1.0,0.4330127018922193,1.0,1.0,1.75,0.0076045627376425855,1,2
2008-02,GitHub,0,0,0,0,0,0,0,0,0
2008-02,GitLab,0,0,0,0,0,0,0,0,0
2008-02,Bitbucket,0,0,0,0,0,0,0,0,0
2012-05,SourceForge,1.375,1.0,0.9921567416492215,1.0,1.0,1.0,0.01805869074492099,1,5
2012-05,GitHub,1.1428571428571428,1,0.3499271061118826,1.0,1.0,1.0,0.007900677200902935,1,2
2012-05,GitLab,0,0,0,0,0,0,0,0,0
2012-05,Bitbucket,0,0,0,0,0,0,0,0,0
2016-02,SourceForge,1.2173913043478262,1,0.5865538070970453,1.0,1.0,1.0,0.015364061456245824,1,3
2016-02,GitHub,1.352,1,0.9818839035242404,1.0,1.0,1.0,0.08350033400133601,1,6
2016-02,GitLab,1,1,1,1,1,1,0.0006680026720106881,1,1
2016-02,Bitbucket,1.125,1.0,0.33071891388307384,1.0,1.0,1.0,0.01068804275217101,1,2
2009-10,SourceForge,1.5333333333333334,1,1.4996295838935991,1.0,1.0,1.0,0.01032346868547832,1,7
2009-10,GitHub,0,0,0,0,0,0,0,0,0
2009-10,GitLab,0,0,0,0,0,0,0,0,0
2009-10,Bitbucket,0,0,0,0,0,0,0,0,0
2013-01,SourceForge,1.15,1.0,0.4213074886588179,1.0,1.0,1.0,0.019598236158745713,1,3
2013-01,GitHub,1.4137931034482758,1,0.8516613127743772,1.0,1.0,1.5,0.014208721215090642,1,4
2013-01,GitLab,0,0,0,0,0,0,0,0,0
2013-01,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0019598236158745713,1,1
2009-06,SourceForge,1.0333333333333334,1.0,0.17950549357115014,1.0,1.0,1.0,0.023310023310023312,1,2
2009-06,GitHub,1.5,1.5,0.5,0.75,1.5,2.25,0.001554001554001554,1,2
2009-06,GitLab,0,0,0,0,0,0,0,0,0
2009-06,Bitbucket,1,1,1,1,1,1,0.000777000777000777,1,1
2017-06,SourceForge,1.0851063829787233,1,0.27903993720434045,1.0,1.0,1.0,0.014013118664281454,1,2
2017-06,GitHub,1.3715341959334566,1,0.8206232997131613,1.0,1.0,1.0,0.16129994036970782,1,8
2017-06,GitLab,1.1428571428571428,1,0.3499271061118826,1.0,1.0,1.0,0.0020870602265951103,1,2
2017-06,Bitbucket,1.04,1,0.19595917942265426,1.0,1.0,1.0,0.007453786523553965,1,2
2010-04,SourceForge,1,1,0.0,1.0,1.0,1.0,0.022222222222222223,1,1
2010-04,GitHub,0,0,0,0,0,0,0,0,0
2010-04,GitLab,0,0,0,0,0,0,0,0,0
2010-04,Bitbucket,0,0,0,0,0,0,0,0,0
2019-07,SourceForge,1.1219512195121952,1,0.3947905867375279,1.0,1.0,1.0,0.007735849056603773,1,3
2019-07,GitHub,1.43042537851478,1,1.0189396247684859,1.0,1.0,2.0,0.26169811320754716,1,14
2019-07,GitLab,1.2105263157894737,1,0.6137844099837159,1.0,1.0,1.0,0.0035849056603773585,1,3
2019-07,Bitbucket,1.0277777777777777,1.0,0.16433554953054488,1.0,1.0,1.0,0.006792452830188679,1,2
2015-11,SourceForge,1.03125,1.0,0.17399263633843817,1.0,1.0,1.0,0.01509433962264151,1,2
2015-11,GitHub,1.318840579710145,1,1.0608458063388464,1.0,1.0,1.0,0.09764150943396227,1,14
2015-11,GitLab,1,1,1,1,1,1,0.0004716981132075472,1,1
2015-11,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.0042452830188679245,1,1
2014-03,SourceForge,1.018181818181818,1,0.133608531424537,1.0,1.0,1.0,0.024466192170818506,1,2
2014-03,GitHub,1.1111111111111112,1.0,0.3142696805273545,1.0,1.0,1.0,0.03202846975088968,1,2
2014-03,GitLab,0,0,0,0,0,0,0,0,0
2014-03,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.002224199288256228,1,1
2007-07,SourceForge,1.1538461538461537,1,0.36080121229410994,1.0,1.0,1.0,0.012464046021093002,1,2
2007-07,GitHub,0,0,0,0,0,0,0,0,0
2007-07,GitLab,0,0,0,0,0,0,0,0,0
2007-07,Bitbucket,0,0,0,0,0,0,0,0,0
2021-06,SourceForge,1.0263157894736843,1.0,0.16007269816574263,1.0,1.0,1.0,0.004986222280540612,1,2
2021-06,GitHub,1.4700588438906197,1,1.0394869347771316,1.0,1.0,2.0,0.37908410969689016,1,21
2021-06,GitLab,1.0909090909090908,1.0,0.35790944881871867,1.0,1.0,1.0,0.005773520535362813,1,3
2021-06,Bitbucket,1.1304347826086956,1,0.4476360930863913,1.0,1.0,1.0,0.003017976643485107,1,3
2018-03,SourceForge,1.1428571428571428,1,0.3499271061118826,1.0,1.0,1.0,0.008682709005209625,1,2
2018-03,GitHub,1.355638166047088,1,0.8247502316851996,1.0,1.0,1.0,0.2001984619201191,1,8
2018-03,GitLab,1,1.0,0.0,1.0,1.0,1.0,0.0014884644008930786,1,1
2018-03,Bitbucket,1.2,1.0,0.6782329983125267,1.0,1.0,1.0,0.004961548002976929,1,4
2007-11,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.008888888888888889,1,1
2007-11,GitHub,1,1,1,1,1,1,0.0008888888888888889,1,1
2007-11,GitLab,0,0,0,0,0,0,0,0,0
2007-11,Bitbucket,0,0,0,0,0,0,0,0,0
2021-10,SourceForge,1.037037037037037,1,0.18885257457751053,1.0,1.0,1.0,0.005598175409496164,1,2
2021-10,GitHub,1.4947192884936076,1,1.112788821985112,1.0,1.0,2.0,0.37300435413642963,1,19
2021-10,GitLab,1.1785714285714286,1.0,0.3829930462415574,1.0,1.0,1.0,0.005805515239477504,1,2
2021-10,Bitbucket,1.0555555555555556,1.0,0.2290614236454256,1.0,1.0,1.0,0.0037321169396641093,1,2
2019-11,SourceForge,1.0606060606060606,1,0.2386062992124791,1.0,1.0,1.0,0.007735583684950774,1,2
2019-11,GitHub,1.4507692307692308,1.0,1.863381795547099,1.0,1.0,2.0,0.30473511486169713,1,60
2019-11,GitLab,1.2727272727272727,1.0,0.8624393618641035,1.0,1.0,1.0,0.005157055789967183,1,5
2019-11,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.004219409282700422,1,1
2010-12,SourceForge,1.037037037037037,1,0.18885257457751053,1.0,1.0,1.0,0.01786896095301125,1,2
2010-12,GitHub,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.001985440105890139,1,2
2010-12,GitLab,0,0,0,0,0,0,0,0,0
2010-12,Bitbucket,0,0,0,0,0,0,0,0,0
2015-07,SourceForge,1.069767441860465,1,0.2547546779093796,1.0,1.0,1.0,0.01787941787941788,1,2
2015-07,GitHub,1.2450331125827814,1,0.6300098539880943,1.0,1.0,1.0,0.06278586278586279,1,6
2015-07,GitLab,1,1,1,1,1,1,0.0004158004158004158,1,1
2015-07,Bitbucket,1.0625,1.0,0.24206145913796356,1.0,1.0,1.0,0.006652806652806653,1,2
2020-02,SourceForge,1.1153846153846154,1.0,0.31948553318915673,1.0,1.0,1.0,0.008692744901370779,1,2
2020-02,GitHub,1.6794462193823216,1,7.068395008772239,1.0,1.0,1.0,0.3139418254764293,1,215
2020-02,GitLab,1.2,1,0.4,1.0,1.0,1.0,0.0050150451354062184,1,2
2020-02,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.004680708793045804,1,1
2020-03,SourceForge,1.2195121951219512,1,1.2398307343550081,1.0,1.0,1.0,0.008277811427417727,1,9
2020-03,GitHub,1.4819034852546917,1.0,1.1142843536152311,1.0,1.0,2.0,0.301231576822128,1,15
2020-03,GitLab,1.3043478260869565,1,0.7480282840906632,1.0,1.0,1.0,0.004643650312941652,1,4
2020-03,Bitbucket,1.1538461538461537,1.0,0.36080121229410994,1.0,1.0,1.0,0.005249343832020997,1,2
2019-10,SourceForge,1.0333333333333334,1.0,0.17950549357115014,1.0,1.0,1.0,0.006362672322375398,1,2
2019-10,GitHub,1.4100449775112445,1.0,0.9383969062178393,1.0,1.0,2.0,0.28292682926829266,1,10
2019-10,GitLab,1,1,0.0,1.0,1.0,1.0,0.0019088016967126194,1,1
2019-10,Bitbucket,1.0476190476190477,1,0.21295885499997996,1.0,1.0,1.0,0.004453870625662778,1,2
2015-06,SourceForge,1.16,1.0,0.417612260356422,1.0,1.0,1.0,0.018188432157148052,1,3
2015-06,GitHub,1.2857142857142858,1,0.6281383789653772,1.0,1.0,1.0,0.06875227355401964,1,5
2015-06,GitLab,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0010913059294288831,1,2
2015-06,Bitbucket,1.4166666666666667,1.0,0.6400954789890507,1.0,1.0,2.0,0.0043652237177155325,1,3
2021-11,SourceForge,1.2727272727272727,1.0,1.052348809344566,1.0,1.0,1.0,0.005945945945945946,1,6
2021-11,GitHub,1.4602132895816242,1,0.9502904631488674,1.0,1.0,2.0,0.3294594594594595,1,11
2021-11,GitLab,1,1,0.0,1.0,1.0,1.0,0.0035135135135135136,1,1
2021-11,Bitbucket,1.25,1.0,0.5951190357119042,1.0,1.0,1.0,0.003243243243243243,1,3
2018-02,SourceForge,1.1777777777777778,1,0.4848316495393651,1.0,1.0,1.0,0.011945845500398195,1,3
2018-02,GitHub,1.3934837092731829,1.0,1.0201270961704372,1.0,1.0,1.0,0.21183966020706133,1,17
2018-02,GitLab,1,1,0.0,1.0,1.0,1.0,0.0013273161667109105,1,1
2018-02,Bitbucket,1.1153846153846154,1.0,0.31948553318915673,1.0,1.0,1.0,0.006902044066896735,1,2
2007-10,SourceForge,1,1,0.0,1.0,1.0,1.0,0.007472826086956522,1,1
2007-10,GitHub,0,0,0,0,0,0,0,0,0
2007-10,GitLab,0,0,0,0,0,0,0,0,0
2007-10,Bitbucket,0,0,0,0,0,0,0,0,0
2011-01,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.015473887814313346,1,1
2011-01,GitHub,1,1,1,1,1,1,0.0006447453255963894,1,1
2011-01,GitLab,0,0,0,0,0,0,0,0,0
2011-01,Bitbucket,0,0,0,0,0,0,0,0,0
2021-07,SourceForge,1.1290322580645162,1,0.4205937035614612,1.0,1.0,1.0,0.006415562913907285,1,3
2021-07,GitHub,1.519753086419753,1.0,1.3058198080640564,1.0,1.0,2.0,0.3352649006622517,1,30
2021-07,GitLab,1.05,1.0,0.21794494717703367,1.0,1.0,1.0,0.0041390728476821195,1,2
2021-07,Bitbucket,1.2666666666666666,1,0.771722460186015,1.0,1.0,1.0,0.003104304635761589,1,4
2014-02,SourceForge,1.03125,1.0,0.17399263633843817,1.0,1.0,1.0,0.015533980582524271,1,2
2014-02,GitHub,1.096774193548387,1.0,0.34592920305689057,1.0,1.0,1.0,0.030097087378640777,1,3
2014-02,GitLab,0,0,0,0,0,0,0,0,0
2014-02,Bitbucket,1.1,1.0,0.3,1.0,1.0,1.0,0.0048543689320388345,1,2
