Directory,FileCount,FileWithURL
2012-08,1173,1173
1998-04,48,48
1998-12,74,74
2000-08,95,95
1997-01,2,2
2010-09,710,710
2002-09,41,41
2000-12,69,69
2009-11,366,366
2016-03,3722,3722
2005-07,28,28
1998-08,49,49
2012-04,1477,1477
2008-03,216,216
2017-11,46,46
2004-03,41,41
2012-12,1788,1788
2017-07,563,563
2009-07,488,488
2000-04,94,94
2005-11,75,75
2007-06,27,27
2014-02,2042,2042
2003-01,34,34
2015-10,2950,2950
2010-05,567,567
2015-06,2883,2883
2006-02,4,4
2007-10,24,24
2018-02,4,4
2011-01,1167,1167
2002-05,34,34
2007-11,51,51
2018-03,1,1
2002-04,49,49
2015-07,3073,3073
2006-03,6,6
2010-12,664,664
2015-11,2687,2687
2010-04,605,605
2007-07,18,18
2002-12,42,42
2014-03,2326,2326
2009-06,480,480
2000-05,109,109
2005-10,24,24
2013-01,2296,2296
2004-02,49,49
2017-06,2324,2324
2012-05,1325,1325
2001-01,70,70
2008-02,166,166
2017-10,36,36
1998-09,52,52
2009-10,390,390
2016-02,2811,2811
2005-06,35,35
2002-08,38,38
2010-08,612,612
1999-01,35,35
2000-09,71,71
1998-05,46,46
2012-09,1462,1462
2016-05,3225,3225
2005-01,22,22
2013-10,1939,1939
2012-02,1167,1167
2008-05,192,192
2001-06,52,52
2004-05,48,48
2001-10,53,53
2017-01,3632,3632
2000-02,65,65
2009-01,519,519
2013-06,1809,1809
2011-11,1030,1030
2014-04,2358,2358
2003-07,49,49
2006-12,19,19
2010-03,632,632
2003-11,51,51
2006-04,17,17
2011-07,1017,1017
2002-03,32,32
2014-12,2824,2824
2016-09,3726,3726
1999-10,46,46
2008-09,369,369
1998-02,54,54
2004-09,35,35
1999-06,47,47
2014-08,2051,2051
2006-08,14,14
1997-11,56,56
2018-09,1,1
1997-10,57,57
2006-09,8,8
2014-09,2654,2654
1999-07,72,72
2004-08,42,42
1998-03,39,39
2008-08,312,312
1995-07,1,1
1999-11,42,42
2016-08,2803,2803
2011-06,773,773
2002-02,35,35
2003-10,32,32
2015-01,3141,3141
2006-05,10,10
2003-06,44,44
2010-02,474,474
2007-01,14,14
2011-10,1193,1193
2014-05,2309,2309
2000-03,95,95
2016-12,3733,3733
2013-07,2218,2218
2004-04,43,43
2001-11,62,62
2008-12,332,332
2004-12,50,50
2012-03,1567,1567
2008-04,176,176
2001-07,55,55
2016-04,3260,3260
2013-11,1908,1908
2014-10,2413,2413
2002-01,56,56
2011-05,780,780
2006-06,14,14
2015-02,2629,2629
2010-01,528,528
2006-10,13,13
2003-05,74,74
1997-09,25,25
2014-06,2500,2500
2007-02,20,20
2013-04,2010,2010
2009-03,397,397
2016-11,3560,3560
1999-08,38,38
2008-11,291,291
2017-03,3705,3705
2001-12,61,61
2004-07,44,44
2001-04,69,69
2008-07,423,423
2004-11,46,46
2013-12,2264,2264
2005-03,25,25
2016-07,3392,3392
2011-09,1188,1188
2003-09,40,40
1997-05,2,2
1999-04,41,41
2013-08,1716,1716
2001-08,82,82
1999-12,43,43
2001-09,63,63
1998-01,31,31
2013-09,2107,2107
1999-05,62,62
1997-04,1,1
2003-08,48,48
1997-12,41,41
2011-08,1000,1000
2005-02,26,26
2016-06,3540,3540
2001-05,84,84
2008-06,272,272
2012-01,1870,1870
2004-10,39,39
2008-10,303,303
2017-02,3340,3340
2004-06,43,43
1999-09,41,41
2013-05,1773,1773
2009-02,287,287
2016-10,3537,3537
2000-01,56,56
2014-07,2432,2432
2011-12,1274,1274
2007-03,14,14
1997-08,59,59
2006-11,14,14
2003-04,33,33
2006-07,11,11
2015-03,2937,2937
2003-12,51,51
2014-11,1484,1484
2011-04,932,932
2015-08,2464,2464
2007-08,13,13
1999-02,53,53
2009-09,461,461
1998-10,49,49
2017-09,34,34
1998-06,48,48
2005-09,39,39
2002-07,38,38
2011-03,1147,1147
2007-12,141,141
2010-11,409,409
2015-04,2953,2953
2019-04,1,1
2010-07,789,789
2015-12,2986,2986
2003-03,32,32
2002-11,33,33
2007-04,9,9
2013-02,1624,1624
2000-06,79,79
2009-05,336,336
2017-05,3220,3220
2012-10,1584,1584
2004-01,21,21
2008-01,310,310
2001-02,76,76
2012-06,1501,1501
2005-05,21,21
2016-01,3235,3235
2000-10,103,103
2005-04,18,18
2009-12,293,293
2000-11,63,63
2017-12,81,81
2001-03,82,82
2012-07,1823,1823
2017-04,2991,2991
2012-11,1536,1536
2013-03,1959,1959
2005-12,28,28
2000-07,74,74
2009-04,420,420
2014-01,2672,2672
2002-10,39,39
2007-05,7,7
2010-06,773,773
2003-02,42,42
2010-10,718,718
2006-01,9,9
2015-05,2544,2544
2002-06,38,38
2011-02,742,742
2005-08,26,26
1998-07,49,49
2017-08,70,70
1998-11,53,53
2009-08,395,395
1999-03,41,41
2007-09,49,49
2015-09,2905,2905
