URLCount,cdf,Category
1,92.2841278958453,SourceForge
2,98.56404365307296,SourceForge
3,99.44476354585487,SourceForge
4,99.6936626459889,SourceForge
5,99.84683132299446,SourceForge
6,99.92341566149723,SourceForge
7,99.96170783074861,SourceForge
9,99.98085391537431,SourceForge
10,100.0,SourceForge
1,74.34875,GitHub
2,91.15249999999999,GitHub
3,96.38499999999999,GitHub
4,98.20624999999998,GitHub
5,99.00249999999998,GitHub
6,99.37874999999998,GitHub
7,99.58374999999998,GitHub
8,99.72374999999998,GitHub
9,99.79124999999998,GitHub
10,99.83749999999998,GitHub
11,99.87124999999997,GitHub
12,99.89499999999998,GitHub
13,99.91874999999997,GitHub
14,99.92874999999998,GitHub
15,99.93499999999997,GitHub
16,99.94249999999998,GitHub
17,99.95374999999997,GitHub
18,99.96249999999998,GitHub
19,99.96999999999998,GitHub
20,99.97749999999999,GitHub
21,99.97874999999998,GitHub
22,99.98249999999999,GitHub
23,99.98874999999998,GitHub
25,99.99125,GitHub
26,99.99249999999998,GitHub
30,99.99374999999998,GitHub
33,99.99499999999998,GitHub
60,99.99624999999997,GitHub
70,99.99749999999997,GitHub
73,99.99874999999997,GitHub
215,99.99999999999997,GitHub
1,90.39792387543253,GitLab
2,98.26989619377163,GitLab
3,99.22145328719724,GitLab
4,99.65397923875433,GitLab
5,99.91349480968859,GitLab
6,100.0,GitLab
1,91.03982300884957,Bitbucket
2,98.2853982300885,Bitbucket
3,99.66814159292036,Bitbucket
4,99.94469026548674,Bitbucket
9,100.0,Bitbucket
