Directory,URLCount,Category
1997-01,441,Total
1997-01,0,SourceForge
1997-01,0,GitHub
1997-01,0,GitLab
1997-01,0,Bitbucket
2003-01,5779,Total
2003-01,18,SourceForge
2003-01,0,GitHub
2003-01,0,GitLab
2003-01,0,Bitbucket
2011-01,26565,Total
2011-01,72,SourceForge
2011-01,7,GitHub
2011-01,0,GitLab
2011-01,1,Bitbucket
2013-01,29281,Total
2013-01,114,SourceForge
2013-01,43,GitHub
2013-01,0,GitLab
2013-01,5,Bitbucket
2001-01,1901,Total
2001-01,2,SourceForge
2001-01,0,GitHub
2001-01,0,GitLab
2001-01,0,Bitbucket
1999-01,776,Total
1999-01,3,SourceForge
1999-01,0,GitHub
1999-01,0,GitLab
1999-01,0,Bitbucket
1995-01,18,Total
1995-01,0,SourceForge
1995-01,0,GitHub
1995-01,0,GitLab
1995-01,0,Bitbucket
2005-01,9355,Total
2005-01,27,SourceForge
2005-01,0,GitHub
2005-01,0,GitLab
2005-01,0,Bitbucket
2017-01,27816,Total
2017-01,63,SourceForge
2017-01,416,GitHub
2017-01,0,GitLab
2017-01,18,Bitbucket
2009-01,14003,Total
2009-01,51,SourceForge
2009-01,2,GitHub
2009-01,0,GitLab
2009-01,0,Bitbucket
2021-01,2993,Total
2021-01,3,SourceForge
2021-01,82,GitHub
2021-01,0,GitLab
2021-01,0,Bitbucket
1991-01,17,Total
1991-01,0,SourceForge
1991-01,0,GitHub
1991-01,0,GitLab
1991-01,0,Bitbucket
1993-01,16,Total
1993-01,0,SourceForge
1993-01,0,GitHub
1993-01,0,GitLab
1993-01,0,Bitbucket
2015-01,32131,Total
2015-01,92,SourceForge
2015-01,309,GitHub
2015-01,0,GitLab
2015-01,12,Bitbucket
2019-01,23963,Total
2019-01,37,SourceForge
2019-01,496,GitHub
2019-01,4,GitLab
2019-01,11,Bitbucket
2007-01,12198,Total
2007-01,48,SourceForge
2007-01,0,GitHub
2007-01,0,GitLab
2007-01,0,Bitbucket
2002-01,2881,Total
2002-01,2,SourceForge
2002-01,0,GitHub
2002-01,0,GitLab
2002-01,0,Bitbucket
2010-01,21319,Total
2010-01,75,SourceForge
2010-01,0,GitHub
2010-01,0,GitLab
2010-01,0,Bitbucket
1996-01,178,Total
1996-01,0,SourceForge
1996-01,0,GitHub
1996-01,0,GitLab
1996-01,0,Bitbucket
1998-01,556,Total
1998-01,0,SourceForge
1998-01,0,GitHub
1998-01,0,GitLab
1998-01,0,Bitbucket
1994-01,7,Total
1994-01,0,SourceForge
1994-01,0,GitHub
1994-01,0,GitLab
1994-01,0,Bitbucket
2012-01,27417,Total
2012-01,75,SourceForge
2012-01,29,GitHub
2012-01,0,GitLab
2012-01,1,Bitbucket
2000-01,1219,Total
2000-01,1,SourceForge
2000-01,0,GitHub
2000-01,0,GitLab
2000-01,0,Bitbucket
1990-01,16,Total
1990-01,0,SourceForge
1990-01,0,GitHub
1990-01,0,GitLab
1990-01,0,Bitbucket
2020-01,21065,Total
2020-01,27,SourceForge
2020-01,600,GitHub
2020-01,6,GitLab
2020-01,16,Bitbucket
2004-01,8138,Total
2004-01,36,SourceForge
2004-01,0,GitHub
2004-01,0,GitLab
2004-01,0,Bitbucket
2008-01,12853,Total
2008-01,50,SourceForge
2008-01,0,GitHub
2008-01,0,GitLab
2008-01,0,Bitbucket
2016-01,29301,Total
2016-01,74,SourceForge
2016-01,224,GitHub
2016-01,0,GitLab
2016-01,17,Bitbucket
2014-01,34636,Total
2014-01,128,SourceForge
2014-01,96,GitHub
2014-01,0,GitLab
2014-01,4,Bitbucket
2006-01,11211,Total
2006-01,40,SourceForge
2006-01,0,GitHub
2006-01,0,GitLab
2006-01,0,Bitbucket
2018-01,27557,Total
2018-01,34,SourceForge
2018-01,552,GitHub
2018-01,3,GitLab
2018-01,13,Bitbucket
1992-01,48,Total
1992-01,0,SourceForge
1992-01,0,GitHub
1992-01,0,GitLab
1992-01,0,Bitbucket
