Directory,FileCount,FileWithURL
1997-01,945,945
2003-01,1717,1715
2011-01,4436,4436
2013-01,4610,4608
2001-01,1112,1111
1999-01,910,906
1995-01,1071,462
2005-01,2349,2349
2017-01,3583,3583
2009-01,2683,2683
2021-01,262,259
1991-01,982,604
1993-01,1060,468
2015-01,4467,4467
2019-01,2826,2826
2007-01,2469,2469
2002-01,1309,1309
2010-01,3871,3870
1996-01,1079,969
1998-01,959,954
1994-01,1103,777
2012-01,4539,4539
2000-01,977,973
1990-01,962,467
2020-01,1965,1964
2004-01,2185,2184
2008-01,2490,2490
2016-01,4111,4111
2014-01,4496,4496
2006-01,2358,2358
2018-01,3276,3276
1992-01,1010,690
