Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
1997-01,SourceForge,0,0,0,0,0,0,0,0,0
1997-01,GitHub,0,0,0,0,0,0,0,0,0
1997-01,GitLab,0,0,0,0,0,0,0,0,0
1997-01,Bitbucket,0,0,0,0,0,0,0,0,0
2003-01,SourceForge,1.2857142857142858,1.0,0.7953949089757175,1.0,1.0,1.0,0.008153756552125802,1,4
2003-01,GitHub,0,0,0,0,0,0,0,0,0
2003-01,GitLab,0,0,0,0,0,0,0,0,0
2003-01,Bitbucket,0,0,0,0,0,0,0,0,0
2011-01,SourceForge,1.125,1.0,0.33071891388307384,1.0,1.0,1.0,0.014427412082957619,1,2
2011-01,GitHub,1,1,0.0,1.0,1.0,1.0,0.0015779981965734896,1,1
2011-01,GitLab,0,0,0,0,0,0,0,0,0
2011-01,Bitbucket,1,1,1,1,1,1,0.0002254283137962128,1,1
2013-01,SourceForge,1.2258064516129032,1,0.7052648744863047,1.0,1.0,1.0,0.020173535791757048,1,6
2013-01,GitHub,1.303030303030303,1,0.5765544724375893,1.0,1.0,1.5,0.007158351409978308,1,3
2013-01,GitLab,0,0,0,0,0,0,0,0,0
2013-01,Bitbucket,1.25,1.0,0.4330127018922193,1.0,1.0,1.75,0.0008676789587852494,1,2
2001-01,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.0017985611510791368,1,1
2001-01,GitHub,0,0,0,0,0,0,0,0,0
2001-01,GitLab,0,0,0,0,0,0,0,0,0
2001-01,Bitbucket,0,0,0,0,0,0,0,0,0
1999-01,SourceForge,3,3,3,3,3,3,0.001098901098901099,3,3
1999-01,GitHub,0,0,0,0,0,0,0,0,0
1999-01,GitLab,0,0,0,0,0,0,0,0,0
1999-01,Bitbucket,0,0,0,0,0,0,0,0,0
1995-01,SourceForge,0,0,0,0,0,0,0,0,0
1995-01,GitHub,0,0,0,0,0,0,0,0,0
1995-01,GitLab,0,0,0,0,0,0,0,0,0
1995-01,Bitbucket,0,0,0,0,0,0,0,0,0
2005-01,SourceForge,1.08,1,0.2712931993250107,1.0,1.0,1.0,0.010642826734780758,1,2
2005-01,GitHub,0,0,0,0,0,0,0,0,0
2005-01,GitLab,0,0,0,0,0,0,0,0,0
2005-01,Bitbucket,0,0,0,0,0,0,0,0,0
2017-01,SourceForge,1.3125,1.0,0.8697760727145043,1.0,1.0,1.0,0.013396595032096009,1,5
2017-01,GitHub,2.0696517412935322,1,2.4707491518268676,1.0,1.0,2.0,0.056098241696902036,1,23
2017-01,GitLab,0,0,0,0,0,0,0,0,0
2017-01,Bitbucket,1.125,1.0,0.4841229182759271,1.0,1.0,1.0,0.004465531677365337,1,3
2009-01,SourceForge,1.1590909090909092,1.0,0.5197543920922396,1.0,1.0,1.0,0.016399552739470743,1,4
2009-01,GitHub,1,1.0,0.0,1.0,1.0,1.0,0.0007454342154304882,1,1
2009-01,GitLab,0,0,0,0,0,0,0,0,0
2009-01,Bitbucket,0,0,0,0,0,0,0,0,0
2021-01,SourceForge,1,1,0.0,1.0,1.0,1.0,0.011450381679389313,1,1
2021-01,GitHub,2.342857142857143,2,1.7228358207635812,1.0,2.0,4.0,0.13358778625954199,1,6
2021-01,GitLab,0,0,0,0,0,0,0,0,0
2021-01,Bitbucket,0,0,0,0,0,0,0,0,0
1991-01,SourceForge,0,0,0,0,0,0,0,0,0
1991-01,GitHub,0,0,0,0,0,0,0,0,0
1991-01,GitLab,0,0,0,0,0,0,0,0,0
1991-01,Bitbucket,0,0,0,0,0,0,0,0,0
1993-01,SourceForge,0,0,0,0,0,0,0,0,0
1993-01,GitHub,0,0,0,0,0,0,0,0,0
1993-01,GitLab,0,0,0,0,0,0,0,0,0
1993-01,Bitbucket,0,0,0,0,0,0,0,0,0
2015-01,SourceForge,1.1645569620253164,1,0.5609751849660846,1.0,1.0,1.0,0.017685247369599283,1,4
2015-01,GitHub,2.3587786259541983,1,4.199361460529966,1.0,1.0,2.0,0.02932616968882919,1,42
2015-01,GitLab,0,0,0,0,0,0,0,0,0
2015-01,Bitbucket,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0020147750167897917,1,2
2019-01,SourceForge,1.2333333333333334,1.0,0.5587684871413403,1.0,1.0,1.0,0.010615711252653927,1,3
2019-01,GitHub,2.1379310344827585,1.0,2.47538416288552,1.0,1.0,2.0,0.08209483368719038,1,26
2019-01,GitLab,2,2.0,1.0,0.5,2.0,3.5,0.0007077140835102619,1,3
2019-01,Bitbucket,1.2222222222222223,1,0.41573970964154905,1.0,1.0,1.5,0.0031847133757961785,1,2
2007-01,SourceForge,1.2,1.0,0.5567764362830022,1.0,1.0,1.0,0.016200891049007696,1,4
2007-01,GitHub,0,0,0,0,0,0,0,0,0
2007-01,GitLab,0,0,0,0,0,0,0,0,0
2007-01,Bitbucket,0,0,0,0,0,0,0,0,0
2002-01,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.0015278838808250573,1,1
2002-01,GitHub,0,0,0,0,0,0,0,0,0
2002-01,GitLab,0,0,0,0,0,0,0,0,0
2002-01,Bitbucket,0,0,0,0,0,0,0,0,0
2010-01,SourceForge,1.4423076923076923,1.0,0.9284698234287162,1.0,1.0,2.0,0.013433221389821752,1,5
2010-01,GitHub,0,0,0,0,0,0,0,0,0
2010-01,GitLab,0,0,0,0,0,0,0,0,0
2010-01,Bitbucket,0,0,0,0,0,0,0,0,0
1996-01,SourceForge,0,0,0,0,0,0,0,0,0
1996-01,GitHub,0,0,0,0,0,0,0,0,0
1996-01,GitLab,0,0,0,0,0,0,0,0,0
1996-01,Bitbucket,0,0,0,0,0,0,0,0,0
1998-01,SourceForge,0,0,0,0,0,0,0,0,0
1998-01,GitHub,0,0,0,0,0,0,0,0,0
1998-01,GitLab,0,0,0,0,0,0,0,0,0
1998-01,Bitbucket,0,0,0,0,0,0,0,0,0
1994-01,SourceForge,0,0,0,0,0,0,0,0,0
1994-01,GitHub,0,0,0,0,0,0,0,0,0
1994-01,GitLab,0,0,0,0,0,0,0,0,0
1994-01,Bitbucket,0,0,0,0,0,0,0,0,0
2012-01,SourceForge,1.1194029850746268,1,0.32426210421493185,1.0,1.0,1.0,0.01476096056400088,1,2
2012-01,GitHub,1.6111111111111112,1.0,1.1124991330278213,1.0,1.0,2.0,0.0039656311962987445,1,5
2012-01,GitLab,0,0,0,0,0,0,0,0,0
2012-01,Bitbucket,1,1,1,1,1,1,0.0002203128442388191,1,1
2000-01,SourceForge,1,1,1,1,1,1,0.0010235414534288639,1,1
2000-01,GitHub,0,0,0,0,0,0,0,0,0
2000-01,GitLab,0,0,0,0,0,0,0,0,0
2000-01,Bitbucket,0,0,0,0,0,0,0,0,0
1990-01,SourceForge,0,0,0,0,0,0,0,0,0
1990-01,GitHub,0,0,0,0,0,0,0,0,0
1990-01,GitLab,0,0,0,0,0,0,0,0,0
1990-01,Bitbucket,0,0,0,0,0,0,0,0,0
2020-01,SourceForge,1.2857142857142858,1,0.764875162105191,1.0,1.0,1.0,0.010687022900763359,1,4
2020-01,GitHub,2.4691358024691357,2,2.5211194509749904,1.0,2.0,3.0,0.12366412213740458,1,21
2020-01,GitLab,1.5,1.5,0.5,1.0,1.5,2.0,0.002035623409669211,1,2
