URLCount,cdf,Category
1,84.14351851851852,SourceForge
2,95.1388888888889,SourceForge
3,97.68518518518519,SourceForge
4,99.18981481481481,SourceForge
5,99.76851851851852,SourceForge
6,100.0,SourceForge
1,56.36774679728711,GitHub
2,76.94046721929163,GitHub
3,86.66164280331574,GitHub
4,91.33383571966843,GitHub
5,94.27279577995478,GitHub
6,96.60889223813112,GitHub
7,97.5885455915599,GitHub
8,97.96533534287867,GitHub
9,98.26676714393368,GitHub
10,98.64355689525243,GitHub
11,98.7189148455162,GitHub
12,98.8696307460437,GitHub
13,99.02034664657121,GitHub
14,99.09570459683496,GitHub
15,99.39713639788998,GitHub
17,99.47249434815373,GitHub
19,99.54785229841748,GitHub
20,99.62321024868123,GitHub
21,99.698568198945,GitHub
23,99.77392614920875,GitHub
26,99.92464204973626,GitHub
42,100.0,GitHub
1,50.0,GitLab
2,87.5,GitLab
3,100.0,GitLab
1,82.5,Bitbucket
2,97.5,Bitbucket
3,98.75,Bitbucket
5,99.99999999999999,Bitbucket
