Directory,URICount,Category
1997-01,0.4666666666666667,Total
1997-01,0.0,SourceForge
1997-01,0.0,GitHub
1997-01,0.0,GitLab
1997-01,0.0,Bitbucket
2003-01,3.3657542224810717,Total
2003-01,0.010483401281304601,SourceForge
2003-01,0.0,GitHub
2003-01,0.0,GitLab
2003-01,0.0,Bitbucket
2011-01,5.988503155996393,Total
2011-01,0.016230838593327322,SourceForge
2011-01,0.0015779981965734896,GitHub
2011-01,0.0,GitLab
2011-01,0.0002254283137962128,Bitbucket
2013-01,6.351626898047722,Total
2013-01,0.02472885032537961,SourceForge
2013-01,0.009327548806941432,GitHub
2013-01,0.0,GitLab
2013-01,0.0010845986984815619,Bitbucket
2001-01,1.7095323741007193,Total
2001-01,0.0017985611510791368,SourceForge
2001-01,0.0,GitHub
2001-01,0.0,GitLab
2001-01,0.0,Bitbucket
1999-01,0.8527472527472527,Total
1999-01,0.0032967032967032967,SourceForge
1999-01,0.0,GitHub
1999-01,0.0,GitLab
1999-01,0.0,Bitbucket
1995-01,0.01680672268907563,Total
1995-01,0.0,SourceForge
1995-01,0.0,GitHub
1995-01,0.0,GitLab
1995-01,0.0,Bitbucket
2005-01,3.9825457641549598,Total
2005-01,0.011494252873563218,SourceForge
2005-01,0.0,GitHub
2005-01,0.0,GitLab
2005-01,0.0,Bitbucket
2017-01,7.763326821099637,Total
2017-01,0.017583030979626012,SourceForge
2017-01,0.11610382361149875,GitHub
2017-01,0.0,GitLab
2017-01,0.005023723137036003,Bitbucket
2009-01,5.219157659336563,Total
2009-01,0.01900857249347745,SourceForge
2009-01,0.0007454342154304882,GitHub
2009-01,0.0,GitLab
2009-01,0.0,Bitbucket
2021-01,11.423664122137405,Total
2021-01,0.011450381679389313,SourceForge
2021-01,0.31297709923664124,GitHub
2021-01,0.0,GitLab
2021-01,0.0,Bitbucket
1991-01,0.017311608961303463,Total
1991-01,0.0,SourceForge
1991-01,0.0,GitHub
1991-01,0.0,GitLab
1991-01,0.0,Bitbucket
1993-01,0.01509433962264151,Total
1993-01,0.0,SourceForge
1993-01,0.0,GitHub
1993-01,0.0,GitLab
1993-01,0.0,Bitbucket
2015-01,7.192970673830311,Total
2015-01,0.02059547794940676,SourceForge
2015-01,0.06917394224311618,GitHub
2015-01,0.0,GitLab
2015-01,0.002686366689053056,Bitbucket
2019-01,8.479476291578202,Total
2019-01,0.013092710544939844,SourceForge
2019-01,0.17551309271054494,GitHub
2019-01,0.0014154281670205238,GitLab
2019-01,0.00389242745930644,Bitbucket
2007-01,4.940461725394897,Total
2007-01,0.019441069258809233,SourceForge
2007-01,0.0,GitHub
2007-01,0.0,GitLab
2007-01,0.0,Bitbucket
2002-01,2.200916730328495,Total
2002-01,0.0015278838808250573,SourceForge
2002-01,0.0,GitHub
2002-01,0.0,GitLab
2002-01,0.0,Bitbucket
2010-01,5.507362438646345,Total
2010-01,0.01937483854301214,SourceForge
2010-01,0.0,GitHub
2010-01,0.0,GitLab
2010-01,0.0,Bitbucket
1996-01,0.164967562557924,Total
1996-01,0.0,SourceForge
1996-01,0.0,GitHub
1996-01,0.0,GitLab
1996-01,0.0,Bitbucket
1998-01,0.5797705943691345,Total
1998-01,0.0,SourceForge
1998-01,0.0,GitHub
1998-01,0.0,GitLab
1998-01,0.0,Bitbucket
1994-01,0.006346328195829556,Total
1994-01,0.0,SourceForge
1994-01,0.0,GitHub
1994-01,0.0,GitLab
1994-01,0.0,Bitbucket
2012-01,6.040317250495704,Total
2012-01,0.016523463317911435,SourceForge
2012-01,0.006389072482925755,GitHub
2012-01,0.0,GitLab
2012-01,0.0002203128442388191,Bitbucket
2000-01,1.247697031729785,Total
2000-01,0.0010235414534288639,SourceForge
2000-01,0.0,GitHub
2000-01,0.0,GitLab
2000-01,0.0,Bitbucket
1990-01,0.016632016632016633,Total
1990-01,0.0,SourceForge
1990-01,0.0,GitHub
1990-01,0.0,GitLab
1990-01,0.0,Bitbucket
2020-01,10.720101781170483,Total
2020-01,0.013740458015267175,SourceForge
2020-01,0.3053435114503817,GitHub
2020-01,0.0030534351145038168,GitLab
2020-01,0.008142493638676845,Bitbucket
2004-01,3.7244851258581235,Total
2004-01,0.016475972540045767,SourceForge
2004-01,0.0,GitHub
2004-01,0.0,GitLab
2004-01,0.0,Bitbucket
2008-01,5.161847389558233,Total
2008-01,0.020080321285140562,SourceForge
2008-01,0.0,GitHub
2008-01,0.0,GitLab
2008-01,0.0,Bitbucket
2016-01,7.1274629044028215,Total
2016-01,0.018000486499635125,SourceForge
2016-01,0.05448795913403065,GitHub
2016-01,0.0,GitLab
2016-01,0.004135246898564826,Bitbucket
2014-01,7.7037366548042705,Total
2014-01,0.028469750889679714,SourceForge
2014-01,0.021352313167259787,GitHub
2014-01,0.0,GitLab
2014-01,0.0008896797153024911,Bitbucket
2006-01,4.754452926208652,Total
2006-01,0.016963528413910092,SourceForge
2006-01,0.0,GitHub
2006-01,0.0,GitLab
2006-01,0.0,Bitbucket
2018-01,8.411782661782661,Total
2018-01,0.010378510378510378,SourceForge
2018-01,0.1684981684981685,GitHub
2018-01,0.0009157509157509158,GitLab
2018-01,0.003968253968253968,Bitbucket
1992-01,0.047524752475247525,Total
1992-01,0.0,SourceForge
1992-01,0.0,GitHub
1992-01,0.0,GitLab
1992-01,0.0,Bitbucket
