Filename,Bitbucket,GitHub,GitLab,SourceForge
0810.2412v2.pdf,,1,,1
0911.0368v1.pdf,1,,,1
1003.5444v2.pdf,1,,,1
1009.0305v1.pdf,,1,,2
1012.4695v2.pdf,,1,,1
1102.5433v4.pdf,,8,,2
1103.1278v1.pdf,,1,,1
1106.0159v4.pdf,,1,,1
1106.0296v2.pdf,,1,,1
1108.0363v1.pdf,,1,,1
1109.6896v1.pdf,,2,,1
1111.0735v1.pdf,,1,,1
1111.3806v1.pdf,,1,,1
1111.6583v2.pdf,1,1,,
1112.3062v1.pdf,,2,,1
1202.1215v1.pdf,,1,,1
1202.3074v1.pdf,,1,,1
1203.0937v2.pdf,,2,,2
1204.2765v2.pdf,,2,,1
1205.2129v2.pdf,1,,,1
1205.5025v2.pdf,,1,,2
1205.5829v3.pdf,,1,,1
1206.2895v5.pdf,,1,,2
1208.4436v1.pdf,1,1,,
1209.1576v1.pdf,,2,,1
1209.3516v3.pdf,1,1,,
1209.4296v2.pdf,,1,,2
1209.5626v1.pdf,1,1,,
1210.0330v3.pdf,,1,,5
1210.0905v2.pdf,,1,,1
1210.2864v1.pdf,,1,,1
1210.3149v2.pdf,,1,,1
1211.6581v5.pdf,,1,,2
1212.1192v2.pdf,,1,,1
1212.3648v3.pdf,1,,,1
1212.6326v2.pdf,,2,,1
1301.1912v1.pdf,,4,,1
1301.1942v2.pdf,,2,,1
1301.4499v2.pdf,,3,,2
1301.5277v2.pdf,1,,,1
1301.5406v3.pdf,,2,,3
1301.6049v1.pdf,,1,,1
1302.0183v2.pdf,1,1,,
1302.0467v3.pdf,,1,,1
1302.1937v1.pdf,,1,,1
1302.2749v2.pdf,1,1,,
1303.0213v1.pdf,,2,,1
1303.1679v1.pdf,,1,,1
1303.4808v3.pdf,,1,,2
1304.1002v1.pdf,,1,,2
1304.3362v1.pdf,,1,,1
1304.5719v2.pdf,1,1,,
1304.5952v3.pdf,,3,,5
1304.7289v1.pdf,1,1,,
1304.7799v3.pdf,,1,,1
1305.7200v1.pdf,,1,,1
1306.0836v1.pdf,,2,,4
1306.1031v3.pdf,1,1,,
1306.1685v1.pdf,1,1,,
1306.4723v1.pdf,1,,,1
1306.6023v2.pdf,2,1,,
1307.1719v1.pdf,,2,,1
1307.2331v2.pdf,,1,,3
1307.8407v1.pdf,1,,,1
1308.1343v1.pdf,1,,,2
1308.1388v2.pdf,4,1,,
1308.2012v2.pdf,,1,,1
1308.2058v1.pdf,,1,,2
1308.3339v4.pdf,1,1,,
1308.4526v5.pdf,,1,1,
1308.4982v3.pdf,1,4,,
1309.1204v2.pdf,,1,,1
1309.2848v1.pdf,,2,,1
1309.5950v1.pdf,,1,,1
1309.7341v1.pdf,,1,,1
1310.1285v3.pdf,,2,,6
1310.2606v2.pdf,,3,,1
1310.3234v1.pdf,2,,,1
1310.3535v1.pdf,,1,,2
1310.5177v1.pdf,,1,,1
1310.7131v1.pdf,,1,,1
1310.8420v2.pdf,,1,,3
1311.1355v2.pdf,1,,,1
1311.1725v1.pdf,1,,,1
1311.2426v1.pdf,,1,,1
1311.3987v1.pdf,,1,,3
1311.5151v2.pdf,,1,,1
1311.6002v2.pdf,,1,,3
1311.6236v1.pdf,,1,,1
1311.6712v1.pdf,,1,,1
1312.0461v1.pdf,,1,,1
1312.0526v1.pdf,,1,,1
1312.3504v1.pdf,1,,,1
1312.4704v1.pdf,1,2,,
1312.6310v2.pdf,,2,,1
1312.6433v3.pdf,1,1,,
1312.6639v2.pdf,,3,,2
1401.1129v2.pdf,,2,,1
1401.2095v1.pdf,,1,,1
1401.6015v1.pdf,,1,,1
1401.6981v2.pdf,,1,,1
1402.1672v5.pdf,,1,,2
1402.2228v1.pdf,,2,,1
1402.4073v2.pdf,1,1,,
1402.4182v3.pdf,,5,,1
1402.5649v4.pdf,1,1,,
1402.6635v1.pdf,1,,,1
1403.0074v5.pdf,,1,,1
1403.4086v3.pdf,,1,,1
1403.5996v3.pdf,1,1,,
1403.6025v4.pdf,,3,,2
1403.6793v4.pdf,1,1,,
1403.7486v1.pdf,,2,,1
1403.7963v1.pdf,,1,,1
1404.0284v3.pdf,,3,,1
1404.0600v2.pdf,,1,,4
1404.1905v1.pdf,,1,,1
1404.3589v6.pdf,,1,,1
1404.3989v2.pdf,,1,,1
1404.4653v1.pdf,,1,,1
1404.4893v1.pdf,,1,,2
1404.6385v2.pdf,,3,,1
