Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2012-09,SourceForge,1.131578947368421,1.0,0.4085309130594743,1.0,1.0,1.0,0.005740181268882176,1,3
2012-09,GitHub,1.2083333333333333,1.0,0.4061164310337068,1.0,1.0,1.0,0.0036253776435045317,1,2
2012-09,GitLab,0,0,0,0,0,0,0,0,0
2012-09,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.0010574018126888218,1,1
2010-08,SourceForge,1.1764705882352942,1.0,0.5128116404165498,1.0,1.0,1.0,0.006313834726090994,1,3
2010-08,GitHub,1,1.0,0.0,1.0,1.0,1.0,0.0003714020427112349,1,1
2010-08,GitLab,0,0,0,0,0,0,0,0,0
2010-08,Bitbucket,1,1,1,1,1,1,0.00018570102135561745,1,1
2017-10,SourceForge,1.173913043478261,1,0.7010658911563956,1.0,1.0,1.0,0.005939060079187468,1,6
2017-10,GitHub,1.5766871165644172,1,1.8703226502971046,1.0,1.0,2.0,0.0701497676019969,1,40
2017-10,GitLab,1.1428571428571428,1,0.3499271061118826,1.0,1.0,1.0,0.0006025133413668446,1,2
2017-10,Bitbucket,1.0555555555555556,1.0,0.2290614236454256,1.0,1.0,1.0,0.0030986400413152006,1,2
2008-02,SourceForge,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0020174848688634837,1,2
2008-02,GitHub,0,0,0,0,0,0,0,0,0
2008-02,GitLab,0,0,0,0,0,0,0,0,0
2008-02,Bitbucket,0,0,0,0,0,0,0,0,0
2012-05,SourceForge,1.2325581395348837,1,0.6037560458487056,1.0,1.0,1.0,0.006070016939582157,1,4
2012-05,GitHub,1.2666666666666666,1,0.4422166387140533,1.0,1.0,2.0,0.0021174477696216825,1,2
2012-05,GitLab,0,0,0,0,0,0,0,0,0
2012-05,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.00042348955392433656,1,1
2016-02,SourceForge,1.1754385964912282,1,0.5338640019194013,1.0,1.0,1.0,0.0062465753424657535,1,4
2016-02,GitHub,1.5230263157894737,1.0,1.2218391225577705,1.0,1.0,2.0,0.03331506849315068,1,9
2016-02,GitLab,1,1,1,1,1,1,0.00010958904109589041,1,1
2016-02,Bitbucket,1.1111111111111112,1,0.3142696805273545,1.0,1.0,1.0,0.002958904109589041,1,2
2009-10,SourceForge,1.75,1.0,2.9895651857753496,1.0,1.0,1.0,0.004032935641068728,1,16
2009-10,GitHub,0,0,0,0,0,0,0,0,0
2009-10,GitLab,0,0,0,0,0,0,0,0,0
2009-10,Bitbucket,2,2,2,2,2,2,0.00016803898504453034,2,2
2013-01,SourceForge,1.196078431372549,1,0.4436748430974416,1.0,1.0,1.0,0.006595111858269753,1,3
2013-01,GitHub,1.4324324324324325,1,0.886552403613877,1.0,1.0,1.5,0.004784688995215311,1,4
2013-01,GitLab,0,0,0,0,0,0,0,0,0
2013-01,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.000646579593948015,1,1
2009-06,SourceForge,1.088235294117647,1.0,0.2836367870880281,1.0,1.0,1.0,0.0060595259312065585,1,2
2009-06,GitHub,1.5,1.5,0.5,0.75,1.5,2.25,0.0003564427018356799,1,2
2009-06,GitLab,0,0,0,0,0,0,0,0,0
2009-06,Bitbucket,1,1,1,1,1,1,0.00017822135091783995,1,1
2017-06,SourceForge,1.0757575757575757,1.0,0.2646098363117118,1.0,1.0,1.0,0.006415241057542769,1,2
2017-06,GitHub,1.4887556221889056,1,1.1119263962125947,1.0,1.0,2.0,0.06483281493001555,1,13
2017-06,GitLab,1.125,1.0,0.33071891388307384,1.0,1.0,1.0,0.0007776049766718507,1,2
2017-06,Bitbucket,1.1875,1.0,0.7261843774138906,1.0,1.0,1.0,0.003110419906687403,1,5
2010-04,SourceForge,1.0740740740740742,1,0.2618914004394621,1.0,1.0,1.0,0.004831782390837509,1,2
2010-04,GitHub,0,0,0,0,0,0,0,0,0
2010-04,GitLab,0,0,0,0,0,0,0,0,0
2010-04,Bitbucket,0,0,0,0,0,0,0,0,0
2019-07,SourceForge,1.150943396226415,1,0.40730251216835667,1.0,1.0,1.0,0.0038899082568807338,1,3
2019-07,GitHub,1.731195335276968,1,1.9100899875864352,1.0,1.0,2.0,0.1258715596330275,1,34
2019-07,GitLab,1.3333333333333333,1,0.9428090415820634,1.0,1.0,1.0,0.001981651376146789,1,5
2019-07,Bitbucket,1.0769230769230769,1.0,0.2664693550105965,1.0,1.0,1.0,0.0038165137614678897,1,2
2015-11,SourceForge,1.06,1.0,0.23748684174075835,1.0,1.0,1.0,0.00528597103287874,1,2
2015-11,GitHub,1.478688524590164,1,1.4235852631099146,1.0,1.0,1.5,0.032244423300560314,1,20
2015-11,GitLab,1,1,1,1,1,1,0.0001057194206575748,1,1
