URLCount,cdf,Category
1,86.7182846932698,SourceForge
2,97.79630732578916,SourceForge
3,99.34484812388325,SourceForge
4,99.88088147706968,SourceForge
5,99.94044073853483,SourceForge
7,99.99999999999999,SourceForge
1,69.90890390831619,GitHub
2,87.18777549221275,GitHub
3,93.25595063179547,GitHub
4,96.35615633264766,GitHub
5,97.7372906259183,GitHub
6,98.35439318248605,GitHub
7,98.72171613282397,GitHub
8,99.01557449309433,GitHub
9,99.22127534528357,GitHub
10,99.3975903614458,GitHub
11,99.51513370555392,GitHub
12,99.54451954158097,GitHub
13,99.64736996767559,GitHub
14,99.70614163972967,GitHub
15,99.79429914781078,GitHub
16,99.80899206582428,GitHub
17,99.82368498383781,GitHub
18,99.85307081986484,GitHub
19,99.86776373787836,GitHub
20,99.91184249191892,GitHub
21,99.92653540993243,GitHub
24,99.94122832794594,GitHub
26,99.95592124595946,GitHub
28,99.97061416397297,GitHub
39,99.98530708198649,GitHub
45,100.0,GitHub
1,88.75,GitLab
2,96.24999999999999,GitLab
3,98.75,GitLab
4,99.99999999999999,GitLab
1,90.61224489795919,Bitbucket
2,98.77551020408163,Bitbucket
3,100.0,Bitbucket
