URLCount,ecdf,Category
0,0,SourceForge
-inf,0.0,SourceForge
1.0,0.03599712023038157,SourceForge
1.0,0.07199424046076314,SourceForge
1.0,0.10799136069114469,SourceForge
1.0,0.14398848092152627,SourceForge
1.0,0.17998560115190784,SourceForge
1.0,0.21598272138228944,SourceForge
1.0,0.25197984161267095,SourceForge
1.0,0.28797696184305255,SourceForge
1.0,0.32397408207343414,SourceForge
1.0,0.3599712023038157,SourceForge
1.0,0.3959683225341973,SourceForge
1.0,0.4319654427645789,SourceForge
1.0,0.46796256299496036,SourceForge
1.0,0.5039596832253419,SourceForge
1.0,0.5399568034557235,SourceForge
1.0,0.5759539236861051,SourceForge
1.0,0.6119510439164867,SourceForge
1.0,0.6479481641468683,SourceForge
1.0,0.6839452843772498,SourceForge
1.0,0.7199424046076314,SourceForge
1.0,0.755939524838013,SourceForge
1.0,0.7919366450683943,SourceForge
1.0,0.827933765298776,SourceForge
1.0,0.8639308855291575,SourceForge
1.0,0.899928005759539,SourceForge
1.0,0.9359251259899207,SourceForge
1.0,0.9719222462203022,SourceForge
1.0,1.0079193664506838,SourceForge
1.0,1.0439164866810653,SourceForge
1.0,1.079913606911447,SourceForge
1.0,1.1159107271418285,SourceForge
1.0,1.1519078473722102,SourceForge
1.0,1.1879049676025917,SourceForge
1.0,1.2239020878329732,SourceForge
1.0,1.2598992080633549,SourceForge
1.0,1.2958963282937364,SourceForge
1.0,1.331893448524118,SourceForge
1.0,1.3678905687544995,SourceForge
1.0,1.4038876889848813,SourceForge
1.0,1.4398848092152627,SourceForge
1.0,1.4758819294456442,SourceForge
1.0,1.5118790496760257,SourceForge
1.0,1.5478761699064072,SourceForge
1.0,1.5838732901367891,SourceForge
1.0,1.6198704103671708,SourceForge
1.0,1.655867530597552,SourceForge
1.0,1.6918646508279338,SourceForge
1.0,1.7278617710583155,SourceForge
1.0,1.7638588912886968,SourceForge
1.0,1.7998560115190785,SourceForge
1.0,1.8358531317494602,SourceForge
1.0,1.8718502519798417,SourceForge
1.0,1.9078473722102232,SourceForge
1.0,1.9438444924406046,SourceForge
1.0,1.9798416126709864,SourceForge
1.0,2.015838732901368,SourceForge
1.0,2.0518358531317493,SourceForge
1.0,2.087832973362131,SourceForge
1.0,2.1238300935925127,SourceForge
1.0,2.159827213822894,SourceForge
1.0,2.1958243340532757,SourceForge
1.0,2.2318214542836574,SourceForge
1.0,2.267818574514039,SourceForge
1.0,2.3038156947444204,SourceForge
1.0,2.339812814974802,SourceForge
1.0,2.375809935205184,SourceForge
1.0,2.411807055435565,SourceForge
1.0,2.4478041756659468,SourceForge
1.0,2.4838012958963285,SourceForge
1.0,2.51979841612671,SourceForge
1.0,2.5557955363570914,SourceForge
1.0,2.591792656587473,SourceForge
1.0,2.627789776817855,SourceForge
1.0,2.663786897048236,SourceForge
1.0,2.699784017278618,SourceForge
1.0,2.735781137508999,SourceForge
1.0,2.771778257739381,SourceForge
1.0,2.8077753779697625,SourceForge
1.0,2.8437724982001438,SourceForge
1.0,2.8797696184305255,SourceForge
1.0,2.915766738660907,SourceForge
1.0,2.9517638588912885,SourceForge
1.0,2.98776097912167,SourceForge
1.0,3.023758099352052,SourceForge
1.0,3.059755219582433,SourceForge
1.0,3.095752339812815,SourceForge
1.0,3.131749460043196,SourceForge
1.0,3.1677465802735774,SourceForge
1.0,3.2037437005039595,SourceForge
1.0,3.2397408207343408,SourceForge
1.0,3.275737940964722,SourceForge
1.0,3.311735061195104,SourceForge
1.0,3.3477321814254855,SourceForge
