Directory,FileCount,FileWithURL
1904-08,67,0
1983-11,135,0
1979-08,108,0
1922-09,149,53
1986-04,166,2
2012-08,2100,1757
1941-09,91,0
1967-08,90,0
1991-07,213,2
1998-04,180,95
1982-03,131,0
1994-12,215,0
1998-12,145,101
1991-11,134,0
1994-04,157,0
1930-09,111,0
1953-09,62,0
1975-08,71,0
1983-07,155,3
1986-12,184,0
1990-03,121,0
1984-05,117,0
1981-10,185,1
1997-01,277,20
1906-09,57,0
1980-02,105,0
1989-01,200,6
1965-09,72,0
1993-06,138,0
1918-09,74,0
2010-09,1470,1018
1943-08,50,0
1932-08,56,0
1996-05,181,1
1969-09,97,0
1985-01,178,0
1993-10,214,0
1914-09,72,0
1992-02,146,0
1988-05,146,0
1977-09,105,0
1981-06,122,0
1951-08,52,0
1963-03,50,0
1931-01,166,1
1975-12,82,0
1938-02,59,0
1927-10,105,0
1986-08,137,0
1922-05,330,201
1970-07,142,0
1979-04,133,0
1908-12,61,0
2009-11,646,471
2016-03,6321,5679
1945-02,62,0
1956-06,23,0
1998-08,140,93
1935-06,70,0
1967-04,106,0
1962-11,58,0
1939-10,100,0
1926-02,95,0
1941-05,90,0
1913-07,69,0
1948-06,54,0
1900-03,73,0
1952-01,126,0
2017-11,6802,6069
1944-10,75,0
1967-12,57,0
1935-10,114,0
1971-03,99,0
1923-01,102,0
1939-06,69,0
1930-05,116,0
1994-08,171,0
1962-07,106,0
1948-10,122,0
2004-03,176,120
1957-02,24,0
1913-11,89,0
2017-07,8041,7447
1944-06,64,0
1927-06,101,1
1975-04,161,0
1979-12,97,0
1934-02,95,0
1970-11,126,0
2009-07,762,554
1953-05,56,0
1901-07,48,0
1904-12,61,0
1949-02,70,0
2005-11,189,143
1956-10,77,0
1940-01,140,0
1954-07,124,0
1951-12,46,0
1915-01,63,0
2014-02,3294,2835
1947-03,80,0
1958-11,48,0
1920-04,67,0
1984-09,126,0
2021-07,12874,12338
1972-06,96,0
1929-07,134,0
1961-02,26,0
1968-01,149,0
1925-11,84,0
1902-02,42,0
1946-11,80,0
1959-03,41,0
1943-04,66,0
1911-06,62,0
1960-10,96,0
1932-12,58,0
1976-01,167,0
1924-03,118,0
1937-07,139,0
1965-05,92,0
2015-06,4975,4429
1946-07,74,0
1914-05,82,0
2006-02,179,79
1955-03,35,0
1943-12,64,0
1969-05,106,0
1996-09,171,1
1932-04,88,0
1960-06,26,0
1937-11,86,0
1928-03,101,0
1973-02,137,0
1919-01,70,0
1954-11,79,0
2018-02,6719,6167
2011-01,2406,1830
1958-07,96,0
1951-04,108,0
1903-06,70,0
1964-01,110,0
1936-03,101,0
1929-11,125,0
2021-11,10822,10442
1972-10,175,0
1920-12,38,0
1925-07,121,0
1977-05,103,0
1988-09,133,0
1936-02,74,0
1929-10,104,0
1972-11,120,0
2021-10,11656,11249
1925-06,67,0
1977-04,187,0
1988-08,150,0
1954-10,110,0
2018-03,8017,7263
1942-01,139,0
1958-06,22,0
2002-04,145,93
1951-05,76,0
1903-07,74,1
1969-04,120,0
1932-05,112,0
1996-08,153,0
1960-07,110,0
1965-12,72,0
1937-10,104,0
1928-02,93,0
1973-03,92,0
1921-01,97,0
1946-06,80,0
1918-12,47,0
1955-02,49,0
2019-11,8497,8077
1911-11,65,0
2010-12,1818,1252
1960-11,56,0
1969-12,72,0
1924-02,92,0
1937-06,62,0
1965-04,99,1
1950-01,123,0
1946-10,87,0
1959-02,17,0
2010-04,1249,808
1943-05,59,0
1984-08,137,0
1972-07,144,1
1929-06,87,0
1961-03,42,0
1933-01,117,0
1977-12,118,0
1925-10,100,0
1954-06,46,0
2007-07,436,350
1906-04,64,0
2002-12,158,79
1947-02,72,0
2014-03,4298,3717
1958-10,73,0
2009-06,880,575
1908-05,74,0
1953-04,106,0
1949-03,72,0
1956-11,34,0
2005-10,230,82
1912-02,75,0
2013-01,4237,3832
1927-07,117,0
1975-05,84,0
1966-01,152,0
1934-03,90,0
1970-10,154,0
1922-12,260,191
1948-11,80,0
1957-03,26,0
1913-10,81,0
1941-12,56,0
1944-07,80,0
2017-06,7382,6685
1916-05,68,0
1978-01,123,0
1935-11,98,0
1971-02,109,0
2022-03,8627,8300
1939-07,129,0
1994-09,224,0
1930-04,113,0
1962-06,59,0
1941-04,91,0
1913-06,69,0
1948-07,118,0
1900-02,73,0
2001-01,134,74
1909-01,75,0
1944-11,74,0
1998-09,135,91
1935-07,136,0
1967-05,91,0
1962-10,137,0
1930-12,72,0
1974-01,164,0
1939-11,108,0
1926-03,104,0
1953-12,38,0
2009-10,715,457
1945-03,85,0
2016-02,4629,4153
1956-07,79,0
2005-06,209,91
1963-02,54,0
1938-03,97,0
1927-11,80,0
1922-04,61,0
1986-09,151,0
1970-06,81,0
1979-05,98,0
1951-09,67,0
1984-12,132,0
1992-03,137,0
1988-04,185,0
1977-08,103,0
1981-07,161,1
1914-08,71,0
1996-04,229,2
1932-09,109,0
1969-08,104,0
1993-11,168,0
1918-08,53,0
1943-09,54,0
1980-03,116,0
1996-12,178,0
1965-08,71,0
1993-07,243,0
1906-08,74,0
1984-04,148,2
1981-11,126,0
1988-12,193,0
1975-09,72,0
1983-06,131,0
1999-01,263,88
1990-02,112,0
1953-08,41,0
2000-09,142,106
1908-09,65,0
1987-01,172,1
1991-10,201,0
1930-08,83,0
1994-05,173,0
1967-09,87,0
1991-06,142,0
1998-05,141,90
1982-02,137,0
1941-08,64,1
2012-09,2997,2601
1983-10,164,0
1995-01,204,0
1979-09,120,0
1986-05,124,0
1922-08,97,36
1904-09,74,0
1938-04,109,0
1931-07,172,0
1963-05,58,0
1979-02,102,0
1966-10,159,0
1934-12,63,0
1970-01,149,0
1922-03,101,0
2016-05,5527,4989
1945-04,86,0
1917-06,64,0
1949-12,51,0
1940-11,58,0
2013-10,4250,3705
1978-10,135,0
1967-02,87,0
1923-11,67,0
1982-09,132,0
1926-04,114,0
1974-06,88,0
1905-10,38,0
1957-12,20,0
1913-01,78,0
1941-03,86,0
2012-02,2138,1807
2008-05,359,274
1909-06,53,0
1952-07,121,0
1923-07,87,0
2022-04,3549,3146
1971-05,109,0
1978-06,111,0
1962-01,127,0
1930-03,103,0
1974-10,219,0
1926-12,56,0
1957-04,74,0
1905-06,50,0
1952-11,82,0
1909-10,60,0
1916-02,63,0
1931-11,124,0
1975-02,84,0
1938-12,63,0
1934-04,81,0
1990-09,169,0
1966-06,82,0
1901-01,40,0
1953-03,57,0
2000-02,87,84
1945-12,60,0
2009-01,804,531
1940-07,128,0
2013-06,3092,2587
1949-04,117,0
1919-11,58,0
2018-12,8554,7823
1954-01,142,0
1910-12,69,0
1942-10,80,0
2011-11,1837,1448
1947-05,68,0
1964-11,73,0
1929-01,173,0
2021-01,12075,11522
1968-07,150,0
1933-06,70,0
1961-04,60,0
1959-05,38,0
1950-06,60,0
2003-07,177,92
1902-04,51,0
1918-03,59,0
1943-02,61,0
1924-05,100,0
1980-08,113,0
1976-07,160,0
1965-03,53,0
1937-01,141,0
1973-12,83,0
1921-10,69,0
1902-12,71,0
1950-10,105,0
1914-03,70,0
1946-01,103,0
2006-04,243,110
1955-05,33,0
1907-07,63,0
1932-02,100,0
1976-11,106,0
1969-03,77,0
1973-04,118,0
1928-05,164,0
1942-06,66,0
1910-04,76,0
1951-02,74,0
1958-01,97,0
1992-08,139,0
1936-05,99,0
1964-07,103,0
1961-12,21,0
1933-10,98,0
1977-03,110,0
1968-11,92,0
1925-01,128,0
1945-08,48,0
1963-09,61,0
1995-06,165,0
1938-08,62,0
1999-10,200,85
1986-02,112,0
1900-09,64,0
2008-09,595,409
1998-02,156,96
1987-10,183,0
1991-01,222,1
1926-08,71,0
1982-05,135,0
1957-08,27,0
2004-09,151,101
1971-09,95,0
1987-06,104,0
1994-02,150,0
1949-08,94,0
1912-09,83,0
1983-01,189,10
1995-10,163,0
1990-05,130,0
1934-08,72,0
1999-06,159,80
1984-03,125,0
1992-12,155,0
1961-08,18,0
1997-07,249,2
1947-09,98,0
2014-08,3638,3098
1989-07,214,0
1980-04,138,1
1924-09,86,0
1985-11,141,0
1959-09,48,0
1980-12,119,0
1996-03,221,1
1989-11,164,0
1928-09,110,0
1973-08,114,0
1985-07,195,1
1955-09,52,0
2006-08,222,133
1936-09,108,0
1992-04,198,0
1997-11,206,100
1988-03,165,0
2018-08,6983,6408
2018-09,8845,7819
1910-09,62,0
1992-05,125,0
1936-08,80,0
1981-01,145,0
1997-10,210,103
1988-02,159,0
2006-09,271,179
1955-08,31,0
1996-02,167,0
1989-10,217,1
1928-08,75,0
1973-09,87,0
1985-06,123,0
1959-08,27,0
1989-06,175,0
1924-08,60,0
1980-05,123,0
1985-10,203,0
1993-01,236,0
2014-09,4726,4164
1947-08,81,0
1984-02,120,0
1961-09,53,8
1997-06,180,2
1995-11,206,0
1934-09,78,0
1990-04,204,2
1999-07,244,87
1949-09,75,0
1912-08,77,0
1971-08,117,0
1987-07,239,0
1982-12,140,0
1994-03,189,0
2004-08,164,90
1957-09,48,0
1998-03,131,88
1987-11,158,0
1982-04,193,0
1926-09,73,0
1963-08,79,0
1995-07,235,2
1938-09,92,0
1999-11,174,103
1986-03,128,0
1990-12,196,0
1945-09,56,0
1936-04,100,0
1992-09,143,0
1964-06,72,0
1933-11,76,0
1977-02,89,0
1968-10,147,0
2011-06,2100,1511
1942-07,108,1
2002-02,86,65
1951-03,58,0
1947-12,64,0
1960-01,122,0
1932-03,118,0
1976-10,184,0
1969-02,87,0
1924-12,68,0
1921-07,68,0
1973-05,110,0
