Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-0408,SourceForge,0,0,0,0,0,0,0,0,0
2019-0408,GitHub,0,0,0,0,0,0,0,0,0
2019-0408,GitLab,0,0,0,0,0,0,0,0,0
2019-0408,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8311,SourceForge,0,0,0,0,0,0,0,0,0
2019-8311,GitHub,0,0,0,0,0,0,0,0,0
2019-8311,GitLab,0,0,0,0,0,0,0,0,0
2019-8311,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7908,SourceForge,0,0,0,0,0,0,0,0,0
2019-7908,GitHub,0,0,0,0,0,0,0,0,0
2019-7908,GitLab,0,0,0,0,0,0,0,0,0
2019-7908,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2209,SourceForge,0,0,0,0,0,0,0,0,0
2019-2209,GitHub,1,1,0.0,1.0,1.0,1.0,0.020134228187919462,1,1
2019-2209,GitLab,0,0,0,0,0,0,0,0,0
2019-2209,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8604,SourceForge,0,0,0,0,0,0,0,0,0
2019-8604,GitHub,0,0,0,0,0,0,0,0,0
2019-8604,GitLab,0,0,0,0,0,0,0,0,0
2019-8604,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4109,SourceForge,0,0,0,0,0,0,0,0,0
2019-4109,GitHub,0,0,0,0,0,0,0,0,0
2019-4109,GitLab,0,0,0,0,0,0,0,0,0
2019-4109,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6708,SourceForge,0,0,0,0,0,0,0,0,0
2019-6708,GitHub,0,0,0,0,0,0,0,0,0
2019-6708,GitLab,0,0,0,0,0,0,0,0,0
2019-6708,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9107,SourceForge,0,0,0,0,0,0,0,0,0
2019-9107,GitHub,0,0,0,0,0,0,0,0,0
2019-9107,GitLab,0,0,0,0,0,0,0,0,0
2019-9107,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9804,SourceForge,0,0,0,0,0,0,0,0,0
2019-9804,GitHub,0,0,0,0,0,0,0,0,0
2019-9804,GitLab,0,0,0,0,0,0,0,0,0
2019-9804,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8203,SourceForge,0,0,0,0,0,0,0,0,0
2019-8203,GitHub,0,0,0,0,0,0,0,0,0
2019-8203,GitLab,0,0,0,0,0,0,0,0,0
2019-8203,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9412,SourceForge,0,0,0,0,0,0,0,0,0
2019-9412,GitHub,0,0,0,0,0,0,0,0,0
2019-9412,GitLab,0,0,0,0,0,0,0,0,0
2019-9412,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9812,SourceForge,0,0,0,0,0,0,0,0,0
2019-9812,GitHub,0,0,0,0,0,0,0,0,0
2019-9812,GitLab,0,0,0,0,0,0,0,0,0
2019-9812,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9111,SourceForge,0,0,0,0,0,0,0,0,0
2019-9111,GitHub,0,0,0,0,0,0,0,0,0
2019-9111,GitLab,0,0,0,0,0,0,0,0,0
2019-9111,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9404,SourceForge,0,0,0,0,0,0,0,0,0
2019-9404,GitHub,0,0,0,0,0,0,0,0,0
2019-9404,GitLab,0,0,0,0,0,0,0,0,0
2019-9404,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3009,SourceForge,0,0,0,0,0,0,0,0,0
2019-3009,GitHub,0,0,0,0,0,0,0,0,0
2019-3009,GitLab,0,0,0,0,0,0,0,0,0
2019-3009,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5309,SourceForge,0,0,0,0,0,0,0,0,0
2019-5309,GitHub,0,0,0,0,0,0,0,0,0
2019-5309,GitLab,0,0,0,0,0,0,0,0,0
2019-5309,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7508,SourceForge,0,0,0,0,0,0,0,0,0
2019-7508,GitHub,0,0,0,0,0,0,0,0,0
2019-7508,GitLab,0,0,0,0,0,0,0,0,0
2019-7508,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8307,SourceForge,0,0,0,0,0,0,0,0,0
2019-8307,GitHub,0,0,0,0,0,0,0,0,0
2019-8307,GitLab,0,0,0,0,0,0,0,0,0
2019-8307,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8612,SourceForge,0,0,0,0,0,0,0,0,0
2019-8612,GitHub,0,0,0,0,0,0,0,0,0
2019-8612,GitLab,0,0,0,0,0,0,0,0,0
2019-8612,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9003,SourceForge,0,0,0,0,0,0,0,0,0
2019-9003,GitHub,0,0,0,0,0,0,0,0,0
2019-9003,GitLab,0,0,0,0,0,0,0,0,0
2019-9003,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8405,SourceForge,0,0,0,0,0,0,0,0,0
2019-8405,GitHub,0,0,0,0,0,0,0,0,0
2019-8405,GitLab,0,0,0,0,0,0,0,0,0
2019-8405,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8110,SourceForge,0,0,0,0,0,0,0,0,0
2019-8110,GitHub,0,0,0,0,0,0,0,0,0
2019-8110,GitLab,0,0,0,0,0,0,0,0,0
2019-8110,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9701,SourceForge,0,0,0,0,0,0,0,0,0
2019-9701,GitHub,0,0,0,0,0,0,0,0,0
2019-9701,GitLab,0,0,0,0,0,0,0,0,0
2019-9701,Bitbucket,0,0,0,0,0,0,0,0,0
2019-0609,SourceForge,0,0,0,0,0,0,0,0,0
2019-0609,GitHub,0,0,0,0,0,0,0,0,0
2019-0609,GitLab,0,0,0,0,0,0,0,0,0
2019-0609,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8002,SourceForge,0,0,0,0,0,0,0,0,0
2019-8002,GitHub,0,0,0,0,0,0,0,0,0
2019-8002,GitLab,0,0,0,0,0,0,0,0,0
2019-8002,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8901,SourceForge,0,0,0,0,0,0,0,0,0
2019-8901,GitHub,0,0,0,0,0,0,0,0,0
2019-8901,GitLab,0,0,0,0,0,0,0,0,0
2019-8901,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6509,SourceForge,0,0,0,0,0,0,0,0,0
2019-6509,GitHub,0,0,0,0,0,0,0,0,0
2019-6509,GitLab,0,0,0,0,0,0,0,0,0
2019-6509,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9306,SourceForge,0,0,0,0,0,0,0,0,0
2019-9306,GitHub,0,0,0,0,0,0,0,0,0
2019-9306,GitLab,0,0,0,0,0,0,0,0,0
2019-9306,Bitbucket,0,0,0,0,0,0,0,0,0
2019-1809,SourceForge,0,0,0,0,0,0,0,0,0
2019-1809,GitHub,0,0,0,0,0,0,0,0,0
2019-1809,GitLab,0,0,0,0,0,0,0,0,0
2019-1809,Bitbucket,0,0,0,0,0,0,0,0,0
2020-1009,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.004081632653061225,1,1
2020-1009,GitHub,0,0,0,0,0,0,0,0,0
2020-1009,GitLab,0,0,0,0,0,0,0,0,0
2020-1009,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4308,SourceForge,0,0,0,0,0,0,0,0,0
2019-4308,GitHub,0,0,0,0,0,0,0,0,0
2019-4308,GitLab,0,0,0,0,0,0,0,0,0
2019-4308,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3208,SourceForge,0,0,0,0,0,0,0,0,0
2019-3208,GitHub,0,0,0,0,0,0,0,0,0
2019-3208,GitLab,0,0,0,0,0,0,0,0,0
2019-3208,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9605,SourceForge,0,0,0,0,0,0,0,0,0
2019-9605,GitHub,0,0,0,0,0,0,0,0,0
2019-9605,GitLab,0,0,0,0,0,0,0,0,0
2019-9605,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6909,SourceForge,0,0,0,0,0,0,0,0,0
2019-6909,GitHub,0,0,0,0,0,0,0,0,0
2019-6909,GitLab,0,0,0,0,0,0,0,0,0
2019-6909,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8501,SourceForge,0,0,0,0,0,0,0,0,0
2019-8501,GitHub,0,0,0,0,0,0,0,0,0
