Directory,URLCount,Category
2012-09,44,SourceForge
2012-09,29,GitHub
2012-09,0,GitLab
2012-09,7,Bitbucket
2010-08,40,SourceForge
2010-08,2,GitHub
2010-08,0,GitLab
2010-08,1,Bitbucket
2017-10,86,SourceForge
2017-10,1285,GitHub
2017-10,8,GitLab
2017-10,38,Bitbucket
2008-02,12,SourceForge
2008-02,0,GitHub
2008-02,0,GitLab
2008-02,0,Bitbucket
2012-05,53,SourceForge
2012-05,19,GitHub
2012-05,0,GitLab
2012-05,3,Bitbucket
2016-02,67,SourceForge
2016-02,463,GitHub
2016-02,1,GitLab
2016-02,30,Bitbucket
2009-10,42,SourceForge
2009-10,0,GitHub
2009-10,0,GitLab
2009-10,2,Bitbucket
2013-01,61,SourceForge
2013-01,53,GitHub
2013-01,0,GitLab
2013-01,5,Bitbucket
2009-06,37,SourceForge
2009-06,3,GitHub
2009-06,0,GitLab
2009-06,1,Bitbucket
2017-06,73,SourceForge
2017-06,993,GitHub
2017-06,9,GitLab
2017-06,38,Bitbucket
2010-04,29,SourceForge
2010-04,0,GitHub
2010-04,0,GitLab
2010-04,0,Bitbucket
2019-07,67,SourceForge
2019-07,2969,GitHub
2019-07,36,GitLab
2019-07,56,Bitbucket
2015-11,54,SourceForge
2015-11,451,GitHub
2015-11,1,GitLab
2015-11,19,Bitbucket
2014-03,71,SourceForge
2014-03,99,GitHub
2014-03,0,GitLab
2014-03,7,Bitbucket
2007-07,20,SourceForge
2007-07,0,GitHub
2007-07,0,GitLab
2007-07,0,Bitbucket
2021-06,57,SourceForge
2021-06,6774,GitHub
2021-06,76,GitLab
2021-06,44,Bitbucket
2018-03,62,SourceForge
2018-03,1605,GitHub
2018-03,9,GitLab
2018-03,34,Bitbucket
2007-11,19,SourceForge
2007-11,1,GitHub
2007-11,0,GitLab
2007-11,0,Bitbucket
2021-10,70,SourceForge
2021-10,6294,GitHub
2021-10,65,GitLab
2021-10,60,Bitbucket
2019-11,68,SourceForge
2019-11,3211,GitHub
2019-11,50,GitLab
2019-11,36,Bitbucket
2010-12,46,SourceForge
2010-12,4,GitHub
2010-12,0,GitLab
2010-12,0,Bitbucket
2015-07,65,SourceForge
2015-07,289,GitHub
2015-07,1,GitLab
2015-07,21,Bitbucket
2020-02,71,SourceForge
2020-02,4315,GitHub
2020-02,40,GitLab
2020-02,42,Bitbucket
2020-03,79,SourceForge
2020-03,3978,GitHub
2020-03,52,GitLab
2020-03,49,Bitbucket
2019-10,54,SourceForge
2019-10,3286,GitHub
2019-10,20,GitLab
2019-10,43,Bitbucket
2015-06,83,SourceForge
2015-06,346,GitHub
2015-06,4,GitLab
2015-06,26,Bitbucket
2021-11,60,SourceForge
2021-11,5132,GitHub
2021-11,57,GitLab
2021-11,39,Bitbucket
