Directory,URLCount,Category
2020-1208,2462,Total
2020-1208,4,SourceForge
2020-1208,0,GitHub
2020-1208,0,GitLab
2020-1208,1,Bitbucket
2019-9412,0,Total
2019-9412,0,SourceForge
2019-9412,0,GitHub
2019-9412,0,GitLab
2019-9412,0,Bitbucket
2020-1212,2613,Total
2020-1212,4,SourceForge
2020-1212,4,GitHub
2020-1212,0,GitLab
2020-1212,0,Bitbucket
2020-1005,2016,Total
2020-1005,3,SourceForge
2020-1005,0,GitHub
2020-1005,0,GitLab
2020-1005,0,Bitbucket
2020-0205,56,Total
2020-0205,0,SourceForge
2020-0205,0,GitHub
2020-0205,0,GitLab
2020-0205,0,Bitbucket
2020-1012,1635,Total
2020-1012,8,SourceForge
2020-1012,0,GitHub
2020-1012,0,GitLab
2020-1012,0,Bitbucket
2020-0212,4,Total
2020-0212,0,SourceForge
2020-0212,0,GitHub
2020-0212,0,GitLab
2020-0212,0,Bitbucket
2020-1205,2414,Total
2020-1205,2,SourceForge
2020-1205,0,GitHub
2020-1205,0,GitLab
2020-1205,0,Bitbucket
2020-0208,10,Total
2020-0208,0,SourceForge
2020-0208,0,GitHub
2020-0208,0,GitLab
2020-0208,0,Bitbucket
2020-1008,1812,Total
2020-1008,5,SourceForge
2020-1008,0,GitHub
2020-1008,0,GitLab
2020-1008,0,Bitbucket
2019-9405,0,Total
2019-9405,0,SourceForge
2019-9405,0,GitHub
2019-9405,0,GitLab
2019-9405,0,Bitbucket
2020-1605,2644,Total
2020-1605,0,SourceForge
2020-1605,7,GitHub
2020-1605,0,GitLab
2020-1605,0,Bitbucket
2020-0805,1536,Total
2020-0805,0,SourceForge
2020-0805,0,GitHub
2020-0805,0,GitLab
2020-0805,0,Bitbucket
2020-0405,43,Total
2020-0405,0,SourceForge
2020-0405,0,GitHub
2020-0405,0,GitLab
2020-0405,0,Bitbucket
2020-1812,2378,Total
2020-1812,3,SourceForge
2020-1812,13,GitHub
2020-1812,0,GitLab
2020-1812,0,Bitbucket
2020-0612,1306,Total
2020-0612,1,SourceForge
2020-0612,0,GitHub
2020-0612,0,GitLab
2020-0612,0,Bitbucket
2020-2005,2917,Total
2020-2005,1,SourceForge
2020-2005,21,GitHub
2020-2005,0,GitLab
2020-2005,0,Bitbucket
2020-1412,2999,Total
2020-1412,1,SourceForge
2020-1412,0,GitHub
2020-1412,0,GitLab
2020-1412,0,Bitbucket
2020-1408,3007,Total
2020-1408,0,SourceForge
2020-1408,3,GitHub
2020-1408,0,GitLab
2020-1408,0,Bitbucket
2020-0608,1177,Total
2020-0608,2,SourceForge
2020-0608,0,GitHub
2020-0608,0,GitLab
2020-0608,0,Bitbucket
2020-1808,2986,Total
2020-1808,3,SourceForge
2020-1808,34,GitHub
2020-1808,0,GitLab
2020-1808,0,Bitbucket
2020-2008,2809,Total
2020-2008,4,SourceForge
2020-2008,40,GitHub
2020-2008,0,GitLab
2020-2008,0,Bitbucket
2020-0408,746,Total
2020-0408,4,SourceForge
2020-0408,0,GitHub
2020-0408,0,GitLab
2020-0408,0,Bitbucket
2020-0808,1488,Total
2020-0808,9,SourceForge
2020-0808,0,GitHub
2020-0808,0,GitLab
2020-0808,0,Bitbucket
2020-1608,2691,Total
2020-1608,2,SourceForge
2020-1608,3,GitHub
2020-1608,0,GitLab
2020-1608,0,Bitbucket
2020-1805,2617,Total
2020-1805,2,SourceForge
2020-1805,3,GitHub
2020-1805,0,GitLab
2020-1805,0,Bitbucket
2020-0605,562,Total
2020-0605,0,SourceForge
