Directory,FileCount,FileWithURL
0000-00,6,6
2012-08,420,419
1994-12,2,2
2012-12,408,408
2003-01,1,1
2010-05,358,358
2002-05,12,10
2010-12,408,406
2002-12,5,2
2012-05,416,414
2002-08,12,10
2010-08,376,374
1994-05,1,0
2016-05,557,557
2008-05,359,359
2004-05,11,11
2018-12,493,492
2006-12,348,348
2020-05,525,525
2014-12,554,554
2014-08,571,571
2006-08,330,330
2018-08,607,607
2020-08,537,537
2004-08,314,313
2008-08,381,379
2016-08,588,588
2018-05,526,526
2006-05,156,156
2020-12,505,505
2014-05,518,517
2016-12,535,534
2008-12,372,369
2004-12,388,388
2011-05,409,409
2003-05,691,690
2013-12,438,438
2013-08,552,551
1999-12,1,1
2003-08,197,194
2011-08,427,427
2013-05,434,434
2011-12,411,411
2003-12,275,275
2015-08,542,541
2019-08,515,515
2007-08,353,352
2007-12,363,363
2019-12,562,562
2015-12,509,509
2021-05,517,516
2009-05,359,359
2017-05,571,571
2005-05,316,316
2009-12,384,383
2017-12,549,549
2005-12,412,412
2007-05,205,204
2019-05,547,547
2015-05,499,499
2021-12,427,427
2005-08,361,360
2017-08,603,603
2009-08,336,336
2021-08,480,480
