Filename,URLCount,Category,Year,Date
16748/CALLEJAS-TOVAR-DISSERTATION.pdf,1,SourceForge,2012,2012-08
7911/CAO-THESIS.pdf,1,SourceForge,2012,2012-08
20323/VIDES-CERON-THESIS.pdf,2,SourceForge,2012,2012-08
21214/BETTS-THESIS.pdf,1,Bitbucket,2012,2012-08
17240/LUCCHESE-THESIS-2012.pdf,2,SourceForge,2012,2012-12
17240/LUCCHESE-THESIS-2012.pdf,2,GitHub,2012,2012-12
"10458/Yadav, Sandeep.pdf",1,SourceForge,2012,2012-12
15119/ADITYAKUMAR-THESIS-2012.pdf,1,SourceForge,2012,2012-12
15119/ADITYAKUMAR-THESIS-2012.pdf,2,GitHub,2012,2012-12
9514/GARRISON-DISSERTATION.pdf,1,SourceForge,2010,2010-05
14363/CHRISTMAN-THESIS.pdf,1,SourceForge,2010,2010-05
14344/BISWAS-DISSERTATION.pdf,1,SourceForge,2010,2010-05
9286/LEE-DISSERTATION.pdf,1,SourceForge,2010,2010-12
14160/PIRKELBAUER-DISSERTATION.pdf,1,SourceForge,2010,2010-12
14183/KRAVCHENKO-DISSERTATION.pdf,1,SourceForge,2010,2010-12
13808/PAI-THESIS.pdf,1,SourceForge,2010,2010-12
9258/MALAVE-BONET-THESIS.pdf,3,SourceForge,2010,2010-12
19909/YU-DISSERTATION.pdf,1,SourceForge,2010,2010-12
15809/HIGGINS-THESIS.pdf,1,SourceForge,2012,2012-05
9035/PARTHASARATHY-THESIS.pdf,1,SourceForge,2012,2012-05
14850/MEINTANIS-DISSERTATION.pdf,1,SourceForge,2010,2010-08
19895/PATHAK-THESIS.pdf,2,SourceForge,2010,2010-08
17057/MAHADEVAN-DISSERTATION.pdf,1,SourceForge,2010,2010-08
14843/REDD-DISSERTATION.pdf,1,SourceForge,2010,2010-08
570/TRIFF-DISSERTATION-2016.pdf,1,GitHub,2016,2016-05
690/RAJAGOPALAN-THESIS-2016.pdf,1,GitHub,2016,2016-05
13229/FREEMAN-DISSERTATION-2016.pdf,1,GitHub,2016,2016-05
751/ABANTELLENAS-THESIS-2016.pdf,1,GitHub,2016,2016-05
9573/PANDA-THESIS-2016.pdf,3,GitHub,2016,2016-05
4068/DHAKAL-DISSERTATION-2018.pdf,1,SourceForge,2018,2018-12
4068/DHAKAL-DISSERTATION-2018.pdf,1,GitHub,2018,2018-12
4050/BROWNE-DISSERTATION-2018.pdf,6,GitHub,2018,2018-12
4000/ALAWADI-DISSERTATION-2018.pdf,1,SourceForge,2018,2018-12
2956/JUN-DISSERTATION-2018.pdf,1,GitHub,2018,2018-12
4159/BLANDON-DISSERTATION-2018.pdf,1,SourceForge,2018,2018-12
4072/COXJR-DISSERTATION-2018.pdf,1,GitHub,2018,2018-12
4152/WU-THESIS-2018.pdf,1,GitHub,2018,2018-12
3230/SOTELOGAMBOA-THESIS-2018.pdf,1,GitHub,2018,2018-12
973/BAUER-THESIS-2018.pdf,1,GitHub,2018,2018-12
3146/YEH-DISSERTATION-2018.pdf,1,GitHub,2018,2018-12
7750/etd-tamu-2006C-CPSC-Saunders.pdf,1,SourceForge,2006,2006-12
21478/STRINGER-DISSERTATION-2020.pdf,2,GitHub,2020,2020-05
18783/MCWILLIAMS-THESIS-2020.pdf,5,GitHub,2020,2020-05
3067/WOODS-THESIS-2020.pdf,1,GitHub,2020,2020-05
2627/HILLIARD-DISSERTATION-2020.pdf,3,GitHub,2020,2020-05
21582/JOFRERODRIGUEZ-DISSERTATION-2020.pdf,1,GitHub,2020,2020-05
