Directory,URLCount,Category
2012-08,4,SourceForge
2012-08,0,GitHub
2012-08,0,GitLab
2012-08,1,Bitbucket
1994-12,0,SourceForge
1994-12,0,GitHub
1994-12,0,GitLab
1994-12,0,Bitbucket
2012-12,4,SourceForge
2012-12,4,GitHub
2012-12,0,GitLab
2012-12,0,Bitbucket
2010-05,3,SourceForge
2010-05,0,GitHub
2010-05,0,GitLab
2010-05,0,Bitbucket
2002-05,0,SourceForge
2002-05,0,GitHub
2002-05,0,GitLab
2002-05,0,Bitbucket
2010-12,8,SourceForge
2010-12,0,GitHub
2010-12,0,GitLab
2010-12,0,Bitbucket
2002-12,0,SourceForge
2002-12,0,GitHub
2002-12,0,GitLab
2002-12,0,Bitbucket
2012-05,2,SourceForge
2012-05,0,GitHub
2012-05,0,GitLab
2012-05,0,Bitbucket
2002-08,0,SourceForge
2002-08,0,GitHub
2002-08,0,GitLab
2002-08,0,Bitbucket
2010-08,5,SourceForge
2010-08,0,GitHub
2010-08,0,GitLab
2010-08,0,Bitbucket
1994-05,0,SourceForge
1994-05,0,GitHub
1994-05,0,GitLab
1994-05,0,Bitbucket
2016-05,0,SourceForge
2016-05,7,GitHub
2016-05,0,GitLab
2016-05,0,Bitbucket
2008-05,0,SourceForge
2008-05,0,GitHub
2008-05,0,GitLab
2008-05,0,Bitbucket
2004-05,0,SourceForge
2004-05,0,GitHub
2004-05,0,GitLab
2004-05,0,Bitbucket
2018-12,3,SourceForge
2018-12,13,GitHub
2018-12,0,GitLab
2018-12,0,Bitbucket
2006-12,1,SourceForge
2006-12,0,GitHub
2006-12,0,GitLab
2006-12,0,Bitbucket
2020-05,1,SourceForge
2020-05,21,GitHub
2020-05,0,GitLab
2020-05,0,Bitbucket
2014-12,1,SourceForge
2014-12,0,GitHub
2014-12,0,GitLab
2014-12,0,Bitbucket
2014-08,0,SourceForge
2014-08,3,GitHub
2014-08,0,GitLab
2014-08,0,Bitbucket
2006-08,2,SourceForge
2006-08,0,GitHub
2006-08,0,GitLab
2006-08,0,Bitbucket
2018-08,3,SourceForge
2018-08,34,GitHub
2018-08,0,GitLab
2018-08,0,Bitbucket
2020-08,4,SourceForge
2020-08,40,GitHub
2020-08,0,GitLab
2020-08,0,Bitbucket
2004-08,4,SourceForge
2004-08,0,GitHub
2004-08,0,GitLab
2004-08,0,Bitbucket
2008-08,9,SourceForge
2008-08,0,GitHub
2008-08,0,GitLab
2008-08,0,Bitbucket
2016-08,2,SourceForge
2016-08,3,GitHub
2016-08,0,GitLab
2016-08,0,Bitbucket
2018-05,2,SourceForge
2018-05,3,GitHub
2018-05,0,GitLab
2018-05,0,Bitbucket
2006-05,0,SourceForge
2006-05,0,GitHub
2006-05,0,GitLab
2006-05,0,Bitbucket
2020-12,2,SourceForge
2020-12,27,GitHub
2020-12,1,GitLab
2020-12,0,Bitbucket
2014-05,3,SourceForge
2014-05,2,GitHub
2014-05,0,GitLab
2014-05,0,Bitbucket
2016-12,0,SourceForge
2016-12,5,GitHub
2016-12,0,GitLab
2016-12,0,Bitbucket
2008-12,4,SourceForge
2008-12,0,GitHub
2008-12,0,GitLab
2008-12,0,Bitbucket
2004-12,1,SourceForge
2004-12,0,GitHub
2004-12,0,GitLab
2004-12,0,Bitbucket
2011-05,8,SourceForge
2011-05,0,GitHub
2011-05,0,GitLab
2011-05,0,Bitbucket
2003-05,1,SourceForge
2003-05,0,GitHub
2003-05,0,GitLab
2003-05,0,Bitbucket
2013-12,3,SourceForge
2013-12,0,GitHub
2013-12,0,GitLab
2013-12,0,Bitbucket
2013-08,3,SourceForge
2013-08,3,GitHub
2013-08,0,GitLab
2013-08,0,Bitbucket
1999-12,0,SourceForge
1999-12,0,GitHub
1999-12,0,GitLab
1999-12,0,Bitbucket
2003-08,1,SourceForge
2003-08,0,GitHub
2003-08,0,GitLab
2003-08,0,Bitbucket
2011-08,2,SourceForge
2011-08,0,GitHub
2011-08,0,GitLab
2011-08,0,Bitbucket
2013-05,3,SourceForge
2013-05,1,GitHub
2013-05,0,GitLab
2013-05,0,Bitbucket
2011-12,7,SourceForge
2011-12,0,GitHub
2011-12,0,GitLab
2011-12,0,Bitbucket
2003-12,2,SourceForge
2003-12,0,GitHub
2003-12,0,GitLab
2003-12,0,Bitbucket
2015-08,3,SourceForge
2015-08,3,GitHub
2015-08,0,GitLab
2015-08,0,Bitbucket
2019-08,2,SourceForge
2019-08,20,GitHub
2019-08,0,GitLab
2019-08,0,Bitbucket
2007-08,31,SourceForge
2007-08,0,GitHub
2007-08,0,GitLab
2007-08,0,Bitbucket
2007-12,1,SourceForge
2007-12,0,GitHub
2007-12,0,GitLab
2007-12,0,Bitbucket
2019-12,3,SourceForge
2019-12,29,GitHub
2019-12,0,GitLab
2019-12,0,Bitbucket
2015-12,4,SourceForge
2015-12,6,GitHub
2015-12,0,GitLab
2015-12,0,Bitbucket
2021-05,0,SourceForge
2021-05,19,GitHub
2021-05,0,GitLab
2021-05,0,Bitbucket
2009-05,3,SourceForge
2009-05,0,GitHub
2009-05,0,GitLab
2009-05,0,Bitbucket
2017-05,4,SourceForge
2017-05,2,GitHub
2017-05,0,GitLab
2017-05,0,Bitbucket
2005-05,1,SourceForge
2005-05,0,GitHub
2005-05,0,GitLab
2005-05,0,Bitbucket
2009-12,0,SourceForge
2009-12,0,GitHub
2009-12,0,GitLab
2009-12,0,Bitbucket
2017-12,3,SourceForge
2017-12,15,GitHub
2017-12,0,GitLab
2017-12,0,Bitbucket
2005-12,2,SourceForge
2005-12,0,GitHub
2005-12,0,GitLab
2005-12,0,Bitbucket
2007-05,1,SourceForge
2007-05,0,GitHub
2007-05,0,GitLab
2007-05,0,Bitbucket
2019-05,1,SourceForge
2019-05,15,GitHub
2019-05,0,GitLab
2019-05,0,Bitbucket
2015-05,0,SourceForge
2015-05,6,GitHub
2015-05,0,GitLab
2015-05,0,Bitbucket
2021-12,4,SourceForge
2021-12,39,GitHub
2021-12,2,GitLab
2021-12,0,Bitbucket
2005-08,0,SourceForge
2005-08,6,GitHub
2005-08,0,GitLab
2005-08,0,Bitbucket
2017-08,2,SourceForge
2017-08,19,GitHub
2017-08,0,GitLab
2017-08,0,Bitbucket
2009-08,4,SourceForge
2009-08,0,GitHub
2009-08,0,GitLab
2009-08,0,Bitbucket
2021-08,2,SourceForge
2021-08,49,GitHub
2021-08,1,GitLab
2021-08,0,Bitbucket
