URLCount,ecdf,Category
0,0,SourceForge
-inf,0.0,SourceForge
1.0,0.819672131147541,SourceForge
1.0,1.639344262295082,SourceForge
1.0,2.459016393442623,SourceForge
1.0,3.278688524590164,SourceForge
1.0,4.0983606557377055,SourceForge
1.0,4.918032786885247,SourceForge
1.0,5.737704918032787,SourceForge
1.0,6.557377049180328,SourceForge
1.0,7.377049180327869,SourceForge
1.0,8.19672131147541,SourceForge
1.0,9.01639344262295,SourceForge
1.0,9.836065573770492,SourceForge
1.0,10.655737704918032,SourceForge
1.0,11.475409836065573,SourceForge
1.0,12.295081967213115,SourceForge
1.0,13.114754098360656,SourceForge
1.0,13.934426229508198,SourceForge
1.0,14.75409836065574,SourceForge
1.0,15.573770491803279,SourceForge
1.0,16.393442622950822,SourceForge
1.0,17.213114754098363,SourceForge
1.0,18.0327868852459,SourceForge
1.0,18.852459016393443,SourceForge
1.0,19.672131147540988,SourceForge
1.0,20.491803278688526,SourceForge
1.0,21.311475409836067,SourceForge
1.0,22.13114754098361,SourceForge
1.0,22.95081967213115,SourceForge
1.0,23.77049180327869,SourceForge
1.0,24.590163934426233,SourceForge
1.0,25.40983606557377,SourceForge
1.0,26.229508196721312,SourceForge
1.0,27.049180327868854,SourceForge
1.0,27.868852459016395,SourceForge
1.0,28.68852459016394,SourceForge
1.0,29.50819672131148,SourceForge
1.0,30.327868852459016,SourceForge
1.0,31.147540983606557,SourceForge
1.0,31.967213114754102,SourceForge
1.0,32.786885245901644,SourceForge
1.0,33.606557377049185,SourceForge
1.0,34.42622950819673,SourceForge
1.0,35.24590163934426,SourceForge
1.0,36.0655737704918,SourceForge
1.0,36.885245901639344,SourceForge
1.0,37.704918032786885,SourceForge
1.0,38.52459016393443,SourceForge
1.0,39.344262295081975,SourceForge
1.0,40.16393442622951,SourceForge
1.0,40.98360655737705,SourceForge
1.0,41.80327868852459,SourceForge
1.0,42.622950819672134,SourceForge
1.0,43.442622950819676,SourceForge
1.0,44.26229508196722,SourceForge
1.0,45.08196721311476,SourceForge
1.0,45.90163934426229,SourceForge
1.0,46.72131147540984,SourceForge
1.0,47.54098360655738,SourceForge
1.0,48.360655737704924,SourceForge
1.0,49.180327868852466,SourceForge
1.0,50.0,SourceForge
1.0,50.81967213114754,SourceForge
1.0,51.63934426229508,SourceForge
1.0,52.459016393442624,SourceForge
1.0,53.278688524590166,SourceForge
1.0,54.09836065573771,SourceForge
1.0,54.91803278688525,SourceForge
1.0,55.73770491803279,SourceForge
1.0,56.55737704918033,SourceForge
1.0,57.37704918032788,SourceForge
1.0,58.19672131147542,SourceForge
1.0,59.01639344262295,SourceForge
1.0,59.83606557377049,SourceForge
1.0,60.65573770491803,SourceForge
1.0,61.47540983606557,SourceForge
1.0,62.295081967213115,SourceForge
1.0,63.114754098360656,SourceForge
1.0,63.934426229508205,SourceForge
1.0,64.75409836065575,SourceForge
1.0,65.57377049180329,SourceForge
1.0,66.39344262295083,SourceForge
1.0,67.21311475409837,SourceForge
1.0,68.03278688524591,SourceForge
1.0,68.85245901639345,SourceForge
1.0,69.67213114754098,SourceForge
1.0,70.49180327868852,SourceForge
1.0,71.31147540983606,SourceForge
1.0,72.1311475409836,SourceForge
1.0,72.95081967213115,SourceForge
1.0,73.77049180327869,SourceForge
1.0,74.59016393442623,SourceForge
1.0,75.40983606557377,SourceForge
1.0,76.22950819672131,SourceForge
1.0,77.04918032786885,SourceForge
1.0,77.86885245901641,SourceForge
1.0,78.68852459016395,SourceForge
1.0,79.50819672131148,SourceForge
