URL SURT Directory Filename URLType
https://bitbucket.org/agelab/ org,bitbucket)/agelab 201603 oa_pdf/c2/be/terg-59-344.PMC4917911.pdf non_oads_urls
https://bitbucket.org/young_computation/crcmapper org,bitbucket)/young_computation/crcmapper 201603 oa_pdf/d4/93/385.PMC4772020.pdf non_oads_urls
https://bitbucket.org/ustenzel/biohazard-tools org,bitbucket)/ustenzel/biohazard-tools 201707 oa_pdf/bb/f4/1230.PMC5495074.pdf oads_urls
https://bitbucket.org/james org,bitbucket)/james 201511 oa_pdf/11/75/ftv076.PMC4622172.pdf oads_urls
https://bitbucket.org/caseywdunn/hutan org,bitbucket)/caseywdunn/hutan 201511 oa_pdf/d6/d8/syv055.PMC4604836.pdf oads_urls
https://bitbucket.org/youngl/ursa_backend org,bitbucket)/youngl/ursa_backend 201403 oa_pdf/67/aa/ijn-9-1175.PMC3949719.pdf non_oads_urls
https://bitbucket.org/newgene/genedoc/overview org,bitbucket)/newgene/genedoc/overview 201301 oa_pdf/65/73/gks1114.PMC3531157.pdf oads_urls
http://bitbucket.org/ericfigure org,bitbucket)/ericfigure 201301 oa_pdf/af/db/gks1108.PMC3531061.pdf oads_urls
https://bitbucket.org/ibi org,bitbucket)/ibi 201701 oa_pdf/0a/1e/gkw943.PMC5210640.pdf oads_urls
https://bitbucket.org/mavericlab/rnaseq-cba38- org,bitbucket)/mavericlab/rnaseq-cba38- 201701 oa_pdf/3b/a0/ismej201681a.PMC5335546.pdf oads_urls
https://bitbucket.org/usdbioinformatics/tds- org,bitbucket)/usdbioinformatics/tds- 201701 oa_pdf/73/d0/gkw940.PMC5210639.pdf oads_urls
https://bitbucket.org/canzar/splicehunter org,bitbucket)/canzar/splicehunter 201701 oa_pdf/9f/b6/145.PMC5204338.pdf non_oads_urls
http://bitbucket.org/charade/swan org,bitbucket)/charade/swan 201609 oa_pdf/64/c3/gkw481.PMC5009736.pdf oads_urls
http://bitbucket.org/charade/ org,bitbucket)/charade 201609 oa_pdf/64/c3/gkw481.PMC5009736.pdf oads_urls
https://bitbucket.org/horizongir/bonsai org,bitbucket)/horizongir/bonsai 201408 oa_pdf/55/c9/ncomms5560.PMC4143931.pdf oads_urls
https://bitbucket.org/3dome/3dgnome org,bitbucket)/3dome/3dgnome 201612 oa_pdf/2a/18/1697.PMC5131821.pdf oads_urls
https://bitbucket.org/muellerflorian/fish org,bitbucket)/muellerflorian/fish 201612 oa_pdf/37/71/gkw784.PMC5159540.pdf oads_urls
https://bitbucket.org/yogita org,bitbucket)/yogita 201612 oa_pdf/d0/e6/gkw785.PMC5159541.pdf oads_urls
https://bitbucket.org/lussierlab/faime-opensource org,bitbucket)/lussierlab/faime-opensource 201307 oa_pdf/0f/ce/amiajnl-2012-001519.PMC3721168.pdf oads_urls
https://bitbucket.org/nsegata/ org,bitbucket)/nsegata 201406 oa_pdf/a9/4f/ncomms4985.PMC4059924.pdf oads_urls
https://bitbucket.org/lwaldron/curatedovariandata org,bitbucket)/lwaldron/curatedovariandata 201304 oa_pdf/88/57/bat013.PMC3625954.pdf oads_urls
https://bitbucket.org/xavmeyer/hogan org,bitbucket)/xavmeyer/hogan 201703 oa_pdf/f2/47/btw712.PMC5408833.pdf oads_urls
https://bitbucket.org/youngl/ursa_backend org,bitbucket)/youngl/ursa_backend 201312 oa_pdf/67/aa/btt529.PMC3834796.pdf oads_urls
http://bitbucket.org/nspies/buildpolyaclusters org,bitbucket)/nspies/buildpolyaclusters 201312 oa_pdf/94/27/2078.PMC3847777.pdf oads_urls
https://bitbucket.org/jasonmacrander/anemone_tissue/ org,bitbucket)/jasonmacrander/anemone_tissue 201607 oa_pdf/4f/cd/evw155.PMC5010892.pdf oads_urls
https://bitbucket.org/jasonmacrander/anemone_tissue/ org,bitbucket)/jasonmacrander/anemone_tissue 201607 oa_pdf/4f/cd/evw155.PMC5010892.pdf non_oads_urls
https://bitbucket.org/gpcr/protwis org,bitbucket)/gpcr/protwis 201607 oa_pdf/c1/81/BPH-173-2195.PMC4919580.pdf non_oads_urls
https://bitbucket.org/james_taylor/bx-python/ org,bitbucket)/james_taylor/bx-python 201109 oa_pdf/f9/8e/btr398.PMC3157923.pdf oads_urls
https://bitbucket.org/whatshap/whatshap org,bitbucket)/whatshap/whatshap 201606 oa_pdf/3a/bc/btw276.PMC4908360.pdf oads_urls
https://bitbucket.org/whatshap/whatshap org,bitbucket)/whatshap/whatshap 201606 oa_pdf/3a/bc/btw276.PMC4908360.pdf non_oads_urls
https://bitbucket.org/nsegata/graphlan/ org,bitbucket)/nsegata/graphlan 201606 oa_pdf/4f/f2/ismej2015221a.PMC5029195.pdf oads_urls
https://bitbucket.org/mjamroz/ org,bitbucket)/mjamroz 201606 oa_pdf/5f/6b/btw262.PMC4908346.pdf oads_urls
