URL SURT Directory Filename URLType
https://github.com/stamatak/raxml-light-1.0.5 com,github)/stamatak/raxml-light-1.0.5 201208 oa_pdf/25/de/bts309.PMC3400957.pdf oads_urls
https://github.com/elofgren/zombies com,github)/elofgren/zombies 201603 oa_pdf/0e/c8/jmbe-17-137.PMC4798798.pdf non_oads_urls
https://github.com/cband/mojo com,github)/cband/mojo 201603 oa_pdf/1c/d9/KasaianMCS000729.PMC4849853.pdf oads_urls
https://github.com/fernandolab/ com,github)/fernandolab 201603 oa_pdf/51/cf/JAM-120-588.PMC4785609.pdf non_oads_urls
https://github.com/wenjiegroup/dnn-hmm com,github)/wenjiegroup/dnn-hmm 201603 oa_pdf/53/c4/btv643.PMC4795613.pdf non_oads_urls
https://github.com/rstudio/ com,github)/rstudio 201603 oa_pdf/5b/1d/bmjopen-2015-010579.PMC4809078.pdf oads_urls
https://github.com/genome/bam-readcount com,github)/genome/bam-readcount 201603 oa_pdf/7f/9e/evw054.PMC4898790.pdf non_oads_urls
https://github.com/tidepool-org/ com,github)/tidepool-org 201603 oa_pdf/90/4d/ocv104.PMC4784555.pdf non_oads_urls
https://github.com/tatumdmortimer/core- com,github)/tatumdmortimer/core- 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf oads_urls
https://github.com/ecg-lab/hgtector com,github)/ecg-lab/hgtector 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf oads_urls
https://github.com/apetkau/orthomcl- com,github)/apetkau/orthomcl- 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf oads_urls
https://github.com/ecg-lab/hgtector com,github)/ecg-lab/hgtector 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf non_oads_urls
https://github.com/lh3/ com,github)/lh3 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf non_oads_urls
https://github.com/lh3/psmc com,github)/lh3/psmc 201603 oa_pdf/a5/4b/MEC-25-1058.PMC4793928.pdf non_oads_urls
https://github.com/sequencing/ com,github)/sequencing 201603 oa_pdf/c9/e7/tre-06-363-7522-1.PMC4811020.pdf oads_urls
https://github.com/sequencing/isaac_variant_caller com,github)/sequencing/isaac_variant_caller 201603 oa_pdf/c9/e7/tre-06-363-7522-1.PMC4811020.pdf oads_urls
https://github.com/mpgerstl/networkrobustnesstoolbox com,github)/mpgerstl/networkrobustnesstoolbox 201603 oa_pdf/ca/cf/btv649.PMC4795620.pdf oads_urls
https://github.com/dgrtwo/ com,github)/dgrtwo 201212 oa_pdf/c6/96/gks778.PMC3526298.pdf non_oads_urls
https://github.com/josephryan/ com,github)/josephryan 201707 oa_pdf/75/a0/1263.PMC5495077.pdf oads_urls
https://github.com/josephryan/leapfrog com,github)/josephryan/leapfrog 201707 oa_pdf/75/a0/1263.PMC5495077.pdf non_oads_urls
https://github.com/gui11aume/hmmt com,github)/gui11aume/hmmt 201707 oa_pdf/7d/62/1153.PMC5495067.pdf oads_urls
https://github.com/foxyiris/phylofates com,github)/foxyiris/phylofates 201707 oa_pdf/cd/86/msx096.PMC5455965.pdf non_oads_urls
https://github.com/vityay/1-2-3-sv com,github)/vityay/1-2-3-sv 201402 oa_pdf/50/87/200.PMC3912411.pdf non_oads_urls
https://github.com/hallamlab/utilities com,github)/hallamlab/utilities 201402 oa_pdf/93/01/ismej2013152a.PMC3906813.pdf oads_urls
https://github.com/gjospin/phylosift com,github)/gjospin/phylosift 201402 oa_pdf/e0/24/mBio.01064-13.PMC3940035.pdf oads_urls
https://github.com/nh13/ com,github)/nh13 201402 oa_pdf/ed/aa/main.PMC4411374.pdf oads_urls
https://github.com/nno/burstidator com,github)/nno/burstidator 201510 oa_pdf/01/7d/pyv111.PMC4815476.pdf non_oads_urls
https://github.com/adamewing/ com,github)/adamewing 201510 oa_pdf/45/6f/1536.PMC4579339.pdf oads_urls
https://github.com/anvc/scalar/graphs/ com,github)/anvc/scalar/graphs 201510 oa_pdf/8a/b5/yisr-40-376.PMC4917914.pdf non_oads_urls
https://github.com/researchkit/ com,github)/researchkit 201510 oa_pdf/99/e1/lsv044.PMC5034389.pdf oads_urls
https://github.com/marcottelab/htseq-toolbox/wiki/proktnseq com,github)/marcottelab/htseq-toolbox/wiki/proktnseq 201510 oa_pdf/9b/7b/mBio.01603-15.PMC4626858.pdf oads_urls
https://github.com/marcottelab/htseq-toolbox/ com,github)/marcottelab/htseq-toolbox 201510 oa_pdf/9b/7b/mBio.01603-15.PMC4626858.pdf oads_urls
https://github.com/jstjohn/seqprep com,github)/jstjohn/seqprep 201510 oa_pdf/a2/5e/msv169.PMC4576713.pdf oads_urls
https://github.com/gww/ com,github)/gww 201510 oa_pdf/b7/3c/gkv594.PMC4605292.pdf oads_urls
https://github.com/molpopgen/analysis com,github)/molpopgen/analysis 201510 oa_pdf/d6/87/evv207.PMC4994752.pdf oads_urls
https://github.com/a-slide/contavect/tree/v0.2 com,github)/a-slide/contavect/tree/v0.2 201510 oa_pdf/de/bd/mtna201532a.PMC4881760.pdf oads_urls
https://github.com/a-slide/fastq_control_sampler com,github)/a-slide/fastq_control_sampler 201510 oa_pdf/de/bd/mtna201532a.PMC4881760.pdf non_oads_urls
https://github.com/tgennorth/ com,github)/tgennorth 201510 oa_pdf/fe/06/main.PMC4740342.pdf non_oads_urls
https://github.com/nno/burstidator com,github)/nno/burstidator 201506 oa_pdf/01/7e/bjc2015167a.PMC4647547.pdf non_oads_urls
https://github.com/hilldr/ com,github)/hilldr 201506 oa_pdf/1c/20/main.PMC4471827.pdf oads_urls
https://github.com/nmrexchangeformat/nef/ com,github)/nmrexchangeformat/nef 201506 oa_pdf/42/b0/nihms716083.PMC4546829.pdf non_oads_urls
http://github.com/genome/sciclone com,github)/genome/sciclone 201506 oa_pdf/4f/2f/dmj-39-247.PMC4483610.pdf non_oads_urls
https://github.com/madsalbertsen/ com,github)/madsalbertsen 201506 oa_pdf/5f/c5/mBio.00391-15.PMC4453008.pdf oads_urls
https://github.com/cornish/hpasubc com,github)/cornish/hpasubc 201506 oa_pdf/6e/79/JPI-6-36.PMC4485190.pdf oads_urls
https://github.com/dpark27/adapt_mix.contact: com,github)/dpark27/adapt_mix.contact: 201506 oa_pdf/7f/6c/btv230.PMC4553832.pdf non_oads_urls
https://github.com/lh3/wgsim com,github)/lh3/wgsim 201506 oa_pdf/80/92/btv226.PMC4765875.pdf oads_urls
https://github.com/kzarns/chip-seq/tree/master/tools com,github)/kzarns/chip-seq/tree/master/tools 201506 oa_pdf/8f/f9/main.PMC4516138.pdf oads_urls
https://github.com/alexandrovteam/ims_quality com,github)/alexandrovteam/ims_quality 201506 oa_pdf/98/72/btv266.PMC4765867.pdf oads_urls
https://github.com/friz com,github)/friz 201506 oa_pdf/98/a8/btv251.PMC4765860.pdf non_oads_urls
https://github.com/qfma/duf1220 com,github)/qfma/duf1220 201506 oa_pdf/9a/c0/evv122.PMC4558844.pdf oads_urls
https://github.com/wangshenguiuc/clusdca com,github)/wangshenguiuc/clusdca 201506 oa_pdf/a7/eb/btv260.PMC4542782.pdf oads_urls
https://github.com/lsgh/ismb15 com,github)/lsgh/ismb15 201506 oa_pdf/a8/4a/btv241.PMC4765857.pdf non_oads_urls
https://github.com/taoliu/macs com,github)/taoliu/macs 201506 oa_pdf/a8/4f/main.PMC4584025.pdf non_oads_urls
https://github.com/najoshi/sickle com,github)/najoshi/sickle 201506 oa_pdf/b8/53/apps.1500028.PMC4504724.pdf non_oads_urls
https://github.com/smir- com,github)/smir- 201506 oa_pdf/cc/50/btv234.PMC4765870.pdf oads_urls
https://github.com/adamallo/simphy com,github)/adamallo/simphy 201506 oa_pdf/cc/50/btv234.PMC4765870.pdf oads_urls
https://github.com/marinkaz/fusenet com,github)/marinkaz/fusenet 201506 oa_pdf/d4/57/btv258.PMC4542780.pdf oads_urls
http://github.com/gui11aume/ com,github)/gui11aume 201506 oa_pdf/db/6b/btv053.PMC4765884.pdf oads_urls
http://github.com/gui11aume/starcode/tree/master/misc com,github)/gui11aume/starcode/tree/master/misc 201506 oa_pdf/db/6b/btv053.PMC4765884.pdf non_oads_urls
https://github.com/ravellab/guineapigvmb com,github)/ravellab/guineapigvmb 201506 oa_pdf/db/f6/ftv019.PMC4445005.pdf oads_urls
https://github.com/biobanking/ com,github)/biobanking 201506 oa_pdf/f2/d8/JPI-6-37.PMC4485195.pdf oads_urls
https://github.com/bioxfu/circrnafinder/blob/master/src/find_ com,github)/bioxfu/circrnafinder/blob/master/src/find_ 201507 oa_pdf/11/64/WRNA-6-563.PMC5042038.pdf oads_urls
https://github.com/mlafave/sam2pairwise com,github)/mlafave/sam2pairwise 201507 oa_pdf/1a/2d/1030.PMC4484386.pdf non_oads_urls
https://github.com/oabalbin/onconat com,github)/oabalbin/onconat 201507 oa_pdf/67/aa/1068.PMC4484389.pdf oads_urls
https://github.com/oabalbin/ com,github)/oabalbin 201507 oa_pdf/67/aa/1068.PMC4484389.pdf oads_urls
https://github.com/taoliu/macs/ com,github)/taoliu/macs 201507 oa_pdf/6c/59/main.PMC4664660.pdf oads_urls
https://github.com/adamewing/bamsurgeon/ com,github)/adamewing/bamsurgeon 201507 oa_pdf/86/ff/nihms781059.PMC4856034.pdf non_oads_urls
https://github.com/lh3/wgsim/ com,github)/lh3/wgsim 201507 oa_pdf/86/ff/nihms781059.PMC4856034.pdf non_oads_urls
https://github.com/mattmattmattmatt/vasp com,github)/mattmattmattmatt/vasp 201507 oa_pdf/9c/ea/btv135.PMC4495293.pdf non_oads_urls
https://github.com/angelesdecara com,github)/angelesdecara 201507 oa_pdf/a0/57/970.PMC4484394.pdf oads_urls
https://github.com/taoliu/macs com,github)/taoliu/macs 201507 oa_pdf/c8/e3/embr0016-0863.PMC4515125.pdf oads_urls
https://github.com/stnava/ants com,github)/stnava/ants 201507 oa_pdf/f1/9c/main.PMC4543077.pdf oads_urls
https://github.com/phrh/ com,github)/phrh 201511 oa_pdf/07/e0/evv210.PMC4700943.pdf non_oads_urls
https://github.com/biocore/americangut/tree/ com,github)/biocore/americangut/tree 201511 oa_pdf/25/f7/main.PMC4739432.pdf oads_urls
https://github.com/ekg/vc com,github)/ekg/vc 201511 oa_pdf/3a/49/evv238.PMC4700965.pdf oads_urls
https://github.com/boscoh/pdbremix/ com,github)/boscoh/pdbremix 201511 oa_pdf/9a/f0/PROT-83-2100.PMC5054890.pdf oads_urls
https://github.com/klab-bioinfo-tools/glm-score/r com,github)/klab-bioinfo-tools/glm-score/r 201511 oa_pdf/9a/f0/PROT-83-2100.PMC5054890.pdf oads_urls
https://github.com/klab-bioinfo-tools/glm-score com,github)/klab-bioinfo-tools/glm-score 201511 oa_pdf/9a/f0/PROT-83-2100.PMC5054890.pdf oads_urls
https://github.com/henrikstranneheim/mip com,github)/henrikstranneheim/mip 201511 oa_pdf/a0/01/main.PMC4667130.pdf oads_urls
https://github.com/bbanbury/phrynomics-data com,github)/bbanbury/phrynomics-data 201511 oa_pdf/a5/ca/syv053.PMC4604835.pdf oads_urls
https://github.com/pomo-dev/pomo com,github)/pomo-dev/pomo 201511 oa_pdf/b7/18/syv048.PMC4604832.pdf non_oads_urls
https://github.com/edsgard/scphasercontact: com,github)/edsgard/scphasercontact: 201511 oa_pdf/b7/a7/evv232.PMC4700962.pdf oads_urls
https://github.com/broadinstitute/picard com,github)/broadinstitute/picard 201511 oa_pdf/c0/f9/1646.PMC4617961.pdf non_oads_urls
https://github.com/lb3/clip- com,github)/lb3/clip- 201511 oa_pdf/c4/8f/1943.PMC4604434.pdf oads_urls
https://github.com/lb3/clip-pyl com,github)/lb3/clip-pyl 201511 oa_pdf/c4/8f/1943.PMC4604434.pdf non_oads_urls
https://github.com/josephryan/sowhat/tree/ com,github)/josephryan/sowhat/tree 201511 oa_pdf/d6/d8/syv055.PMC4604836.pdf oads_urls
https://github.com/josephryan/sowhat com,github)/josephryan/sowhat 201511 oa_pdf/d6/d8/syv055.PMC4604836.pdf non_oads_urls
https://github.com/mit-lcp/mimic-code com,github)/mit-lcp/mimic-code 201511 oa_pdf/e7/66/ndt-11-2847.PMC4639547.pdf non_oads_urls
http://github.com/konradjk/loftee com,github)/konradjk/loftee 201511 oa_pdf/ee/98/tp-99-2401.PMC4623847.pdf non_oads_urls
http://github.com/arrayexpress/ae-interface/tree/master/components/efo-query-expand/ com,github)/arrayexpress/ae-interface/tree/master/components/efo-query-expand 201004 oa_pdf/1a/d9/btq099.PMC2853691.pdf oads_urls
http://github.com/cbmi/serrano com,github)/cbmi/serrano 201403 oa_pdf/08/cd/amiajnl-2013-001825.PMC3932456.pdf non_oads_urls
https://github.com/hmorn/vdw-macros com,github)/hmorn/vdw-macros 201403 oa_pdf/26/d0/egems1049.PMC4371424.pdf non_oads_urls
https://github.com/wavecnv com,github)/wavecnv 201403 oa_pdf/60/6e/btt611.PMC3957071.pdf oads_urls
https://github.com/nanocan/ com,github)/nanocan 201403 oa_pdf/b0/95/srep04278.PMC3940979.pdf oads_urls
https://github.com/yeolab/clipper com,github)/yeolab/clipper 201403 oa_pdf/cf/43/637.PMC3967051.pdf oads_urls
http://github.com/itmat/circadb com,github)/itmat/circadb 201301 oa_pdf/16/2a/gks1161.PMC3531170.pdf oads_urls
https://github.com/ensembl-variation/vep_plugins com,github)/ensembl-variation/vep_plugins 201301 oa_pdf/2f/8d/gks1236.PMC3531136.pdf oads_urls
http://github.com/adaptivegenome/repeatseq com,github)/adaptivegenome/repeatseq 201301 oa_pdf/3c/43/gks981.PMC3592458.pdf oads_urls
http://github.com/nh13/dwgsim com,github)/nh13/dwgsim 201301 oa_pdf/3c/43/gks981.PMC3592458.pdf oads_urls
https://github.com/bbcf/bbcfutils com,github)/bbcf/bbcfutils 201301 oa_pdf/55/aa/gks1260.PMC3553938.pdf oads_urls
https://github.com/cytoscape/cytoscape.js com,github)/cytoscape/cytoscape.js 201301 oa_pdf/57/d5/gks1055.PMC3531102.pdf oads_urls
http://github.com/egenomics/ com,github)/egenomics 201301 oa_pdf/93/2f/evt017.PMC3590775.pdf oads_urls
https://github.com/mattoates/d2p2.pro com,github)/mattoates/d2p2.pro 201301 oa_pdf/a9/a0/gks1226.PMC3531159.pdf non_oads_urls
https://github.com/aberer/roguenarok com,github)/aberer/roguenarok 201301 oa_pdf/c1/12/sys078.PMC3526802.pdf oads_urls
https://github.com/isa-tools com,github)/isa-tools 201301 oa_pdf/f2/02/gks1004.PMC3531110.pdf oads_urls
https://github.com/bnoi/ com,github)/bnoi 201706 oa_pdf/05/5d/1601.PMC5469604.pdf oads_urls
https://github.com/bnoi/maars/tree/ com,github)/bnoi/maars/tree 201706 oa_pdf/05/5d/1601.PMC5469604.pdf oads_urls
https://github.com/bnoi/maars/releases/tag/v1.0.0 com,github)/bnoi/maars/releases/tag/v1.0.0 201706 oa_pdf/05/5d/1601.PMC5469604.pdf oads_urls
https://github.com/bnoi/maars/tree/master/doc/ com,github)/bnoi/maars/tree/master/doc 201706 oa_pdf/05/5d/1601.PMC5469604.pdf non_oads_urls
https://github.com/bfosso/metashot com,github)/bfosso/metashot 201706 oa_pdf/0e/2b/btx036.PMC5447231.pdf oads_urls
https://github.com/bimsbbioinfo/ com,github)/bimsbbioinfo 201706 oa_pdf/0e/2e/gkx120.PMC5449606.pdf oads_urls
https://github.com/bimsbbioinfo/rcas com,github)/bimsbbioinfo/rcas 201706 oa_pdf/0e/2e/gkx120.PMC5449606.pdf oads_urls
https://github.com/hudsonalpha/a com,github)/hudsonalpha/a 201706 oa_pdf/20/04/btx023.PMC5447234.pdf oads_urls
https://github.com/nylander/ com,github)/nylander 201706 oa_pdf/2c/7e/997.PMC5453332.pdf oads_urls
https://github.com/ndaniel/fusioncatcher com,github)/ndaniel/fusioncatcher 201706 oa_pdf/3e/bf/or-37-06-3181.PMC5442398.pdf oads_urls
http://github.com/ryanpdwyer/ com,github)/ryanpdwyer 201706 oa_pdf/5c/fe/1602951.PMC5479705.pdf oads_urls
https://github.com/mailund/admixture_graph com,github)/mailund/admixture_graph 201706 oa_pdf/70/76/btx048.PMC5447235.pdf oads_urls
https://github.com/zallenlab/ com,github)/zallenlab 201706 oa_pdf/71/93/1519.PMC5449150.pdf non_oads_urls
https://github.com/systemsbiologyofjianghanuniversity/ com,github)/systemsbiologyofjianghanuniversity 201706 oa_pdf/7a/ed/gkx093.PMC5449614.pdf oads_urls
https://github.com/borrelialab/borrelia-genome-copy com,github)/borrelialab/borrelia-genome-copy 201706 oa_pdf/85/18/yjbm_90_2_195.PMC5482298.pdf oads_urls
https://github.com/tho com,github)/tho 201706 oa_pdf/89/7d/btx034.PMC5447240.pdf oads_urls
