URL SURT Directory Filename URLType
http://conifer.sourceforge.net net,sourceforge,conifer)/ 201208 oa_pdf/3e/ac/1525.PMC3409265.pdf oads_urls
http://popbam.sourceforge.net net,sourceforge,popbam)/ 201208 oa_pdf/63/83/1499.PMC3409263.pdf oads_urls
http://picard.sourceforge.net net,sourceforge,picard)/ 201208 oa_pdf/73/d5/JEM_20111316.PMC3428952.pdf oads_urls
http://bowtie-bio.sourceforge.net/index.shtml net,sourceforge,bowtie-bio)/index.shtml 201208 oa_pdf/97/25/gks313.PMC3413122.pdf oads_urls
http://sourceforge.net/projects/primer3/ net,sourceforge)/projects/primer3 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf oads_urls
http://primer3.sourceforge.net/primer3_manual.htm net,sourceforge,primer3)/primer3_manual.htm 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf oads_urls
http://primer3.sourceforge.net/ net,sourceforge,primer3)/ 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf non_oads_urls
http://primer3.sourceforge.net/primer3_manual.htm net,sourceforge,primer3)/primer3_manual.htm 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf non_oads_urls
http://saxon.sourceforge.net/ net,sourceforge,saxon)/ 201208 oa_pdf/c5/10/bts270.PMC3400951.pdf oads_urls
http://igraph.sourceforge.net/index.html net,sourceforge,igraph)/index.html 201208 oa_pdf/f3/b6/tp201276a.PMC3432190.pdf oads_urls
http://msquant.sourceforge.net net,sourceforge,msquant)/ 201009 oa_pdf/3c/94/JCB_200912135.PMC2935572.pdf oads_urls
http://sourceforge.net/projects/mia-assembler/ net,sourceforge)/projects/mia-assembler 201009 oa_pdf/48/f8/gkq572.PMC2938203.pdf oads_urls
http://edamontology.sourceforge.net net,sourceforge,edamontology)/ 201009 oa_pdf/82/bc/btq391.PMC2935419.pdf oads_urls
http://sourceforge.net/projects/ net,sourceforge)/projects 201009 oa_pdf/91/78/erq222.PMC2935877.pdf oads_urls
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 201009 oa_pdf/b6/23/btq351.PMC2922891.pdf oads_urls
https://sourceforge.net/projects/ net,sourceforge)/projects 201009 oa_pdf/c4/e5/gkq287.PMC2943625.pdf oads_urls
http://saint-annotate.sourceforge.net net,sourceforge,saint-annotate)/ 200911 oa_pdf/74/3c/btp523.PMC2773255.pdf oads_urls
http://emboss.sourceforge.net/ net,sourceforge,emboss)/ 200911 oa_pdf/8b/af/gkp726.PMC2777416.pdf oads_urls
http://samtools.sourceforge.net net,sourceforge,samtools)/ 200911 oa_pdf/98/c6/btp394.PMC2781750.pdf non_oads_urls
http://sourceforge.net/projects/resting-fmri net,sourceforge)/projects/resting-fmri 201603 oa_pdf/18/c2/medi-95-e3101.PMC4839933.pdf oads_urls
http://qutemol.sourceforge.net/ net,sourceforge,qutemol)/ 201603 oa_pdf/29/fc/TOBIOCJ-10-1.PMC4797681.pdf oads_urls
http://ambit.sourceforge.net/download_ambitdiscovery.html net,sourceforge,ambit)/download_ambitdiscovery.html 201603 oa_pdf/2c/b5/WCMS-6-147.PMC4785608.pdf non_oads_urls
http://sourceforge.net/projects/chiprnaseqpro/.this net,sourceforge)/projects/chiprnaseqpro/.this 201603 oa_pdf/2f/84/onc2015221a.PMC4679725.pdf non_oads_urls
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 201603 oa_pdf/89/5c/mt2015223a.PMC4786920.pdf non_oads_urls
http://mira-assembler.sourceforge.net/docs/ net,sourceforge,mira-assembler)/docs 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf non_oads_urls
http://sourceforge.net/projects/ net,sourceforge)/projects 201603 oa_pdf/ac/2e/ibpc-9-049.PMC4803257.pdf non_oads_urls
http://sourceforge.net/ net,sourceforge)/ 201204 oa_pdf/4a/f8/gkr1291.PMC3333886.pdf oads_urls
http://open-ms.sourceforge.net net,sourceforge,open-ms)/ 201204 oa_pdf/54/a4/R111.015040.PMC3322582.pdf oads_urls
http://vcftools.sourceforge.net/specs net,sourceforge,vcftools)/specs 201204 oa_pdf/5d/96/gkr1257.PMC3326332.pdf oads_urls
http://www.amos.sourceforge.net/docs/ net,sourceforge,amos)/docs 201204 oa_pdf/69/01/main.PMC5054208.pdf oads_urls
http://www.mummer.sourceforge.net net,sourceforge,mummer)/ 201204 oa_pdf/69/01/main.PMC5054208.pdf oads_urls
http://www.sourceforge.net/apps/mediawiki/amos/ net,sourceforge)/apps/mediawiki/amos 201204 oa_pdf/69/01/main.PMC5054208.pdf oads_urls
http://psn.sourceforge.net net,sourceforge,psn)/ 201204 oa_pdf/8b/e6/kjpp-16-97.PMC3339294.pdf non_oads_urls
http://jgap.sourceforge.net net,sourceforge,jgap)/ 201204 oa_pdf/9d/ed/kjpain-25-121.PMC3324738.pdf non_oads_urls
http://picard.sourceforge.net/snp net,sourceforge,picard)/snp 201204 oa_pdf/c6/05/fgene-03-00066.PMC3334522.pdf oads_urls
http://qmsat.sourceforge.net/ net,sourceforge,qmsat)/ 201204 oa_pdf/c8/8d/gks024.PMC3340416.pdf oads_urls
http://sourceforge.net/apps/media- net,sourceforge)/apps/media- 201204 oa_pdf/d5/a8/gkr1292.PMC3326335.pdf oads_urls
