http://conifer.sourceforge.net net,sourceforge,conifer)/ 201208 oa_pdf/3e/ac/1525.PMC3409265.pdf class_pmc SourceForge
http://popbam.sourceforge.net net,sourceforge,popbam)/ 201208 oa_pdf/63/83/1499.PMC3409263.pdf class_pmc SourceForge
http://picard.sourceforge.net net,sourceforge,picard)/ 201208 oa_pdf/73/d5/JEM_20111316.PMC3428952.pdf class_pmc SourceForge
http://bowtie-bio.sourceforge.net/index.shtml net,sourceforge,bowtie-bio)/index.shtml 201208 oa_pdf/97/25/gks313.PMC3413122.pdf class_pmc SourceForge
http://primer3.sourceforge.net/primer3_manual.htm net,sourceforge,primer3)/primer3_manual.htm 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf class_pmc SourceForge
http://sourceforge.net/projects/primer3/ net,sourceforge)/projects/primer3 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf class_pmc SourceForge
http://primer3.sourceforge.net/primer3_manual.htm net,sourceforge,primer3)/primer3_manual.htm 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf class_pmc SourceForge
http://primer3.sourceforge.net/ net,sourceforge,primer3)/ 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf class_pmc SourceForge
http://saxon.sourceforge.net/ net,sourceforge,saxon)/ 201208 oa_pdf/c5/10/bts270.PMC3400951.pdf class_pmc SourceForge
http://igraph.sourceforge.net/index.html net,sourceforge,igraph)/index.html 201208 oa_pdf/f3/b6/tp201276a.PMC3432190.pdf class_pmc SourceForge
http://msquant.sourceforge.net net,sourceforge,msquant)/ 201009 oa_pdf/3c/94/JCB_200912135.PMC2935572.pdf class_pmc SourceForge
http://sourceforge.net/projects/mia-assembler/ net,sourceforge)/projects/mia-assembler 201009 oa_pdf/48/f8/gkq572.PMC2938203.pdf class_pmc SourceForge
http://edamontology.sourceforge.net net,sourceforge,edamontology)/ 201009 oa_pdf/82/bc/btq391.PMC2935419.pdf class_pmc SourceForge
http://sourceforge.net/projects/ net,sourceforge)/projects 201009 oa_pdf/91/78/erq222.PMC2935877.pdf class_pmc SourceForge
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 201009 oa_pdf/b6/23/btq351.PMC2922891.pdf class_pmc SourceForge
https://sourceforge.net/projects/ net,sourceforge)/projects 201009 oa_pdf/c4/e5/gkq287.PMC2943625.pdf class_pmc SourceForge
http://saint-annotate.sourceforge.net net,sourceforge,saint-annotate)/ 200911 oa_pdf/74/3c/btp523.PMC2773255.pdf class_pmc SourceForge
http://emboss.sourceforge.net/ net,sourceforge,emboss)/ 200911 oa_pdf/8b/af/gkp726.PMC2777416.pdf class_pmc SourceForge
http://samtools.sourceforge.net net,sourceforge,samtools)/ 200911 oa_pdf/98/c6/btp394.PMC2781750.pdf class_pmc SourceForge
http://sourceforge.net/projects/resting-fmri net,sourceforge)/projects/resting-fmri 201603 oa_pdf/18/c2/medi-95-e3101.PMC4839933.pdf class_pmc SourceForge
http://qutemol.sourceforge.net/ net,sourceforge,qutemol)/ 201603 oa_pdf/29/fc/TOBIOCJ-10-1.PMC4797681.pdf class_pmc SourceForge
http://ambit.sourceforge.net/download_ambitdiscovery.html net,sourceforge,ambit)/download_ambitdiscovery.html 201603 oa_pdf/2c/b5/WCMS-6-147.PMC4785608.pdf class_pmc SourceForge
http://sourceforge.net/projects/chiprnaseqpro/.this net,sourceforge)/projects/chiprnaseqpro/.this 201603 oa_pdf/2f/84/onc2015221a.PMC4679725.pdf class_pmc SourceForge
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 201603 oa_pdf/89/5c/mt2015223a.PMC4786920.pdf class_pmc SourceForge
http://mira-assembler.sourceforge.net/docs/ net,sourceforge,mira-assembler)/docs 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf class_pmc SourceForge
http://sourceforge.net/projects/ net,sourceforge)/projects 201603 oa_pdf/ac/2e/ibpc-9-049.PMC4803257.pdf class_pmc SourceForge
http://sourceforge.net/projects/seqclean/ net,sourceforge)/projects/seqclean 201603 oa_pdf/b9/ed/main.PMC5941007.pdf class_pmc SourceForge
http://sourceforge.net/ net,sourceforge)/ 201204 oa_pdf/4a/f8/gkr1291.PMC3333886.pdf class_pmc SourceForge
http://open-ms.sourceforge.net net,sourceforge,open-ms)/ 201204 oa_pdf/54/a4/R111.015040.PMC3322582.pdf class_pmc SourceForge
http://vcftools.sourceforge.net/specs net,sourceforge,vcftools)/specs 201204 oa_pdf/5d/96/gkr1257.PMC3326332.pdf class_pmc SourceForge
http://www.sourceforge.net/apps/mediawiki/amos/ net,sourceforge)/apps/mediawiki/amos 201204 oa_pdf/69/01/main.PMC5054208.pdf class_pmc SourceForge
http://www.mummer.sourceforge.net net,sourceforge,mummer)/ 201204 oa_pdf/69/01/main.PMC5054208.pdf class_pmc SourceForge
http://www.amos.sourceforge.net/docs/ net,sourceforge,amos)/docs 201204 oa_pdf/69/01/main.PMC5054208.pdf class_pmc SourceForge
http://psn.sourceforge.net net,sourceforge,psn)/ 201204 oa_pdf/8b/e6/kjpp-16-97.PMC3339294.pdf class_pmc SourceForge
http://picard.sourceforge.net/snp net,sourceforge,picard)/snp 201204 oa_pdf/c6/05/fgene-03-00066.PMC3334522.pdf class_pmc SourceForge
http://qmsat.sourceforge.net/ net,sourceforge,qmsat)/ 201204 oa_pdf/c8/8d/gks024.PMC3340416.pdf class_pmc SourceForge
http://sourceforge.net/apps/media- net,sourceforge)/apps/media- 201204 oa_pdf/d5/a8/gkr1292.PMC3326335.pdf class_pmc SourceForge
http://msquant.sourceforge.net net,sourceforge,msquant)/ 200803 oa_pdf/4a/0f/jcb1800915.PMC2265402.pdf class_pmc SourceForge
http://marsbar.sourceforge.net net,sourceforge,marsbar)/ 200803 oa_pdf/b0/25/nsm033.PMC2569821.pdf class_pmc SourceForge
http://picard.sourceforge.net/ net,sourceforge,picard)/ 201711 oa_pdf/06/90/gkx800.PMC5737385.pdf class_pmc SourceForge
http://picard.sourceforge.net/ net,sourceforge,picard)/ 201711 oa_pdf/37/1f/cmar-9-581.PMC5685135.pdf class_pmc SourceForge
https://sourceforge.net/projects/crispr net,sourceforge)/projects/crispr 201711 oa_pdf/39/a8/ijbsv13p1470.PMC5723913.pdf class_pmc SourceForge
https://sourceforge.net/projects/bbmap/ net,sourceforge)/projects/bbmap 201711 oa_pdf/3d/41/ETLS-1-125.PMC7289031.pdf class_pmc SourceForge
http://psn.sourceforge.net net,sourceforge,psn)/ 201711 oa_pdf/6a/48/PSP4-6-787.PMC5702905.pdf class_pmc SourceForge
http://xpose.sourceforge.net net,sourceforge,xpose)/ 201711 oa_pdf/6a/48/PSP4-6-787.PMC5702905.pdf class_pmc SourceForge
http://maxima.sourceforge.net net,sourceforge,maxima)/ 201711 oa_pdf/ae/eb/PSP4-6-765.PMC5702903.pdf class_pmc SourceForge
https://sourceforge.net/projects/re net,sourceforge)/projects/re 201711 oa_pdf/c1/11/btx473.PMC5870768.pdf class_pmc SourceForge
http://yeast.sourceforge.net/ net,sourceforge,yeast)/ 201711 oa_pdf/d3/ac/gkx937.PMC5714238.pdf class_pmc SourceForge
https://sourceforge.net/projects/psmspss/ net,sourceforge)/projects/psmspss 202202 oa_pdf/1a/e4/10.1177_10732748211051533.PMC8848074.pdf class_pmc SourceForge
http://adtex.sourceforge.net net,sourceforge,adtex)/ 202202 oa_pdf/3c/32/10.1177_11795549221075326.PMC8859670.pdf class_pmc SourceForge
http://trinityrnaseq.sourceforge.net/ net,sourceforge,trinityrnaseq)/ 202202 oa_pdf/41/5c/ieab108.PMC8824446.pdf class_pmc SourceForge
http://vcftools.sourceforge.net/ net,sourceforge,vcftools)/ 202202 oa_pdf/47/1a/main.PMC8873613.pdf class_pmc SourceForge
https://sourceforge.net/ net,sourceforge)/ 202202 oa_pdf/57/b4/pnas.202108661.PMC8872758.pdf class_pmc SourceForge
http://ratt.sourceforge.net/chab_berg.zip net,sourceforge,ratt)/chab_berg.zip 202202 oa_pdf/74/db/inj-2244030-015.PMC8896773.pdf class_pmc SourceForge
https://sourceforge.net/projects/ net,sourceforge)/projects 202202 oa_pdf/82/6e/main.PMC8972003.pdf class_pmc SourceForge
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 202202 oa_pdf/8a/2f/nihms-1780714.PMC8994511.pdf class_pmc SourceForge
http://samtools.sourceforge.net/ net,sourceforge,samtools)/ 202202 oa_pdf/94/76/main.PMC8850804.pdf class_pmc SourceForge
http://picard.sourceforge.net net,sourceforge,picard)/ 202202 oa_pdf/99/7c/jkms-37-e59.PMC8860767.pdf class_pmc SourceForge
http://picard.sourceforge.net net,sourceforge,picard)/ 202202 oa_pdf/99/7c/jkms-37-e59.PMC8860767.pdf class_pmc SourceForge
http://pymol.sourceforge.net net,sourceforge,pymol)/ 202202 oa_pdf/a8/e0/ad-34-66.PMC8831306.pdf class_pmc SourceForge
http://subread.sourceforge.net net,sourceforge,subread)/ 202202 oa_pdf/ad/75/ijo-60-03-05319.PMC8857930.pdf class_pmc SourceForge
https://sourceforge.net/p/mageck/wiki/home/ net,sourceforge)/p/mageck/wiki/home 202202 oa_pdf/c7/87/nihms-1781195.PMC8904926.pdf class_pmc SourceForge
http://bio-bwa.sourceforge.net/ net,sourceforge,bio-bwa)/ 202202 oa_pdf/c7/87/nihms-1781195.PMC8904926.pdf class_pmc SourceForge
http://sourceforge.net/projects/ net,sourceforge)/projects 202202 oa_pdf/cf/50/main.PMC8856886.pdf class_pmc SourceForge
http://varscan.sourceforge.net/ net,sourceforge,varscan)/ 202202 oa_pdf/ef/59/main.PMC8873609.pdf class_pmc SourceForge
http://codonw.sourceforge.net net,sourceforge,codonw)/ 201212 oa_pdf/0c/ce/per-29-1.PMC3589786.pdf class_pmc SourceForge
http://sourceforge.net/projects/ net,sourceforge)/projects 201212 oa_pdf/15/d5/2497.PMC3514679.pdf class_pmc SourceForge
http://pymol.sourceforge.net/ net,sourceforge,pymol)/ 201212 oa_pdf/1d/f3/gks784.PMC3526307.pdf class_pmc SourceForge
http://animl.sourceforge.net/ net,sourceforge,animl)/ 201212 oa_pdf/39/1c/zjw1612.PMC3518119.pdf class_pmc SourceForge
http://www.picard.sourceforge.net net,sourceforge,picard)/ 201212 oa_pdf/3a/8d/evr132.PMC3273163.pdf class_pmc SourceForge
http://speciateit.sourceforge.net net,sourceforge,speciateit)/ 201212 oa_pdf/52/58/mBio.00370-12.PMC3529542.pdf class_pmc SourceForge
http://scalce.sourceforge.net net,sourceforge,scalce)/ 201212 oa_pdf/86/e7/gks754.PMC3526293.pdf class_pmc SourceForge
http://sourceforge.net/projects/lofreq/ net,sourceforge)/projects/lofreq 201212 oa_pdf/b0/b4/gks918.PMC3526318.pdf class_pmc SourceForge
http://sourceforge.net/projects/motifcounter/ net,sourceforge)/projects/motifcounter 201212 oa_pdf/be/17/JCB_201207189.PMC3518223.pdf class_pmc SourceForge
http://sourceforge.net/ net,sourceforge)/ 201212 oa_pdf/d5/7e/2445.PMC3514674.pdf class_pmc SourceForge
http://sourceforge.net/projects/niftyreg net,sourceforge)/projects/niftyreg 201212 oa_pdf/ed/e4/main.PMC3777685.pdf class_pmc SourceForge
http://sourceforge.net/projects/bric1936/ net,sourceforge)/projects/bric1936 201212 oa_pdf/f9/52/ced-0034-0336.PMC3566554.pdf class_pmc SourceForge
http://sourceforge.net/projects/mrbayes/develop/ net,sourceforge)/projects/mrbayes/develop 201212 oa_pdf/fd/29/sys058.PMC3478566.pdf class_pmc SourceForge
https://mrbayes.svn.sourceforge.net/projects/mrbayes/develop net,sourceforge,svn,mrbayes)/projects/mrbayes/develop 201212 oa_pdf/fd/29/sys058.PMC3478566.pdf class_pmc SourceForge
https://sourceforge.net/projects/ihcprofiler/ net,sourceforge)/projects/ihcprofiler 201707 oa_pdf/17/92/jcav08p2033.PMC5559965.pdf class_pmc SourceForge
https://sourceforge.net/projects/hakmer/ net,sourceforge)/projects/hakmer 201707 oa_pdf/38/a3/syw104.PMC5790135.pdf class_pmc SourceForge
http://microbiomeutil.sourceforge.net/ net,sourceforge,microbiomeutil)/ 201707 oa_pdf/39/fc/1700492.PMC5507635.pdf class_pmc SourceForge
https://sourceforge.net/ net,sourceforge)/ 201707 oa_pdf/61/b7/gkx364.PMC5570105.pdf class_pmc SourceForge
http://sourceforge.net/projects/bbmap net,sourceforge)/projects/bbmap 201707 oa_pdf/64/11/main.PMC5542380.pdf class_pmc SourceForge
http://sampsize.sourceforge.net/iface/s3 net,sourceforge,sampsize)/iface/s3 201707 oa_pdf/64/d6/tcrm-13-939.PMC5538683.pdf class_pmc SourceForge
http://digitizer.sourceforge.net net,sourceforge,digitizer)/ 201707 oa_pdf/87/98/WJG-23-5018.PMC5526771.pdf class_pmc SourceForge
http://sourceforge.net/projects/bbmap net,sourceforge)/projects/bbmap 201707 oa_pdf/8f/b1/main.PMC5790571.pdf class_pmc SourceForge
https://sourceforge.net/projects/ net,sourceforge)/projects 201707 oa_pdf/9d/fd/btx245.PMC5870577.pdf class_pmc SourceForge
http://myexperience.sourceforge.net/index.html net,sourceforge,myexperience)/index.html 201707 oa_pdf/af/6a/main.PMC6096290.pdf class_pmc SourceForge
http://sourceforge.net/projects/jsmol/ net,sourceforge)/projects/jsmol 201707 oa_pdf/c5/24/gkx383.PMC5570197.pdf class_pmc SourceForge
http://sourceforge.net/projects/jmol/ net,sourceforge)/projects/jmol 201707 oa_pdf/c5/24/gkx383.PMC5570197.pdf class_pmc SourceForge
http://rackj.sourceforge.net/ net,sourceforge,rackj)/ 201707 oa_pdf/d1/f0/1602878.PMC5507634.pdf class_pmc SourceForge
http://sourceforge.net/projects/bbmap net,sourceforge)/projects/bbmap 201707 oa_pdf/ea/7b/main.PMC5542378.pdf class_pmc SourceForge
http://chebi.cvs.sourceforge.net/viewvc/chebi/chapati/ net,sourceforge,cvs,chebi)/viewvc/chebi/chapati 201707 oa_pdf/fc/a8/btx228.PMC5870729.pdf class_pmc SourceForge
http://jmol.sourceforge.net net,sourceforge,jmol)/ 200907 oa_pdf/06/be/gkp336.PMC2703894.pdf class_pmc SourceForge
http://jung.sourceforge.net net,sourceforge,jung)/ 200907 oa_pdf/10/20/gkp331.PMC2703949.pdf class_pmc SourceForge
http://pymol.sourceforge.net/ net,sourceforge,pymol)/ 200907 oa_pdf/10/ae/gkp316.PMC2703969.pdf class_pmc SourceForge
http://maq.sourceforge.net net,sourceforge,maq)/ 200907 oa_pdf/2f/c6/btp324.PMC2705234.pdf class_pmc SourceForge
http://samtools.sourceforge.net net,sourceforge,samtools)/ 200907 oa_pdf/2f/c6/btp324.PMC2705234.pdf class_pmc SourceForge
http://maq.sourceforge.net net,sourceforge,maq)/ 200907 oa_pdf/2f/c6/btp324.PMC2705234.pdf class_pmc SourceForge
