URL SURT Directory Filename URLType
https://bitbucket.org/eponvert/pyccm org,bitbucket)/eponvert/pyccm 201101 /data/lsals/ETD-90K/2011_259635_Linguistics.pdf text_urls
https://bitbucket.org/bid/openrecon org,bitbucket)/bid/openrecon 201301 /data/lsals/ETD-90K/2013_202440_Electrical-and-Computer-Engineering.pdf annot_urls
https://bitbucket.org/hsver/starl-framework org,bitbucket)/hsver/starl-framework 201301 /data/lsals/ETD-90K/2013_436719_Electrical-&-Computer-Eng.pdf text_urls
https://bitbucket.org/msipos/modalclust org,bitbucket)/msipos/modalclust 201301 /data/lsals/ETD-90K/2013_445455_Animal-Sciences.pdf text_urls
https://bitbucket.org/molson/saf org,bitbucket)/molson/saf 201301 /data/lsals/ETD-90K/2013_65180_Engineering-and-Applied-Science.pdf annot_urls
https://bitbucket.org/molson/geocell-java org,bitbucket)/molson/geocell-java 201301 /data/lsals/ETD-90K/2013_65180_Engineering-and-Applied-Science.pdf annot_urls
https://bitbucket.org/arnabocean/wavemodearrivals org,bitbucket)/arnabocean/wavemodearrivals 201701 /data/lsals/ETD-90K/2017_211705_Engineering-Science-and-Mechanics.pdf annot_urls
https://bitbucket.org/young_computation/rose org,bitbucket)/young_computation/rose 201701 /data/lsals/ETD-90K/2017_214748_Biomedical-Engineering.pdf text_urls
https://bitbucket.org/covar_vt org,bitbucket)/covar_vt 201701 /data/lsals/ETD-90K/2017_215836_Electrical-and-Computer-Engineering.pdf text_urls
https://bitbucket.org/talex/hyflow-go org,bitbucket)/talex/hyflow-go 201701 /data/lsals/ETD-90K/2017_232155_Electrical-and-Computer-Engineering.pdf annot_urls
https://abhibroto0402@bitbucket.org/abhibroto0402/smartcap-perf-test.git org,bitbucket)/abhibroto0402/smartcap-perf-test.git 201701 /data/lsals/ETD-90K/2017_250987_Electrical-and-Computer-Engineering.pdf text_urls
https://abhibroto0402@bitbucket.org/abhibroto0402/smartcap_app.git org,bitbucket)/abhibroto0402/smartcap_app.git 201701 /data/lsals/ETD-90K/2017_250987_Electrical-and-Computer-Engineering.pdf text_urls
https://abhibroto0402@bitbucket.org/abhibroto0402/smartcap-server.git org,bitbucket)/abhibroto0402/smartcap-server.git 201701 /data/lsals/ETD-90K/2017_250987_Electrical-and-Computer-Engineering.pdf text_urls
https://bitbucket.org/osrf/robocup3d org,bitbucket)/osrf/robocup3d 201701 /data/lsals/ETD-90K/2017_251477_Computer-Sciences.pdf annot_urls
https://bitbucket.org/eigen/eigen/src/677c9f1577810e869f4f09881cabc3e503a810c1/unsupported/eigen/cxx11/src/tensor/readme.md org,bitbucket)/eigen/eigen/src/677c9f1577810e869f4f09881cabc3e503a810c1/unsupported/eigen/cxx11/src/tensor/readme.md 201701 /data/lsals/ETD-90K/2017_379383_Computer-Science.pdf annot_urls
https://bitbucket.org/gitecosystem/ecosystem org,bitbucket)/gitecosystem/ecosystem 201701 /data/lsals/ETD-90K/2017_41739_Civil-and-Environmental-Engineering.pdf text_urls
https://bitbucket.org/longle1 org,bitbucket)/longle1 201701 /data/lsals/ETD-90K/2017_436954_Electrical-&-Computer-Eng.pdf text_urls
https://bitbucket.org/yoavgo/word2vecf org,bitbucket)/yoavgo/word2vecf 201701 /data/lsals/ETD-90K/2017_437927_Computer-Science.pdf annot_urls
https://bitbucket.org/xpacc-dev/plascomcm org,bitbucket)/xpacc-dev/plascomcm 201701 /data/lsals/ETD-90K/2017_439224_Computer-Science.pdf text_urls
https://bitbucket.org/hatswitch/k-fingerprinting org,bitbucket)/hatswitch/k-fingerprinting 201701 /data/lsals/ETD-90K/2017_444965_Computer-Science.pdf annot_urls
https://bitbucket.org/xpacc-dev/plascomcm org,bitbucket)/xpacc-dev/plascomcm 201701 /data/lsals/ETD-90K/2017_446448_Aerospace-Engineering.pdf text_urls
https://bitbucket.org/sfield83/greedycpp org,bitbucket)/sfield83/greedycpp 201701 /data/lsals/ETD-90K/2017_66610_Physics,-Mathematics-and-Astronomy.pdf annot_urls
