https://github.com/01org/linux-sgx com,github)/01org/linux-sgx 202001 /data/lsals/ETD-90K/2020_256383_Computer-Sciences.pdf etd GitHub
https://github.com/01org/linux-sgx-driver com,github)/01org/linux-sgx-driver 202001 /data/lsals/ETD-90K/2020_256383_Computer-Sciences.pdf etd GitHub
https://github.com/0vercl0k/rp com,github)/0vercl0k/rp 201401 /data/lsals/ETD-90K/2014_207039_Computer-Science.pdf etd GitHub
https://github.com/0xfe/vexflow com,github)/0xfe/vexflow 201501 /data/lsals/ETD-90K/2015_231037_Computer-Science.pdf etd GitHub
https://github.com/0xfe/vexflow/wiki/the-vexflow-tutorial com,github)/0xfe/vexflow/wiki/the-vexflow-tutorial 201801 /data/lsals/ETD-90K/2018_52333_Music.pdf etd GitHub
https://github.com/10xgenomics/schlacount com,github)/10xgenomics/schlacount 202001 /data/lsals/ETD-90K/2020_380598_Computer-Science.pdf etd GitHub
https://github.com/10xgenomics/vartrix com,github)/10xgenomics/vartrix 202001 /data/lsals/ETD-90K/2020_380598_Computer-Science.pdf etd GitHub
https://github.com/3dheg/3dheg com,github)/3dheg/3dheg 201401 /data/lsals/ETD-90K/2014_439120_Physics.pdf etd GitHub
https://github.com/3dheg/bdhc com,github)/3dheg/bdhc 201401 /data/lsals/ETD-90K/2014_439120_Physics.pdf etd GitHub
https://github.com/3dlirious/meshlabxml com,github)/3dlirious/meshlabxml 202001 /data/lsals/ETD-90K/2020_389418_Mechanical-Engineering.pdf etd GitHub
https://github.com/4ceed/4ceedframework com,github)/4ceed/4ceedframework 201801 /data/lsals/ETD-90K/2018_445646_Computer-Science.pdf etd GitHub
https://github.com/504ensicslabs com,github)/504ensicslabs 201601 /data/lsals/ETD-90K/2016_207382_Computer-Science.pdf etd GitHub
https://github.com/540co/yourtwapperkeeper com,github)/540co/yourtwapperkeeper 201701 /data/lsals/ETD-90K/2017_208810_Computer-Science.pdf etd GitHub
https://github.com/71squared/tbxml com,github)/71squared/tbxml 201301 /data/lsals/ETD-90K/2013_365347_Computer-Science.pdf etd GitHub
https://github.com/7ung/languagedetectapp com,github)/7ung/languagedetectapp 201601 /data/lsals/ETD-90K/2016_441355_Computer-Science.pdf etd GitHub
https://github.com/a-jan-tusk/reservoir-for-generalization com,github)/a-jan-tusk/reservoir-for-generalization 202001 /data/lsals/ETD-90K/2020_389152_Physics.pdf etd GitHub
https://github.com/a-phoenix/anisogrid-model com,github)/a-phoenix/anisogrid-model 201601 /data/lsals/ETD-90K/2016_202619_Mechanical-Engineering.pdf etd GitHub
https://github.com/a2975667/qv-app com,github)/a2975667/qv-app 202001 /data/lsals/ETD-90K/2020_433835_Computer-Science.pdf etd GitHub
https://github.com/aa55865/dic_scripts com,github)/aa55865/dic_scripts 202001 /data/lsals/ETD-90K/2020_256130_Mechanical-Engineering.pdf etd GitHub
https://github.com/aa55865/dic_scripts/blob/master/readme.md com,github)/aa55865/dic_scripts/blob/master/readme.md 202001 /data/lsals/ETD-90K/2020_256130_Mechanical-Engineering.pdf etd GitHub
https://github.com/aa55865/prodcut-process-material-lab-dic com,github)/aa55865/prodcut-process-material-lab-dic 202001 /data/lsals/ETD-90K/2020_256130_Mechanical-Engineering.pdf etd GitHub
https://github.com/aalhour/c-sharp-algorithms com,github)/aalhour/c-sharp-algorithms 202001 /data/lsals/ETD-90K/2020_439284_Computer-Science.pdf etd GitHub
https://github.com/aappleby/smhasher com,github)/aappleby/smhasher 201801 /data/lsals/ETD-90K/2018_252843_Computer-Sciences.pdf etd GitHub
https://github.com/aappleby/smhasher com,github)/aappleby/smhasher 202001 /data/lsals/ETD-90K/2020_53651_Computer-Science.pdf etd GitHub
https://github.com/aaron-xichen/pytorch-playground com,github)/aaron-xichen/pytorch-playground 201901 /data/lsals/ETD-90K/2019_446143_Electrical-&-Computer-Eng.pdf etd GitHub
https://github.com/abditag2/reset-based-recovery com,github)/abditag2/reset-based-recovery 201901 /data/lsals/ETD-90K/2019_438176_Computer-Science.pdf etd GitHub
