URL SURT Directory Filename URLType
https://gitlab.com/muellergroup/poet com,gitlab)/muellergroup/poet 201901 /data/lsals/ETD-90K/2019_380427_Materials-Science-and-Engineering.pdf annot_urls
https://gitlab.com/mhuzaif2/2linkstylgaitgen com,gitlab)/mhuzaif2/2linkstylgaitgen 201901 /data/lsals/ETD-90K/2019_432558_Mechanical-Sci-&-Engineering.pdf annot_urls
https://gitlab.com/mhuzaif2/anim_pygame com,gitlab)/mhuzaif2/anim_pygame 201901 /data/lsals/ETD-90K/2019_432558_Mechanical-Sci-&-Engineering.pdf annot_urls
https://gitlab.com/mhuzaif2/3linkstylgaitgen com,gitlab)/mhuzaif2/3linkstylgaitgen 201901 /data/lsals/ETD-90K/2019_432558_Mechanical-Sci-&-Engineering.pdf annot_urls
https://gitlab.com/khosravikia/shakerisk-software.git com,gitlab)/khosravikia/shakerisk-software.git 202001 /data/lsals/ETD-90K/2020_255611_Civil,-Architectural,-and-Environmental-Engineering.pdf annot_urls
https://gitlab.com/nomadic-labs com,gitlab)/nomadic-labs 202001 /data/lsals/ETD-90K/2020_432380_Computer-Science.pdf text_urls
https://gitlab.com/tezos/tezos/-/merge com,gitlab)/tezos/tezos/-/merge 202001 /data/lsals/ETD-90K/2020_432380_Computer-Science.pdf text_urls
https://gitlab.com/mdds/mdds com,gitlab)/mdds/mdds 202001 /data/lsals/ETD-90K/2020_437246_Computer-Science.pdf annot_urls
https://gitlab.com/bruno.gbv com,gitlab)/bruno.gbv 202001 /data/lsals/ETD-90K/2020_53392_Mechanical-Engineering.pdf annot_urls
https://gitlab.com/gscar-coppe-ufrj/ros/phantomomni com,gitlab)/gscar-coppe-ufrj/ros/phantomomni 202001 /data/lsals/ETD-90K/2020_53392_Mechanical-Engineering.pdf annot_urls
https://gitlab.com/bootstrapcollaboration/cfts4d#cfts4d com,gitlab)/bootstrapcollaboration/cfts4d 201801 /data/lsals/ETD-90K/2018_67255_Physics,-Mathematics-and-Astronomy.pdf annot_urls
https://gitlab.com/yufeng.huang/cunp_coads com,gitlab)/yufeng.huang/cunp_coads 201801 /data/lsals/ETD-90K/2018_67488_Chemistry-and-Chemical-Engineering.pdf annot_urls
https://gitlab.com/yufeng.huang/sannp com,gitlab)/yufeng.huang/sannp 201801 /data/lsals/ETD-90K/2018_67488_Chemistry-and-Chemical-Engineering.pdf text_urls
