https://gitlab.com/carbonell/ces com,gitlab)/carbonell/ces 201711 oa_pdf/67/09/btx482.PMC5870781.pdf annot_urls
https://gitlab.com/difuture/privacy-preserving-variant-queries com,gitlab)/difuture/privacy-preserving-variant-queries 202202 oa_pdf/b5/b6/btac070.PMC9004657.pdf annot_urls
https://gitlab.com/hannaliu/rnn_epg com,gitlab)/hannaliu/rnn_epg 202107 oa_pdf/01/d0/NBM-34-e4527.PMC8244023.pdf annot_urls
https://gitlab.com/plantgenomicslab/loblolly-probe-creation com,gitlab)/plantgenomicslab/loblolly-probe-creation 202107 oa_pdf/cc/59/APS3-9-e11439.PMC8272584.pdf annot_urls
https://gitlab.com/dormage/smart-floor-fall-detection com,gitlab)/dormage/smart-floor-fall-detection 202107 oa_pdf/7a/64/main.PMC8274286.pdf annot_urls
https://gitlab.com/episim/episim-simulator com,gitlab)/episim/episim-simulator 202107 oa_pdf/1d/e7/abg3613.PMC8279519.pdf annot_urls
https://gitlab.com/hormozlab/pnas_2021_curvature com,gitlab)/hormozlab/pnas_2021_curvature 202107 oa_pdf/05/25/pnas.202100473.PMC8307776.pdf annot_urls
https://gitlab.com/hormozlab/manifoldcurvature com,gitlab)/hormozlab/manifoldcurvature 202107 oa_pdf/05/25/pnas.202100473.PMC8307776.pdf annot_urls
https://gitlab.com/hormozlab/scamplicon-library-analysis com,gitlab)/hormozlab/scamplicon-library-analysis 202107 oa_pdf/8d/f7/main.PMC8313752.pdf annot_urls
https://gitlab.com/rkibioinformaticspipelines/ncov_minipipe com,gitlab)/rkibioinformaticspipelines/ncov_minipipe 202107 oa_pdf/df/bd/ofab364.PMC8364759.pdf annot_urls
https://gitlab.com/chiemotono/mdcontactcom com,gitlab)/chiemotono/mdcontactcom 202107 oa_pdf/ed/39/btab538.PMC8696114.pdf annot_urls
https://gitlab.com/computational-materials-science/public/publication-data-and-code com,gitlab)/computational-materials-science/public/publication-data-and-code 201910 oa_pdf/29/02/main.PMC6849128.pdf annot_urls
https://gitlab.com/computational-materials-science com,gitlab)/computational-materials-science 201910 oa_pdf/29/02/main.PMC6849128.pdf annot_urls
https://gitlab.com/pcoriunmpublic/self_harm_imputation com,gitlab)/pcoriunmpublic/self_harm_imputation 201910 oa_pdf/8a/32/ocz173.PMC7647246.pdf annot_urls
https://gitlab.com/gaetansanchez com,gitlab)/gaetansanchez 202003 oa_pdf/42/85/pnas.201912584.PMC7132110.pdf annot_urls
https://gitlab.com/juglans/sliding-window-analysis/tree/master com,gitlab)/juglans/sliding-window-analysis/tree/master 202003 oa_pdf/78/c5/nihms-1574666.PMC7225015.pdf annot_urls
https://gitlab.com/srikanth.ravichandran/sighotspotter com,gitlab)/srikanth.ravichandran/sighotspotter 202003 oa_pdf/6b/c7/btz827.PMC7703776.pdf annot_urls
https://gitlab.com/tjian-darzacq-lab/bearmix com,gitlab)/tjian-darzacq-lab/bearmix 202111 oa_pdf/49/b7/main.PMC8571801.pdf annot_urls
https://gitlab.com/buchserlab/library-aligner com,gitlab)/buchserlab/library-aligner 202111 oa_pdf/b6/d3/nihpp-2021.11.23.469714v1.PMC8629192.pdf annot_urls
https://gitlab.com/dpgarrick/cdn-s-21--00186 com,gitlab)/dpgarrick/cdn-s-21--00186 202111 oa_pdf/59/4b/nzab132.PMC8634088.pdf annot_urls
https://gitlab.com/elofssonlab/benchmark5 com,gitlab)/elofssonlab/benchmark5 202111 oa_pdf/e4/6e/btab760.PMC8796369.pdf annot_urls
https://gitlab.com/mkoenen2/impress com,gitlab)/mkoenen2/impress 202110 oa_pdf/8d/d6/CTI2-10-e1344.PMC8556141.pdf annot_urls
https://gitlab.com/pesk/nanodx(v2.0.x com,gitlab)/pesk/nanodx(v2.0.x 202110 oa_pdf/56/69/vdab149.PMC8557693.pdf annot_urls
https://gitlab.com/kuscheluis/nanointraop com,gitlab)/kuscheluis/nanointraop 202110 oa_pdf/56/69/vdab149.PMC8557693.pdf annot_urls
https://gitlab.com/piroonj/ncatras_pipeline com,gitlab)/piroonj/ncatras_pipeline 202110 oa_pdf/ba/22/mgen-7-0655.PMC8627206.pdf annot_urls
https://gitlab.com/cigene/r/ssa.refseq.db/-/wikis/go-slim com,gitlab)/cigene/r/ssa.refseq.db/-/wikis/go-slim 202110 oa_pdf/85/35/msab310.PMC8760942.pdf annot_urls
https://gitlab.com/sandve-lab/salmonid_synteny com,gitlab)/sandve-lab/salmonid_synteny 202110 oa_pdf/85/35/msab310.PMC8760942.pdf annot_urls
https://gitlab.com/sandve-lab/defining_duplicates com,gitlab)/sandve-lab/defining_duplicates 202110 oa_pdf/85/35/msab310.PMC8760942.pdf annot_urls
