https://gdcm.sourceforge.net net,sourceforge,gdcm)/ 201208 oa_pdf/90/88/330_2011_Article_2235.PMC3229700.pdf annot_urls
https://sourceforge.net/apps/mediawiki/libsbgn/index.php?title= net,sourceforge)/apps/mediawiki/libsbgn/index.php?title= 201208 oa_pdf/c5/10/bts270.PMC3400951.pdf text_urls
https://libsbgn.sourceforge.net net,sourceforge,libsbgn)/ 201208 oa_pdf/c5/10/bts270.PMC3400951.pdf text_urls
https://saxon.sourceforge.net net,sourceforge,saxon)/ 201208 oa_pdf/c5/10/bts270.PMC3400951.pdf text_urls
https://popbam.sourceforge.net net,sourceforge,popbam)/ 201208 oa_pdf/63/83/1499.PMC3409263.pdf text_urls
https://conifer.sourceforge.net net,sourceforge,conifer)/ 201208 oa_pdf/3e/ac/1525.PMC3409265.pdf text_urls
https://bowtie-bio.sourceforge.net/index.shtml net,sourceforge,bowtie-bio)/index.shtml 201208 oa_pdf/97/25/gks313.PMC3413122.pdf annot_urls
https://gma-bio.sourceforge.net net,sourceforge,gma-bio)/ 201208 oa_pdf/2e/88/bts330.PMC3413383.pdf text_urls
https://primer3.sourceforge.net/) net,sourceforge,primer3)/) 201208 oa_pdf/0b/55/dss016.PMC3415295.pdf text_urls
https://jlinalg.sourceforge.net net,sourceforge,jlinalg)/ 201208 oa_pdf/52/85/srep00580.PMC3419370.pdf annot_urls
https://primer3.sourceforge.net/primer3_manual.htm net,sourceforge,primer3)/primer3_manual.htm 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf annot_urls
https://sourceforge.net/projects/primer3/files/primer3 net,sourceforge)/projects/primer3/files/primer3 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf annot_urls
https://sourceforge.net/projects/primer3/files/primer3-web net,sourceforge)/projects/primer3/files/primer3-web 201208 oa_pdf/a5/ff/gks596.PMC3424584.pdf annot_urls
https://picard.sourceforge.net net,sourceforge,picard)/ 201208 oa_pdf/73/d5/JEM_20111316.PMC3428952.pdf text_urls
https://igraph.sourceforge.net/index.html net,sourceforge,igraph)/index.html 201208 oa_pdf/f3/b6/tp201276a.PMC3432190.pdf annot_urls
https://samtools.sourceforge.net net,sourceforge,samtools)/ 201009 oa_pdf/b6/23/btq351.PMC2922891.pdf annot_urls
https://edamontology.sourceforge.net net,sourceforge,edamontology)/ 201009 oa_pdf/82/bc/btq391.PMC2935419.pdf text_urls
https://msquant.sourceforge.net net,sourceforge,msquant)/ 201009 oa_pdf/3c/94/JCB_200912135.PMC2935572.pdf text_urls
https://sourceforge.net/projects/jtreeview net,sourceforge)/projects/jtreeview 201009 oa_pdf/91/78/erq222.PMC2935877.pdf annot_urls
https://sourceforge.net/projects/mia-assembler net,sourceforge)/projects/mia-assembler 201009 oa_pdf/48/f8/gkq572.PMC2938203.pdf text_urls
https://sourceforge.net/projects net,sourceforge)/projects 201009 oa_pdf/c4/e5/gkq287.PMC2943625.pdf text_urls
https://saint-annotate.sourceforge.net net,sourceforge,saint-annotate)/ 200911 oa_pdf/74/3c/btp523.PMC2773255.pdf annot_urls
https://emboss.sourceforge.net net,sourceforge,emboss)/ 200911 oa_pdf/8b/af/gkp726.PMC2777416.pdf text_urls
https://samtools.sourceforge.net net,sourceforge,samtools)/ 200911 oa_pdf/98/c6/btp394.PMC2781750.pdf annot_urls
https://biocreative.sourceforge.net/index.html net,sourceforge,biocreative)/index.html 200911 oa_pdf/a2/0b/bap019.PMC2797454.pdf annot_urls
https://sourceforge.net/projects/chiprnaseqpro net,sourceforge)/projects/chiprnaseqpro 201603 oa_pdf/2f/84/onc2015221a.PMC4679725.pdf annot_urls
https://ambit.sourceforge.net/index.html net,sourceforge,ambit)/index.html 201603 oa_pdf/2c/b5/WCMS-6-147.PMC4785608.pdf annot_urls
https://ambit.sourceforge.net/download_ambitdiscovery.html net,sourceforge,ambit)/download_ambitdiscovery.html 201603 oa_pdf/2c/b5/WCMS-6-147.PMC4785608.pdf annot_urls
https://breakdancer.sourceforge.net net,sourceforge,breakdancer)/ 201603 oa_pdf/89/5c/mt2015223a.PMC4786920.pdf annot_urls
https://svdetect.sourceforge.net net,sourceforge,svdetect)/ 201603 oa_pdf/89/5c/mt2015223a.PMC4786920.pdf annot_urls
https://samtools.sourceforge.net net,sourceforge,samtools)/ 201603 oa_pdf/89/5c/mt2015223a.PMC4786920.pdf annot_urls
https://picard.sourceforge.net net,sourceforge,picard)/ 201603 oa_pdf/a5/4b/MEC-25-1058.PMC4793928.pdf annot_urls
https://sourceforge.net net,sourceforge)/ 201603 oa_pdf/c6/5d/ott-9-1371.PMC4795660.pdf annot_urls
https://qutemol.sourceforge.net net,sourceforge,qutemol)/ 201603 oa_pdf/29/fc/TOBIOCJ-10-1.PMC4797681.pdf annot_urls
https://mira-assembler.sourceforge.net/docs/definitiveguidetomira.html net,sourceforge,mira-assembler)/docs/definitiveguidetomira.html 201603 oa_pdf/a1/32/evw016.PMC4824170.pdf annot_urls
https://peptideprophet.sourceforge.net net,sourceforge,peptideprophet)/ 201603 oa_pdf/08/cc/gni-14-2.PMC4838525.pdf text_urls
https://sourceforge.net/projects/resting-fmri net,sourceforge)/projects/resting-fmri 201603 oa_pdf/18/c2/medi-95-e3101.PMC4839933.pdf annot_urls
