ProjectName,URI,InSWH?
a2rms,git://git.code.sf.net/p/a2rms/code,No
a2rms,https://git.code.sf.net/p/a2rms/code,No
abbot,https://svn.code.sf.net/p/abbot/svn,Yes
abbot,svn://svn.code.sf.net/p/abbot/svn,No
abbot,https://svn.code.sf.net/p/abbot/svn/trunk,No
abbot,svn://svn.code.sf.net/p/abbot/svn/trunk,No
abc-sysbio,https://svn.code.sf.net/p/abc-sysbio/code/trunk,No
abc-sysbio,svn://svn.code.sf.net/p/abc-sysbio/code/trunk,No
abc-sysbio,svn://svn.code.sf.net/p/abc-sysbio/code,No
abc-sysbio,https://svn.code.sf.net/p/abc-sysbio/code,No
abmapper,svn://svn.code.sf.net/p/abmapper/svn,No
abmapper,https://svn.code.sf.net/p/abmapper/svn,No
abmining,git://git.code.sf.net/p/abmining/code,No
abmining,https://git.code.sf.net/p/abmining/code,Yes
abtools,https://svn.code.sf.net/p/abtools/code,Yes
abtools,svn://svn.code.sf.net/p/abtools/code,No
aceunit,https://svn.code.sf.net/p/aceunit/code/trunk,Yes
aceunit,git://git.code.sf.net/p/aceunit/aceunit.git,No
aceunit,svn://svn.code.sf.net/p/aceunit/code,No
aceunit,https://git.code.sf.net/p/aceunit/aceunit.git,Yes
aceunit,https://svn.code.sf.net/p/aceunit/code,Yes
aceunit,svn://svn.code.sf.net/p/aceunit/code/trunk,No
acopost,git://git.code.sf.net/p/acopost/code,No
acopost,https://git.code.sf.net/p/acopost/code,Yes
acostatrafficscenariotester,git://git.code.sf.net/p/acostatrafficscenariotester/code,No
acostatrafficscenariotester,https://git.code.sf.net/p/acostatrafficscenariotester/code,Yes
adamajava,svn://svn.code.sf.net/p/adamajava/code/trunk,No
adamajava,https://svn.code.sf.net/p/adamajava/code/trunk,No
adamajava,svn://svn.code.sf.net/p/adamajava/code,No
adamajava,https://svn.code.sf.net/p/adamajava/code,Yes
adempiere,svn://svn.code.sf.net/p/adempiere/svn,No
adempiere,http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-smart-browser,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contributions-code,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere361,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere361liberohr,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-adev-ci-rollout,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-costing-engine,Yes
adempiere,http://hg.code.sf.net/p/adempiere/libero-code,Yes
adempiere,http://hg.code.sf.net/p/adempiere/extension-libero-hr-and-payroll,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-kkalice-docbook,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere-all,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere361libero,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-adaxa,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-kkalice-migrate,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-mjmckay,Yes
adempiere,http://hg.code.sf.net/p/adempiere/extension-libero-manufacturing,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contributions-metas-schaeffer-highlight-fields,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere-test-suite,Yes
adempiere,http://hg.code.sf.net/p/adempiere/localizations,Yes
adempiere,http://hg.code.sf.net/p/adempiere/config,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contributions-lbr,Yes
adempiere,http://hg.code.sf.net/p/adempiere/eevolution,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-adroid,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-eevolution-libero-warehouse-management,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-kittiu,Yes
adempiere,http://hg.code.sf.net/p/adempiere/contribution-kkalice-rpm,Yes
adempiere,http://hg.code.sf.net/p/adempiere/localization-br,Yes
adempiere,http://hg.code.sf.net/p/adempiere/code,Yes
adempiere,https://svn.code.sf.net/p/adempiere/svn,Yes
adempiere,http://hg.code.sf.net/p/adempiere/localization-co,Yes
adempiere,http://hg.code.sf.net/p/adempiere/adempiere-old,Yes
adlint,svn://svn.code.sf.net/p/adlint/code,No
adlint,https://svn.code.sf.net/p/adlint/code,Yes
adv-vehicle-sim,svn://svn.code.sf.net/p/adv-vehicle-sim/code/application/branches/advisor,No
adv-vehicle-sim,https://svn.code.sf.net/p/adv-vehicle-sim/code/application/branches/advisor,No
adv-vehicle-sim,https://svn.code.sf.net/p/adv-vehicle-sim/code,Yes
adv-vehicle-sim,svn://svn.code.sf.net/p/adv-vehicle-sim/code,No
advancemame,https://git.code.sf.net/p/advancemame/advancecd,Yes
advancemame,https://git.code.sf.net/p/advancemame/makebootfat,Yes
advancemame,git://git.code.sf.net/p/advancemame/makebootfat,No
advancemame,git://git.code.sf.net/p/advancemame/advancecd,No
advants,https://git.code.sf.net/p/advants/kaena,Yes
advants,svn://svn.code.sf.net/p/advants/svn/trunk,No
advants,git://git.code.sf.net/p/advants/kaena,No
advants,svn://svn.code.sf.net/p/advants/svn,No
advants,git://git.code.sf.net/p/advants/code,No
advants,https://git.code.sf.net/p/advants/code,Yes
advants,https://svn.code.sf.net/p/advants/svn,Yes
advants,https://svn.code.sf.net/p/advants/svn/trunk,No
afner,https://git.code.sf.net/p/afner/git,Yes
afner,git://git.code.sf.net/p/afner/git,No
afp,http://hg.code.sf.net/p/afp/afp-2013-2,Yes
afp,http://hg.code.sf.net/p/afp/afp-2013,Yes
afp,http://hg.code.sf.net/p/afp/afp-2013-1,Yes
afp,http://hg.code.sf.net/p/afp/devel,Yes
afp,http://hg.code.sf.net/p/afp/afp-2012,Yes
afp,http://hg.code.sf.net/p/afp/afp-2011,Yes
afp,http://hg.code.sf.net/p/afp/afp-2011-1,Yes
agg,https://svn.code.sf.net/p/agg/svn,Yes
agg,svn://svn.code.sf.net/p/agg/svn,No
aglets,https://git.code.sf.net/p/aglets/git,Yes
aglets,git://git.code.sf.net/p/aglets/git,No
agpframework,https://svn.code.sf.net/p/agpframework/code,Yes
agpframework,https://svn.code.sf.net/p/agpframework/code/trunk,No
agpframework,svn://svn.code.sf.net/p/agpframework/code,No
agpframework,svn://svn.code.sf.net/p/agpframework/code/trunk,No
agtk,https://svn.code.sf.net/p/agtk/code/trunk,No
agtk,https://svn.code.sf.net/p/agtk/code,Yes
agtk,svn://svn.code.sf.net/p/agtk/code,No
agtk,svn://svn.code.sf.net/p/agtk/code/trunk,No
aimlbot,https://svn.code.sf.net/p/aimlbot/code/trunk,No
aimlbot,svn://svn.code.sf.net/p/aimlbot/code/trunk,No
aimlbot,svn://svn.code.sf.net/p/aimlbot/code,No
aimlbot,https://svn.code.sf.net/p/aimlbot/code,Yes
ajaxcards,https://svn.code.sf.net/p/ajaxcards/code,Yes
ajaxcards,svn://svn.code.sf.net/p/ajaxcards/code/trunk,No
ajaxcards,https://svn.code.sf.net/p/ajaxcards/code/trunk,No
ajaxcards,svn://svn.code.sf.net/p/ajaxcards/code,No
alchemy,https://svn.code.sf.net/p/alchemy/code,Yes
alchemy,svn://svn.code.sf.net/p/alchemy/code,No
alchemy,https://svn.code.sf.net/p/alchemy/code/trunk,No
alchemy,svn://svn.code.sf.net/p/alchemy/code/trunk,No
alignnemo,https://git.code.sf.net/p/alignnemo/code,Yes
alignnemo,git://git.code.sf.net/p/alignnemo/code,No
allim,https://svn.code.sf.net/p/allim/code,Yes
allim,svn://svn.code.sf.net/p/allim/code,No
allim,https://svn.code.sf.net/p/allim/code/trunk,No
allim,svn://svn.code.sf.net/p/allim/code/trunk,No
ambit,https://git.code.sf.net/p/ambit/git,Yes
ambit,svn://svn.code.sf.net/p/ambit/code/trunk,No
ambit,git://git.code.sf.net/p/ambit/git,No
ambit,https://svn.code.sf.net/p/ambit/code/trunk,No
ambit,svn://svn.code.sf.net/p/ambit/code,No
ambit,https://svn.code.sf.net/p/ambit/code,Yes
amide,http://hg.code.sf.net/p/amide/code,Yes
amino-cbbs,svn://svn.code.sf.net/p/amino-cbbs/svn,No
amino-cbbs,https://svn.code.sf.net/p/amino-cbbs/svn/trunk,No
amino-cbbs,svn://svn.code.sf.net/p/amino-cbbs/svn/trunk,No
amino-cbbs,https://svn.code.sf.net/p/amino-cbbs/svn,Yes
amos,https://git.code.sf.net/p/amos/code,Yes
amos,git://git.code.sf.net/p/amos/code,No
amplimethprofiler,https://git.code.sf.net/p/amplimethprofiler/code,Yes
amplimethprofiler,git://git.code.sf.net/p/amplimethprofiler/code,No
amtoolbox,svn://svn.code.sf.net/p/amtoolbox/svn,No
amtoolbox,https://svn.code.sf.net/p/amtoolbox/svn,Yes
amtoolbox,https://git.code.sf.net/p/amtoolbox/www,Yes
amtoolbox,https://git.code.sf.net/p/amtoolbox/code,Yes
amtoolbox,git://git.code.sf.net/p/amtoolbox/code,No
amtoolbox,git://git.code.sf.net/p/amtoolbox/www,No
amunhoney,https://svn.code.sf.net/p/amunhoney/code,Yes
amunhoney,svn://svn.code.sf.net/p/amunhoney/code,No
android-x86,git://git.code.sf.net/p/android-x86/frameworks_base,No
android-x86,https://git.code.sf.net/p/android-x86/packages_apps_Trebuchet,Yes
android-x86,git://git.code.sf.net/p/android-x86/art,No
