Sentence,class,file
Clin Cancer Res 2011; 17:5101-12;   PMID:21712452 ; http://dx.doi.org/10.1158/1078- 0432.CCR-10-3367 65.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Oncogene 2011; 30:701- 13; PMID:20935673 ; http://dx.doi.org/10.1038/ onc.2010.441 66.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Leukemia  2012; 26:2032-8;  PMID:22453662 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cancer Discov 2014; 4:OF5;  PMID:24501317 ;  http://dx.doi.org/10.1158/2159-8290.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Nat Med 2013; 19:202- 8; PMID:23291630 ; http://dx.doi.org/10.1038/ nm.3048 69.,OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Clin Cancer Res 2008; 14:8132-42;   PMID:19088028 ; http://dx.doi.org/10.1158/1078- 0432.CCR-08-1665 70.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cell Death Dis 2012; 3:e366;   PMID:22875003 ; http://dx.doi.org/10.1038/ cddis.2012.109 71.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Mol  Cancer Ther 2009; 8:883-92;  PMID:19372561 ;  http://dx.doi.org/10.1158/1535-7163.MCT-08-1118 72.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cancer Res 2007; 67:1176-83;   PMID:17283153 ; http://dx.doi.org/10.1158/0008- 5472.CAN-06-2203 74.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cancer Res  2011; 71:3603-15;  PMID:21398407 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Clin Cancer Res 2012; 18:487-98;   PMID:22128299 ; http://dx.doi.org/10.1158/1078- 0432.CCR-11-1440 76.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Clin Cancer Res 2012; 18:783-95;   PMID:22173547 ; http://dx.doi.org/10.1158/1078- 0432.CCR-11-1166 77.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cancer Res 2012;  72:294-303;  PMID:22080570 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
J Pharmacol Exp Ther  2012; 341:859-72;  PMID:22393246 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Apoptosis 2013; 18:492- 508; PMID:23344663 ; http://dx.doi.org/10.1007/ s10495-012-0799-x80.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Blood 2013; 122:2402-11;  PMID:23966420 ;  http://dx.doi.org/10.1182/blood-2013-01-478651 81.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Mol Cancer Ther 2013; 12:1504-14;   PMID:23723123 ; http://dx.doi.org/10.1158/1535- 7163.MCT-12-1197 82.,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
Cell  Death Differ 2013; 20:755-64;  PMID:23429261 ;  http://dx.doi.org/10.1038/cdd.2013.6,Non-OADS,/arxiv_data1/oa_pdf/61/24/kmco-01-01-10929906.PMC4905168.pdf
"Molecular & Cellular Oncology 2014; 1:e29907; http://dx.doi.org/10.4161/mco.29907Role of hypoxia and vascular endothelial growth  factors in lymphangiogenesis Florent Morfoisse1,2, edith Renaud2,3, Fransky Hantelys2,3, Anne-Catherine Prats2,3, and Barbara Garmy-Susini1,2,* 1iNSeRM U1048; Toulouse, France; 2Université de Toulouse; UPS; Toulouse, France; 3UPS; TRADG eNe; eA4554; Toulouse, France Keywords:  lymphangiogenesis, VEGF, hypoxia, transcription, translation Abbreviations:  ARE, AU-rich element; FGF2, fibroblast growth factor 2; HIF, hypoxia-inducible factor 1; HRE, hypoxia- responsive element; IRES, internal ribosome entry site; LEC, lymphatic endothelial cell; PDGF, platelet-derived growth factor;  uORF, upstream open reading frame; UTR, untranslated region; VEGF, vascular endothelial growth factor; VEGFR, VEGF  receptor Hypoxia is known to be a major factor in the induction of  angiogenesis during tumor development but its role in lym - phangiogenesis remains unclear.",Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cell Tissue Res  2003; 314:69-84;  PMID:12942362 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Clin Invest 2005; 115:247-57; PMID:15668734 ;  http://dx.doi.org/10.1172/JCI200522037 3.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nature 2005; 438:946-53; PMID:16355212 ;  http://dx.doi.org/10.1038/nature04480 4.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Pathol 2003; 200:195- 206; PMID:12754740 ; http://dx.doi.org/10.1002/ path.1343 5.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Cell Mol Med 2009; 13(8A):1405-16;  PMID:19583813 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Clin Cancer Res  2005; 11:7344-53;  PMID:16243806 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Prostate 2005; 65:222-30;  PMID:15948136 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
APMIS 2004;  112:539-49;  PMID :15563315 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cell 1999; 98:769-78;  PMID:10499794 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Biol Chem 2001;  276:19420-30;  PMID:11278811 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Cell Biol 1999; 144:789- 801; PMID:10037799 ; http://dx.doi.org/10.1083/ jcb.144.4.78914.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nat Genet  2000; 25:153-9;  PMID:10835628 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Blood 2007; 110:4223- 33; PMID:17761831 ; http://dx.doi.org/10.1182/ blood-2007-06-097592 17.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Am J Physiol Heart Circ Physiol 2007; 293:H709-18; PMID:17400713 ;  http://dx.doi.org/10.1152/ajpheart.00102.2007 18.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Lymphat Res  Biol 2005; 3:87-8; PMID:16000057 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
EMBO J 2001; 20:4762-73; PMID:11532940 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nature 2008; 454:656- 60; PMID:18594512 ; http://dx.doi.org/10.1038/ nature07083 21.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cancer Cell 2008; 13:554-6;  PMID:18538738 ; http://dx.doi.org/10.1016/j.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Integr Cancer Ther 2003; 2:238-46;  PMID :15035887 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Clin Cancer Res 2004; 10:7965-71;  PMID :15585631 ; http://dx.doi.org/10.1158/1078- 0432.CCR-04-006324.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Natl Cancer Inst  2005; 97:1175-7;  PMID:16106019 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Carcinogenesis 2004; 25:1477-84;  PMID:14742316 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Prostate  2004; 61:60-72;  PMID:15287094 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cancer Biol Ther 2005; 4:819-21; PMID:16210913 ;  http://dx.doi.org/10.4161/cbt.4.8.1864 30.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cancer Detect Prev 2004; 28:385- 91; PMID :15582261 ; http://dx.doi.org/10.1016/j.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Clin Cancer Res 2007; 13:2825-30;  PMID:17504979 ; http://dx.doi.org/10.1158/1078- 0432.CCR-06-2416 32.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Science  2002; 296:1883-6;  PMID:11976409 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mod Pathol 2005; 18:1232-42;  PMID :15803182 ; http://dx.doi.org/10.1038/ modpathol.3800410 35.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mod Pathol 2005; 18:143-52; PMID :15297858 ;  http://dx.doi.org/10.1038/modpathol.3800253 37.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nat Rev Cancer 2003; 3:401- 10; PMID:12778130 ; http://dx.doi.org/10.1038/ nrc1093 38.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nat Med 2001; 7:192-8; PMID:11175850 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
EMBO J  2002; 21:4593-9;  PMID:12198161 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Exp Med 2011; 208:2141-53; PMID:21930767 ;  http://dx.doi.org/10.1084/jem.20102392 42.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cancer Res  2009; 69:349-57;  PMID:19118020 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Cell Physiol 2009; 219:271- 5; PMID:19160417 ; http://dx.doi.org/10.1002/ jcp.21690 44.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Mol Cell Biol 2008; 28:718-31; PMID:17967865 ; http://dx.doi.org/10.1128/ MCB.01338-07 45.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cell Rep 2014; 6:155-67; PMID:24388748 ;  http://dx.doi.org/10.1016/j.celrep.2013.12.011 46.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Genes Dev 1998; 12:149-62; PMID:9436976 ;  http://dx.doi.org/10.1101/gad.12.2.149 49.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
EMBO J 1998; 17:3005-15; PMID:9606183 ;  http://dx.doi.org/10.1093/emboj/17.11.300550.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Proc Natl Acad Sci U S A 1998; 95:7987-92;  PMID:9653127 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Science 2001; 294:1337-40;  PMID :11598268 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Science 2001; 292:468-72;  PMID:11292861 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Oncologist 2004;  9(Suppl 1):2-10;  PMID :15178810 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cardiovasc Res  2005; 65:564-73;  PMID :15664382 ; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Biol Chem 1996; 271:2746-53;  PMID:8576250 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J Interferon  Cytokine Res 2014; 34:242-54; PMID:24697202 ;  http://dx.doi.org/10.1089/jir.2013.0140 62.,Non-OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
J  Biol Chem 2004; 279:34217-26; PMID :15175342 ;  http://dx.doi.org/10.1074/jbc.M400219200 63.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Nat Rev Mol Cell Biol  2005; 6:318-27;  PMID :15803138 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
RNA 2006; 12:1755-85;  PMID:16957278 ; http://dx.doi.org/10.1261/ rna.157806 66.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
Cell Cycle  2009; 8:3091-6;  PMID:19755858 ; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/f7/8b/kmco-01-01-10929907.PMC4905169.pdf
