Sentence,class,file
Immunity 2009; 31:527-8; PMID:19833080; http://dx.doi.org/10.1016/j.immu- ni.2009.09.007.213.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Proc Natl Acad Sci U S A 2000; 97:12198- 203; PMID:11027314; http://dx.doi.org/10.1073/ pnas.220413497.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Cancer Immunol Immunother 2000; 49:517-29; PMID:11129322; http://dx.doi.org/10.1007/ s002620000145.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Int J Cancer 2000; 88:232- 8; PMID:11004674; http://dx.doi.org/10.1002/1097- 0215(20001015)88:2<232::AID-IJC14>3.0.CO;2-8.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Cell Immunol 1997; 182:137- 51; PMID:9514698; http://dx.doi.org/10.1006/ cimm.1997.1224.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Clin Cancer Res  2004; 10:929-37; PMID:14871969; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
J Immunother 1999;  22:155-65; PMID:10093040; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Cancer Metastasis Rev 2011; 30:61-9;  PMID:21249425; http://dx.doi.org/10.1007/s10555- 011-9273-4.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Science 2011; 334:1573- 7; PMID:22174255; http://dx.doi.org/10.1126/sci- ence.1208347.,OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Cancer Immunol Immunother 2009; 58:1801-7;  PMID:19294381; http://dx.doi.org/10.1007/s00262- 009-0691-x.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Cancer  Sci 2011; 102:324-9; PMID:21143701; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Jpn J Clin Oncol 2006; 36:231- 6; PMID:16611662; http://dx.doi.org/10.1093/jjco/hyl005.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
Clin  Cancer Res 2006; 12:7397-405; PMID:17189412;  http://dx.doi.org/10.1158/1078-0432.CCR-06-1546.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
J Clin Oncol  2009; 27:5270-7; PMID:19752336; http://dx.doi.,Non-OADS,/arxiv_data1/oa_pdf/12/2c/onci-1-1557.PMC3525611.pdf
