Sentence,class,file
"The C++ code can be found here:   http://sourceforge.net/projects/graph -hashing/     References   V. Arvind, J. Köbler J., G. Rattan , O. Verbitsky (2015).",OADS,1606.00001v1.pdf
http://arxiv.org/abs/1512.03547     K. V. S. Bhat (1980).,Not-OADS,1606.00001v1.pdf
http://arxiv.org/abs/1512.07263     R. Rivest  (1992).,OADS,1606.00001v1.pdf
"RFC 1321  The MD5 Message -Digest Algorithm ,  http://tools.ietf.org/html/rfc1321 .",Not-OADS,1606.00001v1.pdf
FormFlavor and an up-to-date manual can be downloaded from: http://formflavor.hepforge.org .,Not-OADS,1606.00003v1.pdf
2.1 Starting the Program FormFlavor can be downloaded from: http://formflavor.hepforge.org .,Not-OADS,1606.00003v1.pdf
"[6]NA62 Collaboration, NA62 Technical Design Report , 2010. https://na62.web.cern.ch/na62/Documents/TD_Full_doc_v10.pdf .",OADS,1606.00003v1.pdf
http://flav-io.github.io .,Not-OADS,1606.00003v1.pdf
"After deconvolution and primary beam correction, the datacubeswereimportedinto CLASSforfurtheranalysis,in 1http://casa.nrao.edu/ 2http://www.iram.fr/IRAMFR/GILDASparticular line proﬁle ﬁts including the hyperﬁne structure for CN lines.",OADS,1606.00005v1.pdf
8http://www.stsci.edu/jwstmodel and baryon fractions in primordial haloes drop dramatically.,Not-OADS,1606.00006v1.pdf
"Science  309, 391–392, URL http://www.sciencemag.org/cgi/ doi/10.1126/science.1113357 (2005).",Not-OADS,1606.00007v2.pdf
"6, 13–20, URL http://www.nature.",Not-OADS,1606.00007v2.pdf
"10, 628–629, URL http://www.jetp.",Not-OADS,1606.00007v2.pdf
"5, 4700, URL  http://www.nature.com/doifinder/10.1038/ncomms5700 (2014).",OADS,1606.00007v2.pdf
"11, 453–461, URL http://www.nature.",Not-OADS,1606.00007v2.pdf
"8, 152–156, URL http://www.nature.com/ doifinder/10.1038/nnano.2013.29 (2013).",Not-OADS,1606.00007v2.pdf
"Solids  4, 241–255,  URL http://linkinghub.elsevier.com/retrieve/pii/0022369758900763 (1958).",Not-OADS,1606.00007v2.pdf
"53,  14–22, URL http://ujp.bitp.kiev.ua/files/journals/53/si/53SI06p.pdf (2008).",Not-OADS,1606.00007v2.pdf
"Available at: http://www.maplesoft.com/support/help/Maple/view.aspx?path=  pdsolve (Accessed: May 6,  2016) (2016).",OADS,1606.00007v2.pdf
"16, 143–152, URL http://linkinghub.elsevier.com/ retrieve/pii/S1631070515000109 (2015).",Not-OADS,1606.00007v2.pdf
"5, 3042, URL  http://www.nature.com/doifinder/10.1038/ncomms4042 (2014).",Not-OADS,1606.00007v2.pdf
"Rep. 468, 213–301, URL  http://linkinghub.elsevier.com/retrieve/pii/S0370157308002597 (2008).",Not-OADS,1606.00007v2.pdf
"363,  98–113, URL http://linkinghub.elsevier.com/ retrieve/pii/S0003491615003395 (2015).",Not-OADS,1606.00007v2.pdf
"To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/   © The Author(s) 2016",Not-OADS,1606.00007v2.pdf
"1https://www.gemini.edu/?q=node/10445 c
2016 RAS, MNRAS 000, 1{16",OADS,1606.00008v1.pdf
Galaxies drawn from the full CANDELS catalog 1http://www2.keck.hawaii.edu/inst/mosre/drp.html,Not-OADS,1606.00009v1.pdf
"FRANKL’S CONJECTURE FOR SUBGROUP LATTICES 7 [4] ,Polymath11 – FUNC , https://gowers.wordpress.com/2016/01/21/frankls- union-closed-conjecture-a-possible-polymath-project/.",Not-OADS,1606.00011v2.pdf
"Box 19395-5746, Tehran, Iran E-mail address :a.abdollahi@math.ui.ac.ir URL:http://sci.ui.ac.ir/~a.abdollahi Department of Mathematics & Statistics, Mississippi State University, MS 39762 E-mail address :rwoodroofe@math.msstate.edu URL:http://rwoodroofe.math.msstate.edu/ E-mail address :gjergjiz@gmail.com",Not-OADS,1606.00011v2.pdf
22http://www.chilesconpol.com,Not-OADS,1606.00013v1.pdf
"414, 1679 (2011) ; http://www.jb.man.ac.uk/pulsar/glitches.html [2] P. W. Anderson and N. Itoh, Nature 256, 25 (1975).",Not-OADS,1606.00016v1.pdf
"Relativity 11, (2008), 10. http://www.livingreviews.org/lrr-2008-10 [5] M. A. Alpar, S. A. Langer and J.A.",Not-OADS,1606.00016v1.pdf
http://www.gravity.phys.uwm.edu/rns/ .,Not-OADS,1606.00016v1.pdf
E(y) =1 55X `=1E`(y): (7) 1https://github.com/Lasagne/Recipes/blob/master/modelzoo/vgg19.py as accessed at 12.05.2016.,Not-OADS,1606.00021v1.pdf
Code to model the PSFs of images as explained here and to generate these contrast curves can be found at https://github.com/nespinoza/luckyimg-reduction .,Not-OADS,1606.00023v1.pdf
"Classical photometry, using small apertures with the diame- ter of the Airy disk, was applied to the IFS data for T Tauri Sa and Sb, because T Tauri N’s PSF is strongly altered by the coro- nagraph and can no longer be used for the simultaneous PSF 1http://www.eso.org /sci/facilities /paranal /instruments /sphere.html Article number, page 2 of 8",Not-OADS,1606.00024v1.pdf
"The test data and a demo code can be found at: https://github.com/novelmartis/RD16demo 2Accessed: February, 2016my parents’.",Not-OADS,1606.00025v5.pdf
"5The functional words were obtained from Higgins, 2014 : http://myweb.tiscali.co.uk/wordscape/museum/funcword.htmlthe following algorithm: foriin[1;length (Fs)]do: forjinFs(i;2)do:Bs(j;2):append (i) where Fsis the forward-linked list, and Bsis the back-linked list.",OADS,1606.00025v5.pdf
"8http://www.oxfordlearnersdictionaries.com/about/oxford3000 9Accessed: February, 2016",Not-OADS,1606.00025v5.pdf
"We introduced users to the concept of the re- verse dictionary and asked them to generate phrases 11Based on the implementation of word 2vecby Daniel Rodriguez at https://github.com/danielfrg/word2vec, trained on a corpus with 15:8million words, and a vocabulary of 98k.",Not-OADS,1606.00025v5.pdf
"(Hill et al., 2015) use such a network to implement a re- 15“The Unreasonable Effectiveness of Recurrent Neural Net- works” by Andrej Karpathy - http://karpathy.github.io/2015/05/21/rnn- effectiveness/",Not-OADS,1606.00025v5.pdf
http://onelook.com/reverse- dictionary.shtml.,Not-OADS,1606.00025v5.pdf
Tiger stripe locations are traced from http://photojournal.jpl.nasa.gov/catalog/PIA12783 .,Not-OADS,1606.00026v1.pdf
"[7] Peter W. Shor, “The quantum channel capacity and coheren t information,” lec- ture notes, MSRI Workshop on Quantum Computation , availabl e online at http://www.msri.org/publications/ln/msri/2002/quant umcrypto/shor/1/ (2002).",Not-OADS,1606.00029v2.pdf
"We obtained the closing prices of the 30 constituent stocks of the Dow Jones Industrial Average (DJIA) from February 18, 1995 through October 26, 2012 (roughly 17 years) from http://finance.yahoo.com .",Not-OADS,1606.00033v2.pdf
http://www.kaggle.com/c/GEF2012-wind-forecasting ; see Hong et al.,Not-OADS,1606.00033v2.pdf
"Available at http://statweb.stanford.edu/~tibs/ ftp/ggraph.pdf , 2010.",OADS,1606.00033v2.pdf
"Available at https://www.stat.berkeley.edu/~binyu/ ps/rocha.pseudo.pdf , 2008.",Not-OADS,1606.00033v2.pdf
This manuscript version is made available under the CC-BY-NC-ND 4.0 license http://creativecommons.org/ licenses/by-nc-nd/4.0/ Corresponding author.,Not-OADS,1606.00034v2.pdf
"CVX: Matlab software for disciplined convex programming, version 2.1. http://cvxr.com/cvx .",Not-OADS,1606.00034v2.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0019103513002893 Clancy, R. T., Sandor, B. J., J., W. M., Christensen, P. R., Smith, M. D., Pearl, J. C., Conrath, B. J., Wilson, R. J., 2000.",Not-OADS,1606.00035v3.pdf
"URL http://dx.doi.org/10.1029/2003JE002058 Dabrowska, D. D., Munoz, O., Moreno, F., Ramos, J. L., Martinez-Frias, J., Wurm, G., 2015.",OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0019103514006526 Esposito, F., Giuranna, M., Maturilli, A., Palomba, E., Colangeli, L., Formisano, V., 2007.",Not-OADS,1606.00035v3.pdf
"URL http://dx.doi.org/10.1029/2012JE004194 Guzewich, S. D., Newman, C., de la Torre Ju arez, M., Wilson, R., Lemmon, M., Smith, M., Kahanp a a, H., Harri, A.-M., 2016.",OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0019103515005850 Guzewich, S. D., Toigo, A. D., Kulowski, L., Wang, H., 2015.",Not-OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0019103598959073 Heavens, N., 2016.",Not-OADS,1606.00035v3.pdf
"Mendeley, [Available online at http://dx.doi.org/10.17632/smb69k52st.2 .",Not-OADS,1606.00035v3.pdf
"URL http://dx.doi.org/10.1029/1998GL900060 Jouglet, D., Poulet, F., Milliken, R. E., Mustard, J. F., Bibring, J. P., Langevin, Y., Gondet, B., Gomez, C., 2007.",OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0019103513002893 Piqueux, S., Kleinb uhl, A., Hayne, P. O., Kass, D. M., Schoeld, J. T., McCleese, D. J., 2015.",Not-OADS,1606.00035v3.pdf
"URL http://www-mars.lmd.jussieu.fr/paris2011/abstracts/ singh_paris2011.pdf Smith, D. E., Zuber, M. T., Frey, H. V., Garvin, J.",Not-OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S001910350600159X Strausberg, M. J., Wang, H., Richardson, M. I., Ewald, S. P., Toigo, A. D., 2005.",Not-OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ 0019103578901057 Vaughan, M., Young, S., Winker, D., Powell, K., Omar, A., Liu, Z., Hu, Y., Hostetler, C., 2004.",Not-OADS,1606.00035v3.pdf
"URL http://www.sciencedirect.com/science/article/pii/ S0032063312003820 Vincendon, M., Langevin, Y., Poulet, F., Bibring, J.-P., Gondet, B., 2007.",Not-OADS,1606.00035v3.pdf
[Available online athttps://www.cfa.harvard.edu/ ~hwang/mdgm/ ; MOC imagery is at: https://www.cfa.harvard.edu/ ~hwang/mdgm/moc ].,Not-OADS,1606.00035v3.pdf
"URL http://dx.doi.org/10.1029/2009JE003350 Zuber, M. T., Smith, D. E., Solomon, S. C., Muhleman, D. O., Head, J. W., Garvin, J.",OADS,1606.00035v3.pdf
"Do, \Numeri- cal identication of epidemic thresholds for susceptible- infected-recovered model on nite-size networks,"" Chaos 25, 063104 (2015), http://dx.doi.org/10.1063/1.4922153.",OADS,1606.00036v2.pdf
"arXiv preprint , http://arxiv.org/abs/1411.5010, 2015.",Not-OADS,1606.00037v1.pdf
"Most of these, as well as the nearly edge-on HD 32297, were also shown to possess extensive systems of exo-ring materials extending well beyond their bright ring 	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  1 http://www.stsci.edu/cgi-bin/get-proposal-info?id=12228&observatory=HST 2 Herein, in § 8.2.1, we also call attention also to the directly-observed ring-like component in HD 15745.",Not-OADS,1606.00039v1.pdf
"For all targets 	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  	
  5 http://www.stsci.edu/cgi-bin/get-proposal-info?id=13786&observatory=HST",Not-OADS,1606.00039v1.pdf
