Sentence,class,file
http://pos.sissa.it/,Non-OADS,1009.5781v1.pdf
Available at http://www.stat.ucl.ac.be .,Non-OADS,1009.5785v1.pdf
"Lett.B 667, 1(2008), http://pdg.lbl.gov.",Non-OADS,1009.5789v1.pdf
"2000), conﬁgured with dichroic number 2, the target was observed for a total of two 1https://it019909.massey.ac.nz/moa/alert/index.htmlFig.1.The magniﬁcation proﬁles during the three UVES expo- sures of MOA-2010-BLG-285S (dashed and dotted lines), and the total magniﬁcation proﬁle when co-adding all three expo - sures(solidline).",OADS,1009.5792v1.pdf
"[30] Open-source plane-wave DFT computer code dacapo , http://wiki.fysik.dtu.dk/dacapo .",Non-OADS,1009.5793v1.pdf
"Also available on http://amc.imfm.si ARS MATHEMATICA CONTEMPORANEA x (xxxx) 1–x Hamiltonian cycles in Cayley graphs whose order has few prime factors K. Kutnar University of Primorska, FAMNIT, Glagolja ˇska 8, 6000 Koper, Slovenia D. Maru ˇsiˇc University of Primorska, FAMNIT, Glagolja ˇska 8, 6000 Koper, Slovenia University of Ljubljana, PEF , Kardeljeva pl.",Non-OADS,1009.5795v3.pdf
http://arxiv.org/abs/1104.0081 [8] J.,Non-OADS,1009.5795v3.pdf
http://arxiv.org/abs/1101.4322 [10] E. Ghaderpour and D. W. Morris: Cayley graphs of order 30pare hamiltonian (preprint).,Non-OADS,1009.5795v3.pdf
http://arxiv.org/abs/1102.5156,Non-OADS,1009.5795v3.pdf
"http://arxiv.org/abs/1009.5795/anc/A5.pdf [17] K. Kutnar and P. ˇSparl: Hamilton paths and cycles in vertex-transitive graphs of order 6p,Discrete Math.",Non-OADS,1009.5795v3.pdf
"http://arxiv.org/abs/1103.5293 [21] I. Pak and R. Radoi ˇci´c: Hamiltonian paths in Cayley graphs, Discrete Math.",Non-OADS,1009.5795v3.pdf
"[4] J.-P. Demailly, Complex analytic and algebraic geometry , http://www-fourier.ujf-grenoble.fr/ ∼demailly/books.html, 1997.",Non-OADS,1009.5796v1.pdf
"dinh@math.jussieu.fr ,http://www.math.jussieu.fr/ ∼dinh 18",Non-OADS,1009.5796v1.pdf
"The makeu p of these indices are reviewed quarterly, and the number of components and ﬂoat-adjusted m arket capitalizations taken from http://www.djindexes.com/mdsidx/downloads/fact_info /Dow_Jones_US_Indexes_Industry_Indexes_Fact_She and are accurate as of November 30, 2010.",OADS,1009.5800v2.pdf
URL: http://www.reuters.com/article/idUSTRE52E2252009031 6.,Non-OADS,1009.5800v2.pdf
URL: http://www.federalreserve.gov/monetarypolicy/openma rket.htm .,Non-OADS,1009.5800v2.pdf
URL: http://www.reuters.com/article/idUSTRE6526392010060 3.,Non-OADS,1009.5800v2.pdf
URL: http://www.cato.org/pub_display.php?pub_id=10033 .,Non-OADS,1009.5800v2.pdf
URL: http://www.cato.org/pub_display.php?pub_id=10146 .,Non-OADS,1009.5800v2.pdf
URL: http://www.cato.org/pub_display.php?pub_id=2510 .,Non-OADS,1009.5800v2.pdf
URL : http://www.nber.org/papers/w15379 .,Non-OADS,1009.5800v2.pdf
"URL: http://www.investingdaily.com/ce/15411/second-deriv atives-green-shoots-andcaut [31] Telegraph.co.uk, “Stephen Hester: I don’t see any green shoots”, 8 May 2009.",Non-OADS,1009.5800v2.pdf
"URL: http://www.telegraph.co.uk/finance/newsbysector/ban ksandfinance/5296905/Stephen- [32] Bloomberg News, “Trichet Says Global Economy Is Near Turning Point (Update1)”, 11 May 2009.",Non-OADS,1009.5800v2.pdf
