Sentence,class,file
doi:10.4153/CJM-2015-046-8 .url:http://dx.doi.org/10.4153/CJM-2015-046-8 .,OADS,1907.13514v1.pdf
[18] https://ch.mathworks.com/products/matlab.html.,Non-OADS,1907.13515v2.pdf
"Available: http://www.akamai.com/, Akamai Inc. [4] S. Martello and P. Toth, Knapsack Problems .",Non-OADS,1907.13516v1.pdf
"[19] P. Yang, N. Zhang, S. Zhang, L. Yu, J. Zhang, and X. Shen, “Content Popularity Prediction Towards Location-Aware Mobile Edge Caching,” available at https://arxiv.org/abs/1809.00232 , Sep. 2018.",Non-OADS,1907.13516v1.pdf
"13 Content Updates in Heterogeneous Wireless Networks,” available at https://arxiv.org/abs/1902.09445 , Feb. 2019.",Non-OADS,1907.13516v1.pdf
3 https://github.com/amangkim/RRIFECGSec,Non-OADS,1907.13517v3.pdf
"[16] E. Al -Alkeem, S. -K. Kim, C. Y. Yeun, M. J. Zemerly, K. Poon and P. D. Yoo, “An Enhanced Electrocardiogram Biometric Authentication System  Using Machine Learning"", [Online] Available: https://arxiv.org /abs/1907.00366.",Non-OADS,1907.13517v3.pdf
"[20] P. Gupta, ""Decision Trees in Machine Learning"", Tow ards Data Science, [Onlne] Available: https://towardsdatascience.com/decision -trees-in- machine -learning -641b9c4e8052, Accessed on Feb. 1, 2019.",Non-OADS,1907.13517v3.pdf
"[26] M. Cadogan, PR Interval, [Online] Available: https://litfl.com/pr -interval -ecg-library/, Accessed on  Apr.",Non-OADS,1907.13517v3.pdf
Journal of  Open Research Software 2(1):  e27 [http://dx.doi.org/10.5334/jors.bi].,OADS,1907.13517v3.pdf
"[31] A. Avati, ""Evaluation Metrics"", [Online] Available: http://cs229.stanford.",Non-OADS,1907.13517v3.pdf
"Cruzeiro, C L´ eonard, JC Zambrini , An ent ropic interpolation prob- lem for incompressible viscid ﬂuids, https://hal.archive s-ouvertes.fr/hal-02179693.",Non-OADS,1907.13519v2.pdf
"The following results are reported for full sequences, except the 3https://github.com/fchollet/keras",OADS,1907.13524v2.pdf
"2015, A&A, 575, A44 Godard B., Falgarone E., Gerin M., Hily-Blant P., de Luca M., 2010, A&A, 520, A20 Green T. S., et al., 2016, MNRAS, 461, 560 Green T. S., et al., 2017, MNRAS, 465, 4872 Hamer S. L., 2012, http://etheses.dur.ac.uk/5888/ Hamer S. L., et al., 2014, MNRAS, 437, 862 Hamer S. L., et al., 2016, MNRAS, 460, 1758 Hogan M., 2014, http://etheses.dur.ac.uk/11008/1/hogan_ thesis.pdf?DDD25+ Hogan M. T., et al., 2015a, MNRAS, 453, 1201 Hogan M. T., et al., 2015b, MNRAS, 453, 1223 Jae W., Bremer M. N., Baker K., 2005, MNRAS, 360, 748 Johnson R. E., Markevitch M., Wegner G. A., Jones C., Forman W. R., 2010, ApJ, 710, 1776 Johnstone R. M., Fabian A. C., Taylor G. B., 1998, MNRAS, 298, 854 Johnstone R. M., Fabian A. C., Morris R. G., Taylor G. B., 2005, MNRAS, 356, 237 Le Borgne J.-F., Mathez G., Mellier Y., Pello R., Sanahuja B., Soucail G., 1991, A&AS, 88, 133 Mangum J. G., Shirley Y. L., 2015, PASP, 127, 266 Mart n et al., 2011, A&A, 527, A36 Massaro E., Giommi P., Leto C., Marchegiani P., Maselli A., PerriM., Piranomonte S., Sclavi S., 2009, A&A, 495, 691 McCoy M., et al., 2017, ApJ, 851, 76 McMullin J. P., Waters B., Schiebel D., Young W., Golap K., 2007, in Shaw R. A., Hill F., Bell D. J., eds, Astronomical Society of the Pacic Conference Series Vol.",Non-OADS,1907.13526v1.pdf
"18                       Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis       Prototype Software Monitoring Sarana dan Prasarana  Perguruan Tinggi     Leon Andretti Abdillah*, Linda Atika , Kurniawan , Fitri Purwaningtias     Information Systems Department, Universitas Bina Darma     Naskah Diterima : 3 November  2018; Diterima Publikasi : 1 0 Mei 2019     DOI : 10.21456/vol 9iss1pp18-24      Abstra ct     This study aims to facilitate the management system of monitoring infrastructure program of university facilities and  infrastructure, through software engineering technology approach as an effort to improve productivity and quality of monitoring  process become more efficient and effective.",Non-OADS,1907.13527v1.pdf
"Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis                        19    ditingkatkan pengelolaannya dengan lebih baik,  terutama yang berkaitan dengan sarana dan prasarana   (Abdillah  et al.,  2007 ).",Non-OADS,1907.13527v1.pdf
20                       Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis     Sisa artikel ini diatur dalam 3 (tiga) bagian lagi .,Non-OADS,1907.13527v1.pdf
Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis                        21    Informan dalam penelitian ini adalah universitas  dalam memantau sarana dan prasarana .,Non-OADS,1907.13527v1.pdf
22                       Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis     3.1.,Non-OADS,1907.13527v1.pdf
Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis                        23      Gambar 7 .,Non-OADS,1907.13527v1.pdf
"24                       Jurnal Sistem Informasi Bisnis   01(201 9)     On-line : http://ejournal.undip.ac.id/index.php/jsinbis     fasilitas dan infrastruktur di universitas, terutama di  Kota Palembang.",Non-OADS,1907.13527v1.pdf
Retrieved from  https://wearesocial.com/sg/blog/2018/01/global - digital -report -2018 .,Non-OADS,1907.13527v1.pdf
