Sentence,class,file
Nat Genet 2006; 38:1440-5; PMID:17099714; http://dx.doi.org/ 10.1038/ng1915 65.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Cell 1993; 72:527-40; PMID: 8440019; http://dx.doi.org/10.1016/0092-8674(93) 90072-X 67.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Cell 1984; 37:979-91; PMID: 6430570; http://dx.doi.org/10.1016/0092-8674(84) 90432-X 69.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
BMC Mol Biol 2008; 9:36; PMID:18412953; http://dx.doi.org/ 10.1186/1471-2199-9-36 72.,Non-OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Development 2010; 137:3775-84; PMID:20943709; http://dx.doi.org/10.1242/dev.049312 75.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Cell 2010; 141:536-48; PMID:20434990; http://dx.doi.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Nat Methods 2011; 8:405-7; PMID:21460824; http://dx.doi.org/10.1038/ nmeth.1592 79.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
PLoS One 2007; 2:e275; PMID: 17342209; http://dx.doi.org/10.1371/journal.pone.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
Genes Dev 1999; 13:1342-53; PMID:10346822; http://dx.doi.org/10.1101/gad.13.10.,OADS,/arxiv_data1/oa_pdf/15/2e/spmg-2-11.PMC3341242.pdf
"In order to identify the mechanism responsible for testis immune privilege, various components were explored including the lower temperature of the scrotum,9,15impaired lymphatic drainage,9,16locally produced hormones,17,18Leydig cells,18*Correspondence to: Jannette M. Dufour; Email: jannette.dufour@ttuhsc.edu Submitted: 11/15/11; Revised: 12/19/11; Accepted: 12/19/11 http://dx.doi.org/10.4161/spmg.2.1.19119REVIEW Spermatogenesis 2:1, 1 –9; January/February/March 2012; G2012 Landes Bioscience www.landesbioscience.com Spermatogenesis 1",Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Adv Immunol 1977; 25:1-54; PMID:345773; http://dx.doi.org/10.1016/S0065-2776(08)60930-X 2.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Reproduction 2010; 139:495-504; PMID: 19995832; http://dx.doi.org/10.1530/REP-09-0384 3.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Cell Transplant 2010; 19: 1645-57; PMID:20719072; http://dx.doi.org/10.3727/ 096368910X516628 4.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Gene Ther 2004; 11:694-700; PMID:14724669; http://dx.doi.org/10.1038/sj.gt.3302218 6.,OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
J Reprod Immunol 1990; 18:9- 18; PMID:2213734; http://dx.doi.org/10.1016/0165- 0378(90)90021-W 7.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 1983; 36:423-31; PMID:6353710; http://dx.doi.org/10.1097/00007890-198310000-00014 8.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 1985; 40:269-75; PMID:3898493; http://dx.doi.org/10.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 1981; 32:227-32; PMID:6269257; http://dx.doi.org/10.1097/00007890-198109000-00009 15.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Horm Metab Res 1988; 20:562-5; PMID: 3143654; http://dx.doi.org/10.1055/s-2007-101088518.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
Transplantation 1990; 50: 649-53; PMID:2171164; http://dx.doi.org/10.1097/ 00007890-199010000-00024 19.,Non-OADS,/arxiv_data1/oa_pdf/0f/d2/spmg-2-23.PMC3341243.pdf
