Sentence,class,file
The full terms of the License are available at http://creativecommons.org/licenses/by-nc/3.0 /.,Non-OADS,/arxiv_data1/oa_pdf/d0/4b/dddt-9-5727.PMC4621195.pdf
"Information on  how to request permission may be found at: http://www.dovepress.com/permissions.phpDrug Design, Development and Therapy 2015:9 5727–5736Drug Design, Development and Therapy Dove press submit your manuscript | www.dovepress.co m Dove press  5727Original researchopen access to scientific and medical research Open access Full T ext article http: //dx.doi.org/10.2147/DDDT .S9235 54-hydroxyisoleucine ameliorates an insulin  resistant-like state in 3T3-l1 adipocytes by  regulating TACE/TIMP3  expression Feng gao1 Wen Du1,4 Mohammad ishraq Zafar1 raja adeel shafqat2 liumeng Jian1 Qin cai1 Furong lu3 1Department of endocrinology, Union  hospital, 2Department of Medicine,   T ongji hospital, 3Department of  integrated Traditional chinese and  Western Medicine, Union hospital,   Tongji Medical college, huazhong  University of science and T echnology,   Wuhan, hubei, 4chengdu First  People’s hospital, sichuan, People’s  republic of chinaBackground:  Obesity-associated insulin resistance (IR) is highly correlated with soluble tumor  necrosis factor- α (sTNF- α), which is released from transmembranous TNF- α by TNF- α convert - ing enzyme ( TACE ).",Non-OADS,/arxiv_data1/oa_pdf/d0/4b/dddt-9-5727.PMC4621195.pdf
"It is synthesized as  a transmembrane 26-kDa precursor transmembrane tumor necrosis factor- α (mTNF- α),  which is cleaved into the secreted 17-kDa form (sTNF- α) by TNF- α converting correspondence: Furong lu Department of integrated Traditional  chinese and Western Medicine, Union  hospital, Tongji Medical college,  huazhong University of science and  Technology, 1277 Jiefang avenue, Wuhan,  hubei 430022, People’s republic of china email furonglulove@163.co m Journal name: Drug Design, Development and Therapy Article Designation: Original Research Y ear: 2015 Volume: 9 Running head verso: Gao et al Running head recto: 4-HIL improves insulin resistant-like state in 3T3-L1 adipocytes DOI: http://dx.doi.org/10.2147/DDDT.S92355",Non-OADS,/arxiv_data1/oa_pdf/d0/4b/dddt-9-5727.PMC4621195.pdf
"Drug Design, Development and Therapy Publish your work in this journal Submit your manuscript here:  http://www.dovepress.com/drug-design-development-and-therapy-journa lDrug Design, Development and Therapy is an international, peer- reviewed open-access journal that spans the spectrum of drug design  and development through to clinical applications.",Non-OADS,/arxiv_data1/oa_pdf/d0/4b/dddt-9-5727.PMC4621195.pdf
Visit  http://www.dovepress.com/testimonials.ph p to read real quotes from  published authors.,Non-OADS,/arxiv_data1/oa_pdf/d0/4b/dddt-9-5727.PMC4621195.pdf
The full terms of the License are available at http://creativecommons.org/licenses/by-nc/3.0 /.,Non-OADS,/arxiv_data1/oa_pdf/bf/a3/jir-8-201.PMC4621196.pdf
"Information on  how to request permission may be found at: http://www.dovepress.com/permissions.ph pJournal of Inflammation Research 2015:8 201–209Journal of Inflammation Research Dove press submit your manuscript | www.dovepress.co m Dove press  201ORIg Inal ReseaRchopen access to scientific and medical research Open access Full T ext article http: //dx.doi.org/10.2147/JIR.S8909 7exploring the translational disconnect between  the murine and human inflammatory response:  analysis of lPs dose–response relationship in  murine versus human cell lines and implications  for translation into murine models of sepsis eamon P Mccarron1 Dominic P Williams1 Daniel J antoine1 anja Kipar2 Jana lemm3 sebastian stehr3 Ingeborg D Welters4 1Department of clinical and  Molecular Pharmacology, centre  for Drug safety science, Institute of  Translational Medicine,  2Department  of Veterinary Pathology, University of  liverpool, liverpool, UK;  3Department  of anaesthesiology and Intensive care  Medicine, Jena University hospital,   Jena, germany;  4Department of  Obesity and endocrinology, Institute  of ageing and chronic Disease,   University of liverpool, liverpool, UK correspondence: eamon P Mccarron   Department of clinical and Molecular  Pharmacology, centre for Drug safety  science, Institute of Translational  Medicine, University of liverpool, ashton  street, liverpool, l69 3ge, UK   email e.p.mccarron@doctors.org.u kBackground:  Inflammation forms an important part of the human innate immune system  and is largely dependent on the activation of the “classical” NF- κB pathway through Toll-like  receptors (TLRs).",Non-OADS,/arxiv_data1/oa_pdf/bf/a3/jir-8-201.PMC4621196.pdf
"Journal of Inflammation Research Publish your work in this journal Submit your manuscript here:  http://www.dovepress.com/journal-of-inflammation-research-journa lThe Journal of Inflammation Research is an international, peer-reviewed  open-access journal that welcomes laboratory and clinical findings on the  molecular basis, cell biology and pharmacology of inflammation including  original research, reviews, symposium reports, hypothesis formation and  commentaries on: acute/chronic inflammation; mediators of inflamma -tion; cellular processes; molecular mechanisms; pharmacology and novel  anti-inflammatory drugs; clinical conditions involving inflammation.",Non-OADS,/arxiv_data1/oa_pdf/bf/a3/jir-8-201.PMC4621196.pdf
Visit http://www.dovepress.com/   testimonials.ph p to read real quotes from published authors.,Non-OADS,/arxiv_data1/oa_pdf/bf/a3/jir-8-201.PMC4621196.pdf
The full terms of the License are available at http://creativecommons.org/licenses/by-nc/3.0 /.,Non-OADS,/arxiv_data1/oa_pdf/ad/a3/ott-8-2959.PMC4621197.pdf
